"ID","sea_time","fid_signal"
1,0,1175.255
2,0.001667,1174.212
3,0.003333,1174.212
4,0.005,1172.572
5,0.006667,1176.819
6,0.008333,1174.584
7,0.01,1174.584
8,0.011667,1173.615
9,0.013333,1173.839
10,0.015,1171.008
11,0.016667,1171.008
12,0.018333,1171.008
13,0.02,1171.082
14,0.021667,1171.082
15,0.023333,1170.114
16,0.025,1170.635
17,0.0267,1172.051
18,0.028333,1172.051
19,0.03,1173.615
20,0.031667,1177.266
21,0.033333,1179.799
22,0.035,1179.799
23,0.036667,1180.023
24,0.038333,1179.054
25,0.04,1178.384
26,0.041667,1178.384
27,0.043333,1174.063
28,0.045,1172.349
29,0.046667,1171.38
30,0.048383,1171.38
31,0.049983,1171.008
32,0.05165,1174.212
33,0.053317,1174.212
34,0.054983,1176.745
35,0.05665,1175.18
36,0.058317,1172.721
37,0.059983,1172.721
38,0.06165,1170.263
39,0.063317,1168.996
40,0.065083,1171.976
41,0.06665,1171.976
42,0.06834999999999999,1173.094
43,0.07000000000000001,1175.776
44,0.07165000000000001,1174.063
45,0.07331699999999999,1174.063
46,0.07498299999999999,1172.2
47,0.07665,1173.094
48,0.078317,1173.094
49,0.079983,1172.051
50,0.08175,1173.317
51,0.083317,1173.168
52,0.084983,1173.168
53,0.08665,1172.349
54,0.08831700000000001,1169.741
55,0.08998299999999999,1168.698
56,0.09165,1168.698
57,0.093317,1169.443
58,0.094983,1168.177
59,0.09665,1170.188
60,0.098317,1170.188
61,0.099983,1171.976
62,0.10165,1170.561
63,0.103317,1170.561
64,0.104983,1173.317
65,0.10665,1173.541
66,0.108317,1173.69
67,0.109983,1173.69
68,0.111633,1174.435
69,0.1133,1175.329
70,0.115,1175.627
71,0.116633,1175.627
72,0.1183,1174.957
73,0.119967,1176.67
74,0.121633,1175.925
75,0.1233,1175.925
76,0.124967,1176.149
77,0.126633,1177.341
78,0.1283,1177.266
79,0.129967,1177.266
80,0.131633,1175.404
81,0.1333,1172.423
82,0.134967,1172.423
83,0.136633,1170.635
84,0.1383,1169.965
85,0.139967,1169.443
86,0.141633,1169.443
87,0.1433,1171.753
88,0.144967,1171.008
89,0.146633,1174.212
90,0.1483,1174.212
91,0.149967,1174.435
92,0.151633,1171.827
93,0.1533,1171.455
94,0.154967,1171.455
95,0.156633,1165.196
96,0.158283,1165.643
97,0.15995,1165.643
98,0.161617,1165.494
99,0.163283,1167.879
100,0.16495,1168.549
101,0.166667,1168.549
102,0.168283,1166.984
103,0.16995,1167.432
104,0.1716,1167.357
105,0.173267,1167.357
106,0.174933,1168.4
107,0.1766,1168.475
108,0.178267,1168.698
109,0.179933,1168.698
110,0.1816,1167.133
111,0.183333,1169.369
112,0.184933,1168.996
113,0.1866,1168.996
114,0.188267,1168.773
115,0.189933,1167.804
116,0.1916,1167.804
117,0.193267,1168.773
118,0.194933,1171.082
119,0.1966,1173.839
120,0.198267,1173.839
121,0.20005,1175.627
122,0.2016,1173.466
123,0.203267,1174.36
124,0.204933,1174.36
125,0.2066,1171.976
126,0.208267,1173.019
127,0.209933,1175.627
128,0.2116,1175.627
129,0.213267,1175.18
130,0.214933,1177.639
131,0.2166,1177.639
132,0.218267,1178.309
133,0.219933,1176.894
134,0.2216,1177.788
135,0.223267,1177.788
136,0.224933,1176.074
137,0.2266,1175.702
138,0.228267,1175.702
139,0.229933,1175.702
140,0.231583,1174.733
141,0.23325,1175.925
142,0.234917,1175.478
143,0.236583,1175.478
144,0.23825,1173.243
145,0.239917,1173.243
146,0.241583,1171.529
147,0.24325,1171.529
148,0.244933,1170.561
149,0.246583,1171.231
150,0.24825,1171.231
151,0.249917,1169.145
152,0.251583,1169.816
153,0.25325,1170.486
154,0.254917,1170.486
155,0.256583,1172.2
156,0.25825,1175.255
157,0.259917,1178.458
158,0.261583,1178.458
159,0.26325,1180.396
160,0.264917,1179.352
161,0.266583,1176.894
162,0.26825,1176.894
163,0.269917,1172.498
164,0.271583,1170.263
165,0.27325,1170.263
166,0.274917,1168.698
167,0.2766,1170.784
168,0.27825,1172.498
169,0.279917,1172.498
170,0.281583,1171.008
171,0.28325,1173.69
172,0.284933,1173.913
173,0.286583,1173.913
174,0.28825,1176.223
175,0.2899,1177.564
176,0.291567,1177.043
177,0.293233,1177.043
178,0.2949,1178.384
179,0.296567,1174.286
180,0.298233,1174.286
181,0.2999,1176.074
182,0.301567,1175.776
183,0.303233,1174.36
