"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,138.9163,120,119.0432,32,32.02365,32,32.03166,180,179.9489,52.70335,55.43333,229.0531,30.17025,0,0,10,10.005,10,9.995,0,0,0,0,0,0,0,0
2,139.5458,120,119.9925,32,32.00044,32,31.99858,180,179.987,54.67755,58.45533,228.0352,30.6988,0,0,10,10.01,10,9.995,0,0,0,0,0,0,0,0
3,104.409,30,30.96783,32,32.14196,32,32.22289,180,179.8862,53.7588,56.3935,214.5738,33.34415,0,0,10,10.015,10,10.015,0,0,0,0,0,0,0,0
4,106.326,30,28.11988,32,32.08536,32,32.28518,180,179.9576,53.24568,55.63333,214.2458,32.94635,0,0,10,9.965,10,9.995,0,0,0,0,0,0,0,0
5,102.1771,30,29.00279,32,31.67267,32,32.17382,180,179.9554,50.49114,51.98749,214.0025,31.0566,0,0,10,9.96,10,9.975,0,0,0,0,0,0,0,0
6,105.3246,30,29.38501,32,31.67127,32,31.98322,180,179.9207,49.71577,51.09067,213.9878,30.53602,0,0,10,10.005,10,9.995,0,0,0,0,0,0,0,0
7,101.5477,30,29.99788,32,31.95614,32,31.98411,180,179.8321,47.8797,46.403,219.574,28.8,2,2.025,10,10.005,10,10,0,0,0,0,0,0,0,0
8,106.7552,30,29.99976,32,32.00917,32,31.99688,180,180.33,50.57051,49.77697,227.2582,28.54384,2,1.995,10,9.99,10,10,0,0,0,0,0,0,0,0
9,104.409,30,30.00051,32,32.01446,32,31.99951,180,180.3169,50.58507,49.79555,226.7503,28.60938,2,1.98,10,9.955,10,9.985,0,0,0,0,0,0,0,0
10,107.4992,30,29.99802,32,31.99227,32,31.99192,180,179.9593,52.0168,53.22104,228.6165,28.47786,2,1.975,10,9.95,10,9.99,0,0,0,0,0,0,0,0
11,104.9526,30,29.9956,32,31.99231,32,31.99509,180,179.9556,52.02578,53.2363,228.213,28.47181,2,1.995,10,10.015,10,10.005,0,0,0,0,0,0,0,0
12,107.9284,30,30.00126,32,31.99895,32,31.99943,180,180.0312,52.44459,54.36244,228.5788,28.60394,2,1.995,10,10.015,10,10.01,0,0,0,0,0,0,0,0
13,105.2673,30,29.99791,32,31.99993,32,31.99966,180,180.0416,52.45066,54.35743,228.2159,28.57861,2,2,10,9.995,10,10,0,0,0,0,0,0,0,0
