"ID","sea_time","fid_signal"
1,0,149.749
2,0.001667,149.727
3,0.003333,149.786
4,0.005,149.98
5,0.006667,149.98
6,0.008333,150.077
7,0.01,149.816
8,0.011667,149.228
9,0.013333,149.228
10,0.015,148.483
11,0.016667,148.095
12,0.018333,147.998
13,0.02,147.998
14,0.02165,148.214
15,0.023317,148.736
16,0.025017,149.004
17,0.02665,149.004
18,0.028317,149.094
19,0.029983,149.369
20,0.0317,149.369
21,0.033317,149.123
22,0.034983,148.796
23,0.03665,148.684
24,0.038317,148.684
25,0.039983,148.639
26,0.04165,148.997
27,0.043317,149.108
28,0.044983,149.108
29,0.04665,149.131
30,0.0484,149.027
31,0.049983,148.87
32,0.05165,148.87
33,0.053317,148.989
34,0.054983,149.019
35,0.05665,149.019
36,0.058317,149.027
37,0.059983,148.818
38,0.06165,148.647
39,0.063317,148.647
40,0.065083,148.84
41,0.06665,148.736
42,0.068317,148.736
43,0.069983,148.736
44,0.07165000000000001,148.81
45,0.07331699999999999,148.498
46,0.07498299999999999,148.602
47,0.07665,148.602
48,0.078317,148.684
49,0.079967,148.624
50,0.081633,148.624
51,0.0833,148.863
52,0.084967,148.84
53,0.086633,148.937
54,0.0883,148.937
55,0.08996700000000001,148.915
56,0.09163300000000001,148.728
57,0.09329999999999999,148.676
58,0.094967,148.676
59,0.096633,148.639
60,0.0983,148.565
61,0.099967,148.691
62,0.101633,148.691
63,0.1033,148.773
64,0.104967,148.743
65,0.106633,148.803
66,0.1083,148.803
67,0.109967,148.892
68,0.111633,148.691
69,0.113317,148.691
70,0.114967,148.967
71,0.116633,149.004
72,0.1183,148.967
73,0.119967,148.967
74,0.121633,149.451
75,0.1233,149.325
76,0.124967,149.57
77,0.126633,149.57
78,0.1283,149.325
79,0.129967,149.086
80,0.131633,148.982
81,0.1333,148.982
82,0.134967,148.647
83,0.136633,148.691
84,0.1383,148.691
85,0.139967,149.012
86,0.141617,148.989
87,0.143283,148.989
88,0.14495,148.989
89,0.146617,149.198
90,0.148283,148.952
91,0.149967,149.19
92,0.151617,149.19
93,0.153283,149.302
94,0.15495,149.086
95,0.156617,148.84
