"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,138.5729,120,119.0304,32,32.01985,32,32.02605,180,179.9939,52.92207,55.56071,229.032,29.95789,0,0,10,10.02,10,10.005,0,0,0,0,0,0,0,0
2,139.4599,120,120.0077,32,32.0009,32,31.99858,180,180.0329,54.23716,58.1033,228.4053,29.84548,0,0,10,10.03,10,10.005,0,0,0,0,0,0,0,0
3,111.2761,50,49.02039,32,31.80797,32,31.91221,180,180.0396,52.76208,54.34723,220.1596,29.87997,0,0,10,10.025,10,10.005,0,0,0,0,0,0,0,0
4,114.9958,50,50.00643,32,31.83151,32,31.89,180,180.361,53.11154,54.51683,223.6361,29.76055,0,0,10,9.995,10,10,0,0,0,0,0,0,0,0
5,114.4807,50,50.01134,32,31.83203,32,31.88977,180,180.3553,53.1136,54.52041,223.3543,29.79356,0,0,10,10,10,9.995,0,0,0,0,0,0,0,0
6,114.7955,50,50.00195,32,31.9137,32,31.93144,180,180.1505,53.31079,54.81423,225.5562,29.50925,0,0,10,10,10,10.005,0,0,0,0,0,0,0,0
7,111.0186,50,49.98119,32,31.99022,32,31.98384,180,180.0107,53.19124,55.78703,228.5961,28.87221,2,1.95,10,10,10,9.99,0,0,0,0,0,0,0,0
8,115.0816,50,49.99451,32,31.9996,32,31.99603,180,180.0107,53.04036,55.82455,228.6363,28.6524,2,1.995,10,9.995,10,10,0,0,0,0,0,0,0,0
9,112.7067,50,49.99386,32,31.99983,32,31.99409,180,180.0134,53.02803,55.84349,228.2157,28.6342,2,1.995,10,9.99,10,9.99,0,0,0,0,0,0,0,0
10,114.8527,50,50.00241,32,31.99431,32,31.99834,180,180.0188,52.94397,55.72661,228.6761,28.55745,2,2.01,10,10.03,10,10.03,0,0,0,0,0,0,0,0
11,112.7353,50,49.99807,32,31.99435,32,31.9978,180,180.0125,52.91996,55.68389,228.3332,28.52804,2,2.005,10,9.985,10,9.995,0,0,0,0,0,0,0,0
12,114.9672,50,49.99842,32,31.99793,32,32.00013,180,180.0271,52.90622,55.68397,228.6723,28.5828,2,2.015,10,10,10,10.005,0,0,0,0,0,0,0,0
13,113.2504,50,50.0012,32,32.00142,32,31.99978,180,180.0283,52.89282,55.67968,228.3301,28.59013,2,1.995,10,10.005,10,9.995,0,0,0,0,0,0,0,0
14,115.1102,50,49.99781,32,31.99923,32,32.00032,180,180.0312,52.87624,55.64408,228.7794,28.64764,2,1.96,10,9.96,10,10.02,0,0,0,0,0,0,0,0
15,113.3076,50,49.99749,32,31.99923,32,31.99834,180,180.0297,52.87275,55.63556,228.3944,28.6468,2,2.015,10,10.01,10,10,0,0,0,0,0,0,0,0
16,114.9385,50,50.00141,32,31.99965,32,31.99718,180,180.0264,52.84337,55.60528,228.7375,28.55759,2,2.01,10,9.99,10,9.995,0,0,0,0,0,0,0,0
17,113.279,50,49.99999,32,31.99802,32,31.99633,180,180.0285,52.84067,55.59622,228.3679,28.57349,2,1.995,10,10,10,9.99,0,0,0,0,0,0,0,0
18,114.7096,50,49.99628,32,31.99937,32,31.99958,180,179.9739,52.78925,55.57101,228.8346,28.62427,2,2.02,10,10,10,9.995,0,0,0,0,0,0,0,0
19,113.3362,50,49.99685,32,32.00039,32,32.00074,180,179.9728,52.78707,55.57079,228.4422,28.60653,2,2.015,10,10,10,10,0,0,0,0,0,0,0,0
20,114.8241,50,49.99888,32,31.99728,32,32.00071,180,180.0721,52.79186,55.532,228.7455,28.61812,2,2,10,10,10,9.995,0,0,0,0,0,0,0,0
21,113.4221,50,49.99945,32,31.99867,32,31.99951,180,180.0762,52.79675,55.56345,228.4054,28.60763,2,1.995,10,9.995,10,9.99,0,0,0,0,0,0,0,0
22,114.4521,50,49.99757,32,32.0016,32,32.00156,180,179.9833,52.79912,55.54342,228.8688,28.57652,2,1.995,10,10.015,10,10.005,0,0,0,0,0,0,0,0
23,113.2218,50,50.00056,32,32.00016,32,32.00074,180,179.9847,52.78995,55.54021,228.4916,28.57827,2,2,10,9.995,10,10,0,0,0,0,0,0,0,0
24,114.7096,50,50.00401,32,31.99589,32,32.00156,180,179.969,52.79767,55.53538,228.8034,28.55594,2,1.995,10,9.98,10,9.975,0,0,0,0,0,0,0,0
25,113.3076,50,50.00038,32,31.99566,32,31.99951,180,179.9681,52.78859,55.5116,228.4553,28.5023,2,1.99,10,9.98,10,9.965,0,0,0,0,0,0,0,0
26,114.8527,50,49.99878,32,31.99612,32,31.99749,180,180.0125,52.7768,55.52057,228.828,28.55029,2,2.01,10,9.995,10,10,0,0,0,0,0,0,0,0
27,113.7368,50,50.00092,32,31.9971,32,31.9997,180,180.0129,52.77137,55.51809,228.444,28.54023,2,2,10,10,10,9.995,0,0,0,0,0,0,0,0
28,114.538,50,50.00283,32,31.99575,32,32.00078,180,180.0137,52.80099,55.4918,228.7673,28.45523,2,2.005,10,10.04,10,10.01,0,0,0,0,0,0,0,0
29,113.0501,50,50.00059,32,31.99714,32,32.00159,180,180.0074,52.81024,55.51231,228.4472,28.47291,2,2.03,10,10.01,10,10,0,0,0,0,0,0,0,0
30,114.538,50,50.00298,32,32.00095,32,32.00233,180,180.0401,52.74214,55.48338,228.9227,28.4684,2,2.01,10,10.015,10,10.01,0,0,0,0,0,0,0,0
31,113.3934,50,49.99625,32,32.00025,32,32.00059,180,180.0347,52.7475,55.48254,228.5134,28.44611,2,2.005,10,9.995,10,10,0,0,0,0,0,0,0,0
32,114.681,50,49.99048,32,32.0022,32,31.99606,180,179.9948,52.74274,55.48161,228.7811,28.45037,2,2.02,10,10.015,10,10.005,0,0,0,0,0,0,0,0
33,113.4221,50,49.98988,32,32.00095,32,31.99653,180,179.9913,52.73923,55.48843,228.4491,28.48818,2,2.01,10,10,10,9.99,0,0,0,0,0,0,0,0
34,114.5952,50,49.99721,32,32.00076,32,32.00156,180,179.972,52.69368,55.45456,228.8317,28.53739,2,1.95,10,9.985,10,10.005,0,0,0,0,0,0,0,0
35,113.3648,50,49.99903,32,32.0016,32,32.00005,180,179.9704,52.70049,55.48714,228.4758,28.51887,2,2.015,10,10.005,10,10.005,0,0,0,0,0,0,0,0
36,114.9099,50,50.00209,32,31.99932,32,32.00094,180,180.0592,52.71778,55.46791,228.8307,28.57691,2,2.015,10,10.02,10,10.005,0,0,0,0,0,0,0,0
37,113.3076,50,50.00212,32,31.99844,32,32.00024,180,180.058,52.72091,55.48726,228.4835,28.57121,2,1.95,10,10,10,10.015,0,0,0,0,0,0,0,0
38,114.5093,50,50.00333,32,31.99719,32,32.00016,180,180.0346,52.7247,55.4989,228.8658,28.57952,2,2.005,10,10.005,10,10.005,0,0,0,0,0,0,0,0
39,113.5365,50,49.99942,32,31.99714,32,32.00136,180,180.0331,52.71006,55.45752,228.5085,28.57187,2,2.015,10,10.005,10,10.005,0,0,0,0,0,0,0,0
40,114.8241,50,49.99767,32,32.00062,32,32.00307,180,180.0433,52.73798,55.49767,228.9071,28.47485,2,2.02,10,10.015,10,10,0,0,0,0,0,0,0,0
41,113.3362,50,50.00401,32,32.00142,32,32.00245,180,180.0459,52.73155,55.50052,228.5368,28.46914,2,1.95,10,9.965,10,9.99,0,0,0,0,0,0,0,0
42,114.6524,50,49.99789,32,32.00146,32,31.99707,180,179.9948,52.71876,55.51509,228.9361,28.47988,2,2,10,10,10,9.995,0,0,0,0,0,0,0,0
43,113.6796,50,50.00063,32,32.00081,32,31.9966,180,179.9971,52.71343,55.51069,228.5455,28.4876,2,2.015,10,10.005,10,10.005,0,0,0,0,0,0,0,0
44,114.7669,50,49.99942,32,32.00299,32,31.99188,180,179.9942,52.74442,55.46558,228.9003,28.50869,2,2.01,10,10.02,10,10.005,0,0,0,0,0,0,0,0
45,113.6796,50,49.99885,32,32.00174,32,31.99324,180,179.9969,52.74786,55.49505,228.5296,28.52126,2,1.96,10,9.98,10,10.01,0,0,0,0,0,0,0,0
46,114.4235,50,50.00533,32,32.00151,32,31.99796,180,179.9494,52.72285,55.50711,228.9229,28.55378,2,1.95,10,10,10,10.015,0,0,0,0,0,0,0,0
47,113.651,50,49.99757,32,32.00048,32,31.99773,180,179.9475,52.70206,55.47868,228.5518,28.56504,2,1.985,10,10.02,10,10.015,0,0,0,0,0,0,0,0
48,114.6238,50,49.99928,32,31.99663,32,32.0004,180,179.8999,52.74771,55.49898,228.816,28.45471,2,1.95,10,10,10,10.02,0,0,0,0,0,0,0,0
49,113.7082,50,49.99928,32,31.99593,32,32.00144,180,179.9005,52.75325,55.50591,228.4462,28.44828,2,1.975,10,9.965,10,9.985,0,0,0,0,0,0,0,0
50,114.7383,50,49.99828,32,31.99658,32,32.00249,180,179.9574,52.75354,55.51635,228.8753,28.45011,2,2.01,10,10,10,10.005,0,0,0,0,0,0,0,0
51,113.7654,50,49.99803,32,31.99584,32,32.0021,180,179.9557,52.7504,55.50813,228.5264,28.44734,2,1.995,10,10,10,10,0,0,0,0,0,0,0,0
52,114.9099,50,49.99792,32,31.99835,32,31.9992,180,179.8598,52.70199,55.49706,228.9364,28.48993,2,1.99,10,9.985,10,9.965,0,0,0,0,0,0,0,0
53,113.6223,50,50.00113,32,32.00299,32,32.00156,180,179.8654,52.69936,55.48921,228.5612,28.48422,2,1.99,10,9.99,10,9.995,0,0,0,0,0,0,0,0
54,114.7096,50,50.00145,32,31.9977,32,31.99935,180,180.0385,52.71,55.46983,228.9769,28.50353,2,2,10,10,10,9.995,0,0,0,0,0,0,0,0
55,113.5079,50,49.9997,32,31.9997,32,32.0004,180,180.0395,52.71219,55.47624,228.5975,28.5006,2,2.015,10,10,10,9.995,0,0,0,0,0,0,0,0
56,114.7096,50,49.99831,32,32.00021,32,31.99688,180,180.0245,52.73958,55.49431,229.0121,28.52946,2,2,10,9.995,10,9.99,0,0,0,0,0,0,0,0
57,113.5651,50,50.00009,32,31.99956,32,31.99711,180,180.0275,52.73098,55.49409,228.6476,28.52851,2,1.995,10,10,10,9.995,0,0,0,0,0,0,0,0
58,114.5952,50,49.99995,32,31.99816,32,32.0002,180,180.0702,52.73133,55.48521,229.0394,28.5286,2,1.995,10,9.98,10,9.99,0,0,0,0,0,0,0,0
59,110.8755,50,49.99871,32,32.00722,32,32.00082,180,179.9793,52.64166,55.36279,229.2258,28.40805,2,1.985,10,9.995,10,10.005,0,0,0,0,0,0,0,0
60,114.6524,50,49.99885,32,31.99672,32,31.99761,180,179.9877,52.6314,55.35778,228.9114,28.4123,2,1.97,10,9.965,10,9.995,0,0,0,0,0,0,0,0
61,113.1073,50,50.00241,32,31.99714,32,31.99529,180,179.9888,52.63523,55.35855,228.5745,28.43456,2,1.96,10,9.95,10,10.005,0,0,0,0,0,0,0,0
62,114.6524,50,50.00098,32,31.99779,32,32.00237,180,180.0193,52.66422,55.3928,228.8891,28.34555,2,1.985,10,9.965,10,9.97,0,0,0,0,0,0,0,0
63,113.1932,50,50.00298,32,31.99631,32,32.00299,180,180.0182,52.65899,55.3615,228.5069,28.38678,2,2.01,10,10.025,10,10.015,0,0,0,0,0,0,0,0
64,114.5666,50,50.00369,32,32.0016,32,31.99897,180,180.0656,52.67153,55.38278,228.9373,28.42423,2,2.015,10,10.01,10,10,0,0,0,0,0,0,0,0
65,113.4221,50,49.99878,32,32.00002,32,32.00434,180,180.069,52.65796,55.38107,228.5625,28.41063,2,2.02,10,10.01,10,10,0,0,0,0,0,0,0,0
66,114.4521,50,50.00294,32,31.9996,32,31.99966,180,180.0034,52.66715,55.41016,228.9327,28.47523,2,2.01,10,9.995,10,10,0,0,0,0,0,0,0,0
67,113.279,50,49.99913,32,31.99942,32,31.99997,180,180.0027,52.65994,55.38107,228.5624,28.48361,2,2.03,10,10.01,10,9.995,0,0,0,0,0,0,0,0
68,114.4235,50,50.00369,32,32.00155,32,31.9985,180,180.0153,52.69133,55.40742,228.8474,28.40871,2,1.96,10,9.97,10,10.005,0,0,0,0,0,0,0,0
