"injection_table_name","solventReservoir_ID","target_surface_coverage","stage_time","FIDGain","target_Temperature_Column_Oven","flow_Rate","target_column_rh"
"injection1",4,1380.11522691474,20,500,50,10,0
"injection2",4,2031.23602347231,20,100,50,10,0
"injection3",4,2658.65800932879,10,100,50,10,0
"injection4",4,3849.15001256066,10,100,50,10,0
"injection5",4,4964.98081891864,10,100,50,10,0
"injection6",4,6019.31999506051,8,100,50,10,0
"injection7",4,7025.03076576098,8,10,50,10,0
"injection8",4,7994.58993117806,8,10,50,10,0
"injection9",4,8940.006502217901,8,10,50,10,0
"injection10",4,9872.750415624299,8,10,50,10,0
"injection11",4,10803.6781710508,8,10,50,10,0
"injection12",4,11742.9719764004,8,10,50,10,0
"injection13",4,12700.0766868491,8,10,50,10,0
"injection14",4,13683.645630339,8,10,50,10,0
"injection15",4,14701.4922001121,5,1,50,10,0
"injection16",4,15760.5443692604,5,1,50,10,0
"injection17",4,16866.8081430567,5,1,50,10,0
"injection18",4,18025.3428070053,5,1,50,10,0
"injection19",4,19240.2268813348,5,1,50,10,0
"injection20",4,20514.5451801972,5,1,50,10,0
"injection21",4,21850.3841235437,5,1,50,10,0
"injection22",4,27815.4005494427,5,1,50,10,0
"injection23",4,34673.4665288304,5,1,50,10,0
"injection24",4,42103.1398742412,5,1,50,10,0
"injection25",4,49595.5412120916,5,1,50,10,0
"injection26",4,56521.4953135048,5,1,50,10,0
"injection27",3,543.8081467320779,8,500,50,10,0
"injection28",3,809.224763546707,8,100,50,10,0
"injection29",3,1070.38917766306,5,100,50,10,0
"injection30",3,1580.19260187054,5,100,50,10,0
"injection31",3,2073.70137449305,5,100,50,10,0
"injection32",3,2551.43005973701,5,100,50,10,0
"injection33",3,3013.92243476032,5,10,50,10,0
"injection34",3,3461.75046013885,5,10,50,10,0
"injection35",3,3895.51098323666,5,10,50,10,0
"injection36",3,4315.82519870553,5,10,50,10,0
"injection37",3,4723.33469049543,5,10,50,10,0
"injection38",3,5118.70142796306,5,10,50,10,0
"injection39",3,5502.60444824769,5,10,50,10,0
"injection40",3,5875.73811971448,5,10,50,10,0
"injection41",3,6238.81035977622,5,1,50,10,0
"injection42",3,6592.5397816555,5,1,50,10,0
"injection43",3,6937.65399087713,3,1,50,10,0
"injection44",3,7274.88934167219,3,1,50,10,0
"injection45",3,7604.98587041819,3,1,50,10,0
"injection46",3,7928.68693075519,3,1,50,10,0
"injection47",3,8246.73866828652,3,1,50,10,0
"injection48",3,9477.292798635021,3,1,50,10,0
"injection49",3,10676.1670579351,3,1,50,10,0
"injection50",3,11887.8528723623,3,1,50,10,0
"injection51",3,13152.9338653897,3,1,50,10,0
"injection52",3,14506.7859016171,3,1,50,10,0
"injection53",2,234.109812054598,5,100,50,10,0
"injection54",2,349.465605408121,5,100,50,10,0
"injection55",2,463.70323707089,3,100,50,10,0
"injection56",2,688.867593330317,3,100,50,10,0
"injection57",2,909.689761070546,3,100,50,10,0
"injection58",2,1126.25621187931,3,100,50,10,0
"injection59",2,1338.65279857138,3,10,50,10,0
"injection60",2,1546.96518287561,3,10,50,10,0
"injection61",2,1751.27823378273,3,10,50,10,0
"injection62",2,1951.67671257298,3,10,50,10,0
"injection63",2,2148.24435691146,3,10,50,10,0
"injection64",2,2341.0648454302,3,10,50,10,0
"injection65",2,2530.22118829052,3,10,50,10,0
"injection66",2,2715.79586875099,3,10,50,10,0
"injection67",2,2897.87096852455,3,1,50,10,0
"injection68",2,3076.52775078337,3,1,50,10,0
"injection69",2,3251.84680605525,3,1,50,10,0
"injection70",2,3423.90894413045,3,1,50,10,0
"injection71",2,3592.79361844222,3,1,50,10,0
"injection72",2,3758.57972296321,3,1,50,10,0
"injection73",2,3921.34630404487,2,1,50,10,0
"injection74",2,4543.76454541705,2,1,50,10,0
"injection75",2,5123.99326827099,2,1,50,10,0
"injection76",2,5666.76199719179,2,1,50,10,0
"injection77",2,6176.63331276974,2,1,50,10,0
"injection78",2,6657.99453640702,2,1,50,10,0
"injection79",1,90.1112293156245,2,10,50,10,0
"injection80",1,134.470885761241,2,10,50,10,0
"injection81",1,178.374270827505,2,10,50,10,0
"injection82",1,264.835025413051,2,10,50,10,0
"injection83",1,349.53858877164,2,10,50,10,0
"injection84",1,432.529276033878,2,10,50,10,0
"injection85",1,513.85055448717,2,10,50,10,0
"injection86",1,593.545220443139,2,10,50,10,0
"injection87",1,671.655181830405,2,10,50,10,0
"injection88",1,748.221733027341,2,10,50,10,0
"injection89",1,823.285217426434,2,10,50,10,0
"injection90",1,896.885408522222,2,10,50,10,0
"injection91",1,969.061289404422,2,1,50,10,0
"injection92",1,1039.85111909674,2,1,50,10,0
"injection93",1,1109.2924924534,2,1,50,10,0
"injection94",1,1177.42219307955,2,1,50,10,0
"injection95",1,1244.27626082485,2,1,50,10,0
"injection96",1,1309.89034354572,2,1,50,10,0
"injection97",1,1374.29910783741,2,1,50,10,0
"injection98",1,1437.53655428633,2,1,50,10,0
"injection99",1,1499.63630032056,2,1,50,10,0
"injection100",1,1737.30292097467,1,1,50,10,0
"injection101",1,1959.27184893565,1,1,50,10,0
"injection102",1,2167.38050202398,1,1,50,10,0
"injection103",1,2363.31660266774,1,1,50,10,0
"injection104",1,2548.6248933727,1,1,50,10,0
"injection105",8,68.5867345011594,2,10,50,10,0
"injection106",8,102.367257497078,2,10,50,10,0
"injection107",8,135.812510234234,2,10,50,10,0
"injection108",8,201.716293186526,2,10,50,10,0
"injection109",8,266.335003588941,2,10,50,10,0
"injection110",8,329.703643591083,2,10,50,10,0
"injection111",8,391.855349682846,2,10,50,10,0
"injection112",8,452.821626756529,2,10,50,10,0
"injection113",8,512.63227613646,2,10,50,10,0
"injection114",8,571.315695534617,1,1,50,10,0
"injection115",8,628.89870584573,1,1,50,10,0
"injection116",8,685.406924221723,1,1,50,10,0
"injection117",8,740.864672079315,1,1,50,10,0
"injection118",8,795.295098976883,1,1,50,10,0
"injection119",8,848.720297957341,1,1,50,10,0
"injection120",8,901.161258007205,1,1,50,10,0
"injection121",8,952.637977977024,1,1,50,10,0
"injection122",8,1003.16979627663,1,1,50,10,0
"injection123",8,1052.77499263216,1,1,50,10,0
"injection124",8,1101.47108320545,1,1,50,10,0
"injection125",8,1149.27508780722,1,1,50,10,0
"injection126",8,1331.8847894163,1,1,50,10,0
"injection127",8,1501.41808114293,1,1,50,10,0
"injection128",8,1658.71247108436,1,1,50,10,0
"injection129",8,1804.52788822481,1,1,50,10,0
"injection130",8,1939.57337479076,1,1,50,10,0
"injection131",9,212.778018576891,2,10,50,10,0
"injection132",9,317.5415823227,2,10,50,10,0
"injection133",9,421.234324228234,2,10,50,10,0
"injection134",9,625.445713669739,2,10,50,10,0
"injection135",9,825.4888309936071,2,10,50,10,0
"injection136",9,1021.44018884481,2,10,50,10,0
"injection137",9,1213.37597303078,2,10,50,10,0
"injection138",9,1401.37242379252,2,10,50,10,0
"injection139",9,1585.50528686962,2,10,50,10,0
"injection140",9,1765.85042613032,2,1,50,10,0
"injection141",9,1942.48299327511,1,1,50,10,0
"injection142",9,2115.47829081146,1,1,50,10,0
"injection143",9,2284.91121809712,1,1,50,10,0
"injection144",9,2450.85639355999,1,1,50,10,0
"injection145",9,2613.38826117373,1,1,50,10,0
"injection146",9,2772.58071282663,1,1,50,10,0
"injection147",9,2928.50721490605,1,1,50,10,0
"injection148",9,3081.24159507049,1,1,50,10,0
"injection149",9,3230.85663569898,1,1,50,10,0
"injection150",9,3377.42477942313,1,1,50,10,0
"injection151",9,3521.01875118039,1,1,50,10,0
"injection152",9,4067.08244606991,1,1,50,10,0
"injection153",9,4571.2347812336,1,1,50,10,0
"injection154",9,5037.89895594061,1,1,50,10,0
"injection155",9,5471.37573319533,1,1,50,10,0
"injection156",9,5875.83141690159,1,1,50,10,0
