"ID","sea_time","fid_signal"
1,0,39.594
2,0.001667,39.597
3,0.003333,39.606
4,0.005,39.606
5,0.0067,39.61
6,0.008333,39.41
7,0.01,39.107
8,0.011667,39.107
9,0.013333,38.849
10,0.015,38.682
11,0.016667,38.682
12,0.018317,38.766
13,0.019983,39.045
14,0.02165,39.256
15,0.023333,39.256
16,0.024983,39.385
17,0.02665,39.458
18,0.028317,39.441
19,0.029983,39.441
20,0.03165,39.449
21,0.033317,39.445
22,0.034983,39.456
23,0.03665,39.456
24,0.038317,39.499
25,0.039983,39.526
26,0.04165,39.526
27,0.043317,39.576
28,0.044983,39.57
29,0.04665,39.547
30,0.048317,39.547
31,0.049983,39.52
32,0.05165,39.469
33,0.053317,39.472
34,0.054983,39.472
35,0.05665,39.523
36,0.058317,39.563
37,0.059983,39.616
38,0.06165,39.616
39,0.063317,39.621
40,0.064983,39.594
41,0.06665,39.604
42,0.068317,39.604
43,0.069983,39.58
44,0.07165000000000001,39.59
45,0.07331699999999999,39.59
46,0.07498299999999999,39.575
47,0.07665,39.531
48,0.078317,39.562
49,0.079967,39.562
50,0.081633,39.57
51,0.0833,39.613
52,0.084967,39.629
53,0.086633,39.629
54,0.0883,39.615
55,0.08996700000000001,39.587
56,0.09163300000000001,39.554
57,0.09329999999999999,39.554
58,0.094967,39.56
59,0.096633,39.563
60,0.0983,39.563
61,0.09995,39.581
62,0.101617,39.597
63,0.103283,39.595
64,0.10495,39.595
65,0.10665,39.563
66,0.108317,39.578
67,0.10995,39.569
68,0.111617,39.569
69,0.113283,39.576
70,0.11495,39.564
71,0.116617,39.542
72,0.118283,39.542
73,0.11995,39.519
74,0.121617,39.504
75,0.123283,39.517
76,0.12495,39.517
77,0.126617,39.501
78,0.128283,39.515
79,0.12995,39.515
80,0.131617,39.516
81,0.133283,39.525
82,0.13495,39.545
83,0.136617,39.545
84,0.138267,39.551
85,0.139933,39.55
86,0.141667,39.537
87,0.143267,39.537
88,0.144933,39.523
89,0.1466,39.49
90,0.148267,39.464
91,0.149933,39.464
92,0.1516,39.436
93,0.153283,39.446
94,0.154933,39.446
95,0.1566,39.475
96,0.158267,39.523
97,0.15995,39.562
98,0.1616,39.562
99,0.163267,39.527
100,0.164933,39.487
101,0.1666,39.429
102,0.168267,39.429
103,0.169933,39.428
104,0.1716,39.461
105,0.173267,39.47
106,0.174933,39.47
107,0.1766,39.479
108,0.178267,39.456
109,0.179933,39.443
110,0.1816,39.443
111,0.183267,39.476
112,0.184933,39.471
113,0.1866,39.471
114,0.188267,39.459
115,0.189933,39.443
116,0.1916,39.428
117,0.193283,39.428
118,0.194933,39.467
119,0.1966,39.475
120,0.19825,39.495
121,0.199917,39.495
122,0.201583,39.499
123,0.20325,39.467
124,0.204917,39.485
125,0.206583,39.485
126,0.20825,39.484
127,0.209917,39.484
128,0.211583,39.484
129,0.21325,39.49
130,0.214933,39.472
131,0.216583,39.449
132,0.21825,39.449
133,0.219917,39.456
134,0.221583,39.452
135,0.22325,39.447
136,0.224917,39.447
137,0.226583,39.451
138,0.22825,39.44
139,0.229917,39.453
140,0.231583,39.453
141,0.23325,39.469
142,0.234917,39.497
143,0.236583,39.497
144,0.23825,39.497
145,0.239917,39.474
146,0.241583,39.471
147,0.243317,39.471
148,0.244917,39.437
149,0.246583,39.411
150,0.24825,39.403
151,0.249917,39.403
152,0.251583,39.382
153,0.25325,39.4
154,0.254917,39.402
155,0.256583,39.402
156,0.258233,39.417
157,0.260033,39.425
158,0.261567,39.403
159,0.263233,39.403
160,0.2649,39.418
161,0.266567,39.404
162,0.268233,39.404
163,0.2699,39.42
164,0.271567,39.448
165,0.273233,39.42
166,0.2749,39.42
167,0.276567,39.415
168,0.278233,39.396
169,0.2799,39.367
170,0.281567,39.367
171,0.283233,39.42
172,0.284917,39.463
173,0.286567,39.485
174,0.288233,39.485
175,0.2899,39.484
176,0.291567,39.462
177,0.293233,39.462
178,0.2949,39.453
179,0.296567,39.43
180,0.298233,39.425
181,0.2999,39.425
182,0.301567,39.416
183,0.303233,39.401
184,0.3049,39.393
185,0.306567,39.393
186,0.308233,39.373
187,0.3099,39.38
188,0.311567,39.387
189,0.313233,39.387
190,0.3149,39.411
191,0.31655,39.449
192,0.318217,39.434
193,0.319883,39.434
194,0.32155,39.418
195,0.323217,39.402
196,0.324883,39.402
197,0.32655,39.42
198,0.328217,39.42
199,0.329883,39.417
200,0.33155,39.417
201,0.333217,39.405
202,0.334883,39.386
203,0.33655,39.398
204,0.338217,39.398
205,0.339883,39.405
206,0.34155,39.455
207,0.343217,39.452
208,0.3449,39.452
209,0.34655,39.475
210,0.348217,39.469
211,0.349883,39.469
212,0.35155,39.42
213,0.353217,39.437
214,0.354883,39.4
215,0.35655,39.4
216,0.358217,39.403
217,0.359883,39.404
218,0.36165,39.39
219,0.363217,39.39
220,0.364883,39.396
221,0.36655,39.396
222,0.368217,39.425
223,0.369883,39.425
224,0.37155,39.444
225,0.373217,39.462
226,0.374883,39.498
227,0.37655,39.498
228,0.3783,39.556
229,0.379867,39.594
230,0.381533,39.594
231,0.3832,39.659
232,0.384867,39.709
233,0.386533,39.732
234,0.388217,39.732
235,0.389867,39.775
236,0.391517,39.827
237,0.393183,39.899
238,0.394967,39.899
239,0.396517,40.032
240,0.398183,40.173
241,0.39985,40.328
242,0.401517,40.328
243,0.403183,40.514
244,0.40485,40.682
245,0.406517,40.682
246,0.408183,40.929
247,0.40985,41.224
248,0.411517,41.579
249,0.413183,41.579
250,0.41485,42.024
251,0.416517,42.503
252,0.418183,43.05
253,0.41985,43.05
254,0.421517,43.668
255,0.423183,44.371
256,0.42485,45.238
257,0.426517,45.238
258,0.428183,46.208
259,0.42985,47.371
260,0.431517,47.371
261,0.433183,48.668
262,0.434867,50.142
263,0.436517,51.89
264,0.438217,51.89
265,0.439833,53.921
266,0.4415,56.279
267,0.443167,59.017
268,0.444833,59.017
269,0.4465,62.2
270,0.448167,65.877
271,0.449833,70.218
272,0.4515,70.218
273,0.453167,75.31699999999999
274,0.454833,81.265
275,0.4565,88.285
276,0.458167,88.285
277,0.459833,96.542
278,0.4615,106.29
279,0.4632,106.29
280,0.464833,117.802
281,0.4665,131.309
282,0.468167,147.125
283,0.469833,147.125
284,0.4715,165.53
285,0.473167,186.858
286,0.474833,211.416
287,0.4765,211.416
288,0.478167,239.506
289,0.479883,271.415
290,0.4815,307.404
291,0.483167,307.404
292,0.484833,347.701
293,0.4865,392.488
294,0.488167,392.488
295,0.489833,441.898
296,0.4915,495.992
297,0.493167,554.8
298,0.494833,554.8
299,0.49655,618.178
300,0.49815,686.04
301,0.499817,758.184
302,0.501483,758.184
303,0.50315,834.3150000000001
304,0.504817,914.221
305,0.506483,997.511
306,0.50815,997.511
307,0.509817,1083.843
308,0.5115,1172.812
309,0.513283,1263.914
310,0.514817,1263.914
311,0.516483,1356.728
312,0.51815,1450.77
313,0.519817,1450.77
314,0.521483,1545.554
315,0.52315,1640.604
316,0.524817,1735.4
317,0.526483,1735.4
318,0.52815,1829.488
319,0.529817,1922.373
320,0.531483,2013.666
321,0.53315,2013.666
322,0.534817,2102.919
323,0.536483,2189.707
324,0.53815,2273.699
325,0.539817,2273.699
326,0.541483,2354.547
327,0.54315,2432.003
328,0.544817,2432.003
329,0.5464830000000001,2505.763
330,0.54815,2575.661
331,0.549817,2641.573
332,0.5514829999999999,2641.573
333,0.55315,2703.255
334,0.554817,2760.705
335,0.5564829999999999,2813.838
336,0.558133,2813.838
337,0.5598,2862.629
338,0.561467,2907.178
339,0.56315,2947.521
340,0.5648,2947.521
341,0.5664670000000001,2983.739
342,0.568133,3015.844
343,0.5698,3044.057
344,0.5714669999999999,3044.057
345,0.573133,3068.506
346,0.574817,3089.356
347,0.576467,3089.356
348,0.578133,3106.794
349,0.5798,3120.937
350,0.581483,3131.965
351,0.583133,3131.965
352,0.5848,3140.077
353,0.586467,3145.509
354,0.588133,3148.422
355,0.5898,3148.422
356,0.591467,3149.012
357,0.593133,3147.507
358,0.5948,3144.038
359,0.596467,3144.038
360,0.59815,3138.756
361,0.5998,3131.747
362,0.601467,3131.747
363,0.603133,3123.119
364,0.6048,3113.086
365,0.606467,3101.783
366,0.608133,3101.783
367,0.6098,3089.403
368,0.611467,3076.049
369,0.613133,3061.703
370,0.6148169999999999,3061.703
371,0.616467,3046.448
372,0.618117,3030.365
373,0.619783,3013.523
374,0.6214499999999999,3013.523
375,0.623117,2996.099
376,0.624783,2978.185
377,0.62645,2978.185
378,0.628117,2959.876
379,0.629783,2941.209
380,0.631583,2922.22
381,0.633117,2922.22
382,0.634783,2902.969
383,0.63645,2883.418
384,0.638117,2863.624
385,0.639783,2863.624
386,0.64145,2843.574
387,0.643117,2823.376
388,0.644783,2803.025
389,0.64645,2803.025
390,0.6481170000000001,2782.54
391,0.649783,2762.058
392,0.65145,2741.544
393,0.6531169999999999,2741.544
394,0.654783,2721.039
395,0.65645,2700.561
396,0.658117,2700.561
397,0.659783,2680.074
398,0.66145,2659.56
399,0.663117,2639.058
400,0.664783,2639.058
401,0.66645,2618.585
402,0.668117,2598.175
403,0.669783,2577.82
404,0.67145,2577.82
405,0.673117,2557.563
406,0.674783,2537.458
407,0.67645,2517.445
408,0.6781,2517.445
409,0.679767,2497.543
410,0.681433,2477.72
411,0.683083,2477.72
412,0.68475,2457.948
413,0.6864170000000001,2438.233
414,0.688083,2418.598
415,0.68975,2418.598
416,0.6914169999999999,2399.091
417,0.693083,2379.686
418,0.69475,2360.431
419,0.696417,2360.431
420,0.698083,2341.335
421,0.69975,2322.317
422,0.701417,2303.394
423,0.703083,2303.394
424,0.70475,2284.62
425,0.706417,2265.976
426,0.708083,2247.513
427,0.70975,2247.513
428,0.711417,2229.196
429,0.713083,2210.993
430,0.71475,2210.993
431,0.716467,2192.897
432,0.7181,2174.948
433,0.71975,2157.21
434,0.721417,2157.21
435,0.723083,2139.638
436,0.72475,2122.22
437,0.726417,2104.966
438,0.728083,2104.966
439,0.72975,2087.801
440,0.731417,2070.711
441,0.733083,2053.761
442,0.73475,2053.761
443,0.7364000000000001,2036.917
444,0.738083,2020.273
445,0.739733,2020.273
446,0.7413999999999999,2003.821
447,0.743067,1987.488
448,0.744733,1971.273
449,0.7464,1971.273
450,0.748067,1955.115
451,0.74985,1939.05
452,0.7514,1923.136
453,0.753067,1923.136
454,0.754733,1907.349
455,0.7564,1891.713
456,0.758067,1876.226
457,0.759733,1876.226
458,0.761417,1860.857
459,0.7630670000000001,1845.568
460,0.764733,1830.453
461,0.7664,1830.453
462,0.7680670000000001,1815.462
463,0.769733,1800.609
464,0.7714,1800.609
465,0.7730669999999999,1785.912
466,0.774733,1771.299
467,0.7764,1756.818
468,0.778067,1756.818
469,0.779733,1742.445
470,0.7814,1728.233
471,0.783067,1714.139
472,0.784733,1714.139
473,0.7864,1700.168
474,0.788067,1686.336
475,0.78975,1672.646
476,0.7914,1672.646
477,0.793067,1659.068
478,0.794717,1645.593
479,0.796383,1645.593
480,0.79805,1632.261
481,0.799717,1618.971
482,0.801383,1605.798
483,0.80305,1605.798
484,0.804717,1592.725
485,0.806383,1579.717
486,0.80805,1566.888
487,0.809717,1566.888
488,0.811383,1554.191
489,0.8130500000000001,1541.641
490,0.814717,1529.237
491,0.816383,1529.237
492,0.8180500000000001,1516.883
493,0.819717,1504.595
