"masterScheduleID","table_type","injection_name","solvent","status","surface_coverage"
1,2,"colConditioning1","",0,0
2,1,"methaneInjection1","METHANE",0,0
3,1,"methaneInjection2","METHANE",0,0
4,3,"injection1","NONANE",0,989.151353289222
5,3,"injection2","NONANE",0,1463.55135687899
6,3,"injection3","NONANE",0,1925.30585777885
7,3,"injection4","NONANE",0,2813.2886825813
8,3,"injection5","NONANE",0,3657.90486417653
9,3,"injection6","NONANE",0,4463.9233841554
10,3,"injection7","NONANE",0,5236.06066513384
11,3,"injection8","NONANE",0,5978.96674497491
12,3,"injection9","NONANE",0,6697.20807844357
13,3,"injection10","NONANE",0,7395.25538418133
14,3,"injection11","NONANE",0,8077.46628840973
15,3,"injection12","NONANE",0,8748.075039649329
16,3,"injection13","NONANE",0,9411.177262376479
17,3,"injection14","NONANE",0,10070.717891233
18,3,"injection15","NONANE",0,10730.4796651771
19,3,"injection16","NONANE",0,11394.0702851875
20,3,"injection17","NONANE",0,12064.9121579995
21,3,"injection18","NONANE",0,12746.2358771222
22,3,"injection19","NONANE",0,13441.0649054788
23,3,"injection20","NONANE",0,14152.2098903236
24,3,"injection21","NONANE",0,14882.2640940122
25,3,"injection22","NONANE",0,18035.2898116139
26,3,"injection23","NONANE",0,21636.6880625395
27,3,"injection24","NONANE",0,25735.5104120653
28,3,"injection25","NONANE",0,30316.364254676
29,3,"injection26","NONANE",0,35302.0902801106
30,3,"injection27","OCTANE",0,387.184804833781
31,3,"injection28","OCTANE",0,577.499546842108
32,3,"injection29","OCTANE",0,765.654396408037
33,3,"injection30","OCTANE",0,1135.56339306441
34,3,"injection31","OCTANE",0,1497.07512871248
35,3,"injection32","OCTANE",0,1850.36137874596
36,3,"injection33","OCTANE",0,2195.60169080467
37,3,"injection34","OCTANE",0,2532.98374900999
38,3,"injection35","OCTANE",0,2862.70206053968
39,3,"injection36","OCTANE",0,3184.958724338
40,3,"injection37","OCTANE",0,3499.96161191339
41,3,"injection38","OCTANE",0,3807.92557346705
42,3,"injection39","OCTANE",0,4109.07110862295
43,3,"injection40","OCTANE",0,4403.62424412315
44,3,"injection41","OCTANE",0,4691.81637984907
45,3,"injection42","OCTANE",0,4973.88327546828
46,3,"injection43","OCTANE",0,5250.06493128136
47,3,"injection44","OCTANE",0,5520.60663619901
48,3,"injection45","OCTANE",0,5785.7561320404
49,3,"injection46","OCTANE",0,6045.76451822385
50,3,"injection47","OCTANE",0,6300.8870131604
51,3,"injection48","OCTANE",0,7277.6856941471
52,3,"injection49","OCTANE",0,8197.18476936518
53,3,"injection50","OCTANE",0,9076.31936631431
54,3,"injection51","OCTANE",0,9931.89361588903
55,3,"injection52","OCTANE",0,10780.2526605591
56,3,"injection53","HEPTANE",0,166.379675055815
57,3,"injection54","HEPTANE",0,248.712159339122
58,3,"injection55","HEPTANE",0,330.478272493643
59,3,"injection56","HEPTANE",0,492.326938033068
60,3,"injection57","HEPTANE",0,651.956708470258
61,3,"injection58","HEPTANE",0,809.398538893459
62,3,"injection59","HEPTANE",0,964.683155176005
63,3,"injection60","HEPTANE",0,1117.84137168202
64,3,"injection61","HEPTANE",0,1268.90365652344
65,3,"injection62","HEPTANE",0,1417.9006413621
66,3,"injection63","HEPTANE",0,1564.86244810322
67,3,"injection64","HEPTANE",0,1709.81941059996
68,3,"injection65","HEPTANE",0,1852.80162733751
69,3,"injection66","HEPTANE",0,1993.83907147367
70,3,"injection67","HEPTANE",0,2132.96169207252
71,3,"injection68","HEPTANE",0,2270.19910077921
72,3,"injection69","HEPTANE",0,2405.5806842675
73,3,"injection70","HEPTANE",0,2539.13630095418
74,3,"injection71","HEPTANE",0,2670.89506903051
75,3,"injection72","HEPTANE",0,2800.88598210901
76,3,"injection73","HEPTANE",0,2929.13847669587
77,3,"injection74","HEPTANE",0,3425.33806542317
78,3,"injection75","HEPTANE",0,3896.00734674088
79,3,"injection76","HEPTANE",0,4342.93615572883
80,3,"injection77","HEPTANE",0,4767.8763961511
81,3,"injection78","HEPTANE",0,5172.53874051828
82,3,"injection79","HEXANE",0,64.0531112266528
83,3,"injection80","HEXANE",0,95.7280107157632
84,3,"injection81","HEXANE",0,127.171229491476
85,3,"injection82","HEXANE",0,189.370818019777
86,3,"injection83","HEXANE",0,250.668135566729
87,3,"injection84","HEXANE",0,311.079249261951
88,3,"injection85","HEXANE",0,370.619980419107
89,3,"injection86","HEXANE",0,429.306028751902
90,3,"injection87","HEXANE",0,487.152808047712
91,3,"injection88","HEXANE",0,544.1756438191391
92,3,"injection89","HEXANE",0,600.389517844072
93,3,"injection90","HEXANE",0,655.809346698033
94,3,"injection91","HEXANE",0,710.449812819861
95,3,"injection92","HEXANE",0,764.3254089004751
96,3,"injection93","HEXANE",0,817.450478777238
97,3,"injection94","HEXANE",0,869.839100011633
98,3,"injection95","HEXANE",0,921.505129123611
99,3,"injection96","HEXANE",0,972.462469603967
100,3,"injection97","HEXANE",0,1022.72461156738
101,3,"injection98","HEXANE",0,1072.3048689239
102,3,"injection99","HEXANE",0,1121.21659789347
103,3,"injection100","HEXANE",0,1310.43534504947
104,3,"injection101","HEXANE",0,1489.96774380424
105,3,"injection102","HEXANE",0,1660.57642184497
106,3,"injection103","HEXANE",0,1822.98235397833
107,3,"injection104","HEXANE",0,1977.86557665721
108,3,"injection105","DICHLOROMETHANE",0,72.8633417984764
109,3,"injection106","DICHLOROMETHANE",0,96.8076360363237
110,3,"injection107","DICHLOROMETHANE",0,144.191592239463
111,3,"injection108","DICHLOROMETHANE",0,190.914037341577
112,3,"injection109","DICHLOROMETHANE",0,236.98813191393
113,3,"injection110","DICHLOROMETHANE",0,282.426511043359
114,3,"injection111","DICHLOROMETHANE",0,327.241397941899
115,3,"injection112","DICHLOROMETHANE",0,371.444496732179
116,3,"injection113","DICHLOROMETHANE",0,415.047160998624
117,3,"injection114","DICHLOROMETHANE",0,458.060215517917
118,3,"injection115","DICHLOROMETHANE",0,500.494185620739
119,3,"injection116","DICHLOROMETHANE",0,542.359183877839
120,3,"injection117","DICHLOROMETHANE",0,583.664959318335
121,3,"injection118","DICHLOROMETHANE",0,624.420943556124
122,3,"injection119","DICHLOROMETHANE",0,664.636174932998
123,3,"injection120","DICHLOROMETHANE",0,704.319346797683
124,3,"injection121","DICHLOROMETHANE",0,743.479026667193
125,3,"injection122","DICHLOROMETHANE",0,782.1233153661331
126,3,"injection123","DICHLOROMETHANE",0,820.260041317776
127,3,"injection124","DICHLOROMETHANE",0,857.896940542529
128,3,"injection125","DICHLOROMETHANE",0,1003.58954085728
129,3,"injection126","DICHLOROMETHANE",0,1141.83373430007
130,3,"injection127","DICHLOROMETHANE",0,1273.01603406092
131,3,"injection128","DICHLOROMETHANE",0,1397.48307430685
132,3,"injection129","DICHLOROMETHANE",0,1515.54935697766
133,3,"injection130","ETHYL ACETATE",0,151.241631553119
134,3,"injection131","ETHYL ACETATE",0,226.042582157837
135,3,"injection132","ETHYL ACETATE",0,300.301517509946
136,3,"injection133","ETHYL ACETATE",0,447.207013942701
137,3,"injection134","ETHYL ACETATE",0,591.98544063883
138,3,"injection135","ETHYL ACETATE",0,734.664104789722
139,3,"injection136","ETHYL ACETATE",0,875.270166407867
140,3,"injection137","ETHYL ACETATE",0,1013.83092511694
141,3,"injection138","ETHYL ACETATE",0,1150.37342560037
142,3,"injection139","ETHYL ACETATE",0,1284.92491774049
143,3,"injection140","ETHYL ACETATE",0,1417.51224730281
144,3,"injection141","ETHYL ACETATE",0,1548.16250683036
145,3,"injection142","ETHYL ACETATE",0,1676.90263064706
146,3,"injection143","ETHYL ACETATE",0,1803.75949332468
147,3,"injection144","ETHYL ACETATE",0,1928.75999963302
148,3,"injection145","ETHYL ACETATE",0,2051.93080201541
149,3,"injection146","ETHYL ACETATE",0,2173.29840143031
150,3,"injection147","ETHYL ACETATE",0,2292.8897704227
151,3,"injection148","ETHYL ACETATE",0,2410.73126566536
152,3,"injection149","ETHYL ACETATE",0,2526.84917986569
153,3,"injection150","ETHYL ACETATE",0,2641.27024676001
154,3,"injection151","ETHYL ACETATE",0,3082.50891660036
155,3,"injection152","ETHYL ACETATE",0,3498.68491963797
156,3,"injection153","ETHYL ACETATE",0,3891.44499377984
157,3,"injection154","ETHYL ACETATE",0,4262.41127600064
158,3,"injection155","ETHYL ACETATE",0,4613.17747776294
159,1,"methaneInjection3","METHANE",0,0
160,1,"methaneInjection4","METHANE",0,0
