"ID","sea_time","fid_signal"
1,0,140.548
2,0.001667,140.548
3,0.003333,140.406
4,0.005,140.317
5,0.006667,140.607
6,0.008333,140.607
7,0.01,140.458
8,0.011667,140.54
9,0.013333,140.54
10,0.015017,140.615
11,0.016667,140.451
12,0.018333,140.607
13,0.02,140.607
14,0.021667,140.503
15,0.023333,140.317
16,0.025,140.183
17,0.026667,140.183
18,0.028333,139.78
19,0.03,139.549
20,0.031667,139.475
21,0.033333,139.475
22,0.035,139.348
23,0.036667,139.654
24,0.038333,139.654
25,0.04,139.967
26,0.041667,140.056
27,0.043333,140.004
28,0.045,140.004
29,0.046667,139.497
30,0.048333,139.438
31,0.049983,139.512
32,0.05165,139.512
33,0.053317,139.616
34,0.055,139.803
35,0.05665,139.706
36,0.058333,139.706
37,0.059983,139.81
38,0.06165,139.818
39,0.063317,139.818
40,0.064983,140.19
41,0.06665,140.347
42,0.068317,140.049
43,0.069983,140.049
44,0.071683,140.011
45,0.07331699999999999,140.071
46,0.07498299999999999,139.855
47,0.07665,139.855
48,0.078317,140.086
49,0.079983,139.922
50,0.08165,139.631
51,0.083317,139.631
52,0.085017,139.803
53,0.08665,139.654
54,0.08835,140.086
55,0.08998299999999999,140.086
56,0.09165,140.6
57,0.093317,140.913
58,0.094983,140.913
59,0.09665,141.166
60,0.098317,140.816
61,0.099983,140.347
62,0.10165,140.347
63,0.103317,140.078
64,0.1051,139.937
65,0.10665,140.429
66,0.108317,140.429
67,0.109983,140.667
68,0.111633,140.518
69,0.1133,140.332
70,0.114967,140.332
71,0.116633,139.736
72,0.1183,139.318
73,0.119967,139.318
74,0.121633,139.683
75,0.1233,139.818
76,0.12495,140.592
77,0.126617,140.592
78,0.128283,141.278
79,0.12995,141.308
80,0.131617,141.434
81,0.133283,141.434
82,0.13495,140.928
83,0.136617,140.578
84,0.138283,140.101
85,0.13995,140.101
86,0.141617,140.041
87,0.143283,140.212
88,0.14495,139.982
89,0.146617,139.982
90,0.148283,140.093
91,0.14995,140.578
92,0.151617,140.578
93,0.153283,140.302
94,0.15495,140.54
95,0.156617,140.697
96,0.158283,140.697
97,0.15995,140.265
98,0.161617,140.235
99,0.163283,140.16
100,0.16495,140.16
101,0.166617,140.183
102,0.168283,140.026
103,0.169933,140.071
104,0.1716,140.071
105,0.173267,139.825
106,0.174933,139.847
107,0.1766,139.847
108,0.178267,139.788
109,0.179933,139.721
110,0.1816,139.773
111,0.183267,139.773
112,0.184933,139.743
113,0.1866,139.877
114,0.188267,139.818
115,0.189933,139.818
116,0.1916,140.004
117,0.193267,140.116
118,0.194933,139.907
119,0.1966,139.907
120,0.198267,140.578
121,0.199933,140.801
122,0.2016,140.771
123,0.203267,140.771
124,0.204933,141.285
125,0.2066,141.039
126,0.208267,141.039
127,0.209933,140.928
128,0.2116,140.615
129,0.213267,140.391
130,0.214933,140.391
131,0.2166,140.071
132,0.218283,140.056
133,0.219933,140.153
134,0.2216,140.153
135,0.223367,139.84
136,0.224933,139.758
137,0.2266,139.698
138,0.228267,139.698
139,0.229933,139.616
140,0.231583,139.847
141,0.233283,139.847
142,0.234917,140.183
143,0.236583,140.347
144,0.23825,140.749
145,0.239917,140.749
146,0.241583,140.913
147,0.24325,140.861
148,0.244917,140.741
149,0.246583,140.741
150,0.24825,140.615
151,0.249917,140.741
152,0.251583,140.928
153,0.25325,140.928
154,0.254917,141.017
155,0.256583,140.764
156,0.25825,140.764
157,0.259917,140.443
158,0.261583,139.862
159,0.26325,139.944
160,0.264917,139.944
161,0.266583,139.646
162,0.26825,139.579
163,0.269917,139.989
164,0.271583,139.989
165,0.27325,139.892
166,0.274917,140.436
167,0.276583,140.16
168,0.27825,140.16
169,0.279917,140.287
170,0.281583,140.071
171,0.28325,139.996
172,0.284917,139.996
173,0.286583,140.592
174,0.28825,140.689
175,0.289917,140.689
176,0.291567,141.092
177,0.293233,141.561
178,0.2949,141.576
179,0.2966,141.576
180,0.298233,141.427
181,0.2999,141.129
182,0.301567,140.823
183,0.303233,140.823
184,0.3049,140.533
185,0.306567,140.503
186,0.308283,140.555
187,0.3099,140.555
188,0.311567,140.019
189,0.313233,140.265
190,0.3149,140.265
191,0.316567,140.376
192,0.318233,140.183
193,0.3199,140.958
194,0.321567,140.958
195,0.323233,140.831
196,0.3249,140.563
197,0.326567,140.704
198,0.328233,140.704
