"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,23.09072,120,119.0358,32,32.0133,32,32.03205,180,179.9483,52.18235,54.76947,229.9964,29.17542,0,0,10,10,10,9.995,0,0,0,0,0,0,0,0
2,23.94911,120,120.0161,32,31.99784,32,32.00024,180,180.0241,53.68575,57.56512,229.0614,29.17209,0,0,10,9.95,10,9.975,0,0,0,0,0,0,0,0
3,19.59993,30,30.96434,32,31.96157,32,32.00612,180,179.8155,52.55341,55.14856,215.8053,31.84948,0,0,10,9.955,10,10.01,0,0,0,0,0,0,0,0
4,22.74736,30,28.04943,32,31.96417,32,31.97962,180,179.9413,51.93252,54.22535,215.4257,31.52487,0,0,10,9.995,10,10,0,0,0,0,0,0,0,0
5,18.2265,30,29.00511,32,31.88268,32,31.91937,180,179.8841,48.85172,50.28054,215.1021,29.30256,0,0,10,9.98,10,9.975,0,0,0,0,0,0,0,0
6,21.63145,30,29.37234,32,31.87739,32,31.92196,180,180.0266,47.98055,49.23935,215.1315,28.76043,0,0,10,10.01,10,10.015,0,0,0,0,0,0,0,0
7,17.36811,30,29.84609,32,31.971,32,31.97617,180,179.0561,48.05496,47.44508,223.1198,27.62771,2,1.905,10,9.925,10,10.02,0,0,0,0,0,0,0,0
8,23.97772,30,30.00219,32,31.99867,32,32.00009,180,180.065,51.71383,53.58155,229.3512,27.90125,2,1.965,10,10.045,10,10.06,0,0,0,0,0,0,0,0
9,19.91467,30,30.00119,32,32.0009,32,32.0014,180,180.0307,51.69985,53.62772,229.224,27.92712,2,1.9,10,9.965,10,9.99,0,0,0,0,0,0,0,0
10,23.20517,30,29.99688,32,32.00072,32,31.9987,180,179.9766,51.86183,54.09455,229.3851,27.62046,2,2.025,10,10.02,10,10,0,0,0,0,0,0,0,0
11,18.79876,30,29.99887,32,32.00104,32,31.99834,180,179.9811,51.86066,54.07847,229.3925,27.59772,2,2.055,10,10.06,10,10.03,0,0,0,0,0,0,0,0
12,22.74736,30,30.00005,32,32.00476,32,31.99912,180,179.943,51.83362,54.08302,229.3196,27.46963,2,2.025,10,10.005,10,9.995,0,0,0,0,0,0,0,0
13,18.82738,30,30.00119,32,32.0042,32,31.99749,180,179.9463,51.8288,54.07722,229.2569,27.49459,2,2.015,10,10,10,9.98,0,0,0,0,0,0,0,0
14,22.86181,30,29.99827,32,32.00002,32,32.00148,180,180.0108,51.82044,54.06544,229.3443,27.4465,2,2.045,10,10.01,10,10.005,0,0,0,0,0,0,0,0
15,18.68431,30,29.99877,32,31.99802,32,32.00063,180,180.0067,51.81479,54.05421,228.9759,27.41203,2,1.955,10,9.945,10,9.95,0,0,0,0,0,0,0,0
16,22.91904,30,30.00279,32,32.0088,32,32.00593,180,179.9987,51.82411,54.06099,229.2199,27.75846,2,1.95,10,9.905,10,9.93,0,0,0,0,0,0,0,0
17,19.1135,30,29.99813,32,32.00768,32,32.00566,180,180.0075,51.82633,54.0599,228.8404,27.75305,2,2.015,10,10.005,10,9.99,0,0,0,0,0,0,0,0
18,23.23378,30,29.99859,32,32.00225,32,32.00237,180,180.0222,51.89122,54.12463,229.218,27.92889,2,2.02,10,9.99,10,10,0,0,0,0,0,0,0,0
19,18.97044,30,30.00062,32,32.00453,32,32.00314,180,180.0212,51.8851,54.13546,228.8315,27.91723,2,1.935,10,9.94,10,9.96,0,0,0,0,0,0,0,0
20,23.00488,30,30.00076,32,32.00703,32,32.00368,180,180.0296,51.97215,54.16742,229.0884,28.01228,2,1.99,10,9.975,10,9.965,0,0,0,0,0,0,0,0
21,18.91321,30,30.00058,32,32.00332,32,32.00326,180,180.0334,51.9743,54.16244,228.7283,28.04207,2,1.935,10,9.935,10,9.93,0,0,0,0,0,0,0,0
22,23.14794,30,30.0008,32,32.00104,32,31.99935,180,180.0238,51.98397,54.20351,229.1373,28.04306,2,2.03,10,10,10,9.985,0,0,0,0,0,0,0,0
23,19.02767,30,29.99976,32,32.00104,32,31.9997,180,180.0365,52.00435,54.21446,229.1594,28.02752,2,2.08,10,10.035,10,10.005,0,0,0,0,0,0,0,0
24,23.29101,30,29.99795,32,32.0041,32,31.99989,180,180.046,52.0455,54.2864,229.1767,28.13594,2,1.925,10,9.99,10,9.945,0,0,0,0,0,0,0,0
25,19.37102,30,29.99774,32,32.00341,32,32.0004,180,180.0464,52.04315,54.285,228.7819,28.14666,2,2.075,10,10.05,10,10.005,0,0,0,0,0,0,0,0
26,23.26239,30,30.00404,32,31.99784,32,32.00276,180,179.9841,52.08026,54.32533,229.1006,28.12252,2,2.08,10,10.08,10,10.03,0,0,0,0,0,0,0,0
27,19.28518,30,30.0029,32,32.00011,32,32.00326,180,179.9802,52.07749,54.32402,228.7081,28.1408,2,2.07,10,10.055,10,10,0,0,0,0,0,0,0,0
28,23.14794,30,30.00204,32,32.01065,32,32.00024,180,179.9706,52.11092,54.36374,229.0753,28.19844,2,1.935,10,9.975,10,9.96,0,0,0,0,0,0,0,0
29,19.25657,30,30.00058,32,32.00429,32,31.9997,180,179.9995,52.09872,54.36396,229.0732,28.20216,2,1.965,10,9.95,10,9.98,0,0,0,0,0,0,0,0
30,23.4913,30,29.99912,32,32.0009,32,32.00001,180,179.9993,52.09728,54.39655,229.1383,28.1733,2,1.95,10,9.97,10,9.98,0,0,0,0,0,0,0,0
31,20.17219,30,29.99962,32,32.00197,32,31.99955,180,179.9984,52.10279,54.40645,228.7643,28.16827,2,1.995,10,9.99,10,9.975,0,0,0,0,0,0,0,0
32,23.14794,30,30.0004,32,31.9984,32,31.99935,180,180.0502,52.09156,54.42576,229.0661,28.23293,2,1.97,10,9.965,10,9.98,0,0,0,0,0,0,0,0
33,19.65715,30,30.00154,32,31.99932,32,31.99908,180,180.0517,52.08839,54.42152,228.6858,28.21713,2,1.99,10,9.985,10,9.965,0,0,0,0,0,0,0,0
34,23.40546,30,30.00229,32,32.00062,32,32.0021,180,180.04,52.12839,54.40101,229.0629,28.2381,2,2.025,10,9.98,10,9.995,0,0,0,0,0,0,0,0
35,19.22796,30,30.00297,32,32.00179,32,32.00086,180,180.0323,52.26487,54.45996,229.0675,28.22177,0,0,10,9.99,10,9.995,0,0,0,0,0,0,0,0
36,23.17656,30,30.00471,32,32.00248,32,32.00159,180,180.0037,52.30152,54.50738,229,28.27463,0,0,10,10.02,10,10.01,0,0,0,0,0,0,0,0
37,20.54416,30,30.00315,32,32.00295,32,32.00303,180,180.0016,52.29548,54.49165,228.645,28.28643,0,0,10,10.01,10,10.01,0,0,0,0,0,0,0,0
38,23.40546,30,30.00315,32,32.00977,32,32.00639,180,180.0321,52.38348,54.53157,228.8364,28.32857,0,0,10,9.985,10,10.01,0,0,0,0,0,0,0,0
