"masterScheduleID","table_type","injection_name","solvent","status","surface_coverage"
1,2,"colConditioning1","",0,0
2,1,"methaneInjection1","METHANE",0,0
3,1,"methaneInjection2","METHANE",0,0
4,3,"injection1","OCTANE",0,1572.10870240699
5,3,"injection2","OCTANE",0,2999.25007452249
6,3,"injection3","OCTANE",0,5478.1934959932
7,3,"injection4","OCTANE",0,7573.36396515299
8,3,"injection5","OCTANE",0,8524.786829325731
9,3,"injection6","OCTANE",0,9438.37820293762
10,3,"injection7","OCTANE",0,10333.5629701459
11,3,"injection8","OCTANE",0,11229.0498557058
12,3,"injection9","OCTANE",0,12142.459373431
13,3,"injection10","OCTANE",0,13090.0006985993
14,3,"injection11","OCTANE",0,14086.1917914861
15,3,"injection12","OCTANE",0,15143.6362002223
16,3,"injection13","OCTANE",0,17482.0925163922
17,3,"injection14","OCTANE",0,20162.4380033207
18,1,"methaneInjection3","METHANE",0,0
19,1,"methaneInjection4","METHANE",0,0
