"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,22.54707,120,119.0321,32,32.01562,32,32.02934,180,180.0804,53.12668,55.60913,229.1091,30.3072,0,0,10,9.995,10,10.02,0,0,0,0,0,0,0,0
2,23.0621,120,119.9914,32,32.0009,32,31.9973,180,179.9765,54.29507,58.09037,228.55,29.98992,0,0,10,10.005,10,9.995,0,0,0,0,0,0,0,0
3,19.94328,50,49.01437,32,31.80742,32,31.91806,180,179.984,52.77293,54.05376,220.2249,29.94793,0,0,10,9.995,10,9.99,0,0,0,0,0,0,0,0
4,24.00633,50,50.00579,32,31.8298,32,31.88362,180,180.3318,53.10149,54.3014,223.8418,29.89099,0,0,10,9.98,10,9.995,0,0,0,0,0,0,0,0
5,21.05919,50,50.0054,32,31.83282,32,31.8828,180,180.3275,53.10481,54.29461,223.4953,29.88328,0,0,10,10.01,10,10,0,0,0,0,0,0,0,0
6,23.63436,50,50.01334,32,31.902,32,31.92371,180,180.2567,53.3098,54.66011,225.5616,29.6861,0,0,10,10,10,9.985,0,0,0,0,0,0,0,0
7,19.5427,50,49.96959,32,31.98047,32,31.98627,180,180.0146,53.23823,55.62283,228.7864,28.80143,2,2.04,10,10.02,10,9.99,0,0,0,0,0,0,0,0
8,23.51991,50,49.99514,32,31.98981,32,31.99691,180,180.0137,52.83932,55.4498,229.1633,28.72079,2,1.985,10,9.98,10,9.99,0,0,0,0,0,0,0,0
9,19.39964,50,49.99454,32,31.9924,32,31.99583,180,180.0032,52.83629,55.46663,229.155,28.72717,2,2.015,10,10,10,10.005,0,0,0,0,0,0,0,0
10,23.26239,50,49.99763,32,31.99751,32,31.99749,180,180.0469,52.65338,55.18507,229.1314,28.57889,2,2.015,10,10.01,10,10,0,0,0,0,0,0,0,0
11,19.17073,50,49.99831,32,31.99185,32,31.99684,180,180.0427,52.64217,55.18114,229.186,28.56075,2,2.005,10,10.02,10,10.02,0,0,0,0,0,0,0,0
12,23.43407,50,49.99956,32,31.99886,32,31.99928,180,180.0304,52.54631,55.10271,229.1852,28.54671,2,1.965,10,10.015,10,10.005,0,0,0,0,0,0,0,0
13,18.91321,50,50.00027,32,31.99914,32,31.999,180,180.086,52.54351,55.09341,229.1479,28.5413,2,1.96,10,10.005,10,10.015,0,0,0,0,0,0,0,0
14,23.00488,50,50.00031,32,31.99993,32,32.00311,180,180.0056,52.54498,55.07539,229.1407,28.39947,2,2.01,10,9.995,10,9.99,0,0,0,0,0,0,0,0
15,19.3138,50,49.99671,32,32.00327,32,31.99993,180,179.9998,52.53082,55.0416,229.1886,28.39977,2,2.015,10,9.995,10,9.995,0,0,0,0,0,0,0,0
16,22.80459,50,50.0033,32,31.99561,32,31.98972,180,180.0138,52.49339,55.06167,229.1768,28.35042,2,1.98,10,10.01,10,10.015,0,0,0,0,0,0,0,0
17,18.54124,50,49.99874,32,31.99645,32,31.99355,180,180.0036,52.4567,55.02925,229.2225,28.33041,2,1.98,10,10.02,10,10.01,0,0,0,0,0,0,0,0
18,23.09072,50,49.99718,32,31.99918,32,31.99974,180,179.9589,52.4566,55.02236,229.21,28.34035,2,1.935,10,9.975,10,10,0,0,0,0,0,0,0,0
19,18.85599,50,49.99934,32,32.00132,32,31.99846,180,179.9755,52.45113,55.00786,229.2464,28.32745,2,2.02,10,10,10,9.99,0,0,0,0,0,0,0,0
20,22.80459,50,50.00223,32,31.99951,32,31.999,180,179.9286,52.42121,55.05085,229.2289,28.3157,2,1.995,10,9.995,10,10.005,0,0,0,0,0,0,0,0
21,18.91321,50,50.00237,32,32.00021,32,32.00109,180,179.9314,52.40172,55.0307,228.8505,28.32437,2,1.955,10,9.95,10,9.97,0,0,0,0,0,0,0,0
22,23.09072,50,49.99763,32,31.99598,32,31.99889,180,180.039,52.45872,54.99688,229.1676,28.24436,2,2.025,10,9.995,10,9.995,0,0,0,0,0,0,0,0
23,18.94183,50,49.99539,32,31.99468,32,31.99761,180,180.0339,52.44715,54.99934,228.8244,28.27311,2,2.01,10,10.005,10,10,0,0,0,0,0,0,0,0
24,23.03349,50,49.99763,32,31.99802,32,31.99807,180,179.9666,52.41008,54.974,229.3305,28.35746,2,2,10,10.005,10,9.99,0,0,0,0,0,0,0,0
25,18.45541,50,50.00048,32,32.00072,32,31.99982,180,179.956,52.40631,54.98593,228.9083,28.33434,2,1.995,10,9.995,10,9.995,0,0,0,0,0,0,0,0
26,23.03349,50,50.00038,32,31.99714,32,31.99904,180,179.9933,52.40332,55.00319,229.315,28.28997,2,2,10,9.995,10,9.985,0,0,0,0,0,0,0,0
27,18.82738,50,50.00102,32,31.99784,32,31.99978,180,179.9866,52.38536,54.98422,228.9046,28.28911,2,1.985,10,10.015,10,10.015,0,0,0,0,0,0,0,0
28,22.69013,50,50.0039,32,31.99877,32,31.9997,180,180.0124,52.44336,55.03085,229.2965,28.22139,2,1.995,10,10.01,10,9.995,0,0,0,0,0,0,0,0
29,18.91321,50,49.9997,32,31.99956,32,31.99908,180,180.0071,52.42979,55.02065,228.9075,28.20204,2,1.935,10,10,10,10.015,0,0,0,0,0,0,0,0
30,22.8332,50,49.99714,32,31.99765,32,32.00051,180,179.9847,52.40112,55.01587,229.21,28.12507,2,2,10,10.005,10,9.99,0,0,0,0,0,0,0,0
31,18.8846,50,49.99749,32,31.99877,32,31.99974,180,180.0205,52.40614,55.00502,229.3122,28.26588,2,1.985,10,9.965,10,9.95,0,0,0,0,0,0,0,0
32,22.51846,50,49.99874,32,31.99788,32,31.9997,180,179.978,52.38446,54.9975,229.2762,28.21471,2,1.94,10,9.975,10,10.02,0,0,0,0,0,0,0,0
33,18.85599,50,49.99568,32,32.00016,32,31.99804,180,179.9831,52.39112,55.01346,228.9009,28.2121,2,2.02,10,10.03,10,10.03,0,0,0,0,0,0,0,0
34,24.1494,50,50.00066,32,32.00007,32,32.00016,180,179.9807,52.37597,54.97137,229.3078,28.19318,2,2.03,10,10.005,10,10.005,0,0,0,0,0,0,0,0
35,19.88606,50,50.00024,32,31.99909,32,32.00121,180,179.9791,52.36848,54.97171,228.9483,28.21282,2,2.04,10,10.05,10,10.015,0,0,0,0,0,0,0,0
36,24.26385,50,50.00707,32,32.00179,32,32.00125,180,180.0121,52.36787,55.01258,229.3104,28.13948,2,1.98,10,9.975,10,10.005,0,0,0,0,0,0,0,0
37,20.02912,50,50.00237,32,31.99765,32,32.00028,180,180.0104,52.36792,54.99191,228.924,28.14425,2,1.99,10,9.985,10,9.99,0,0,0,0,0,0,0,0
38,24.06356,50,50.00258,32,32.00322,32,32.00229,180,179.9998,52.36554,54.99891,229.3222,28.16246,2,1.985,10,10.025,10,10.005,0,0,0,0,0,0,0,0
39,20.11496,50,50.00333,32,32.00304,32,32.00276,180,180.0026,52.366,54.98198,228.9029,28.19852,2,2.025,10,10.015,10,10,0,0,0,0,0,0,0,0
40,23.94911,50,50.00162,32,31.99593,32,31.99776,180,179.9642,52.39446,54.98243,229.3085,28.18727,2,1.99,10,9.98,10,9.995,0,0,0,0,0,0,0,0
41,19.9719,50,49.99924,32,31.99686,32,31.99726,180,179.9603,52.38596,54.95692,228.9116,28.15932,2,1.99,10,9.995,10,9.98,0,0,0,0,0,0,0,0
42,23.94911,50,49.99963,32,31.9964,32,31.99958,180,179.9938,52.35481,54.92924,229.3384,28.13349,2,1.96,10,10.025,10,9.995,0,0,0,0,0,0,0,0
43,20.11496,50,49.99849,32,31.9977,32,32.00032,180,179.9927,52.35571,54.92049,228.9712,28.15753,2,1.93,10,10.025,10,10.045,0,0,0,0,0,0,0,0
44,23.86327,50,50.00426,32,32.00276,32,32.00043,180,179.9834,52.32137,54.94862,229.361,28.17422,2,2.01,10,9.99,10,10.005,0,0,0,0,0,0,0,0
45,20.40109,50,50.00258,32,32.00346,32,32.00241,180,179.9867,52.32673,54.94712,228.9622,28.19507,2,2.03,10,10.01,10,10.01,0,0,0,0,0,0,0,0
46,23.94911,50,49.99928,32,31.99775,32,31.99892,180,179.9859,52.33701,54.93716,229.2185,28.16667,2,2.01,10,10.01,10,10.005,0,0,0,0,0,0,0,0
47,20.05774,50,49.99888,32,31.99877,32,32.00016,180,179.9858,52.33054,54.92923,228.8554,28.197,2,2,10,9.99,10,9.985,0,0,0,0,0,0,0,0
48,23.97772,50,49.99995,32,32.00053,32,32.00047,180,180.0166,52.35535,54.94425,229.2973,28.17982,2,2,10,10,10,10.005,0,0,0,0,0,0,0,0
49,20.25803,50,49.99992,32,32.0003,32,32.00059,180,180.0118,52.35683,54.92601,228.9226,28.18106,2,2.03,10,10.015,10,10.01,0,0,0,0,0,0,0,0
50,24.29247,50,50.00098,32,31.99993,32,32.00109,180,180.0142,52.33156,54.94008,229.3048,28.10082,2,1.985,10,9.99,10,9.995,0,0,0,0,0,0,0,0
51,20.68722,50,49.99988,32,32.00137,32,32.00129,180,180.0137,52.32208,54.91196,228.9184,28.11429,2,1.975,10,9.99,10,9.975,0,0,0,0,0,0,0,0
52,24.03495,50,50.00013,32,31.99867,32,32.00047,180,179.9599,52.3624,54.94354,229.2876,28.19649,2,1.995,10,9.99,10,10,0,0,0,0,0,0,0,0
53,21.40255,50,49.99892,32,31.99942,32,31.99943,180,179.9633,52.35812,54.92875,228.9086,28.20314,2,2.015,10,10.025,10,10.005,0,0,0,0,0,0,0,0
54,24.12079,50,49.99767,32,31.99877,32,31.99718,180,180.0478,52.35316,54.92622,229.2942,28.22313,2,2.01,10,9.995,10,9.99,0,0,0,0,0,0,0,0
55,20.80167,50,50.00045,32,31.99802,32,31.9973,180,180.0506,52.35758,54.94498,228.9098,28.22035,2,1.98,10,9.955,10,9.965,0,0,0,0,0,0,0,0
56,24.1494,50,49.99984,32,31.99812,32,32.00028,180,179.9864,52.33554,54.92743,229.3409,28.16526,2,2.02,10,10,10,10.005,0,0,0,0,0,0,0,0
57,20.45832,50,50.00084,32,31.99983,32,31.99997,180,179.9874,52.33497,54.93964,228.95,28.178,2,2.03,10,10.005,10,9.975,0,0,0,0,0,0,0,0
58,24.00633,50,50.00544,32,31.99547,32,31.99962,180,180.0144,52.34862,54.94781,229.3347,28.14857,2,2.005,10,9.995,10,10,0,0,0,0,0,0,0,0
59,20.05774,50,50.00326,32,32.00285,32,31.99889,180,179.9688,52.30588,54.85035,229.5005,28.1025,2,2.02,10,10,10,10.005,0,0,0,0,0,0,0,0
60,23.9205,50,50.0023,32,31.99979,32,32.00167,180,180.0243,52.28835,54.84797,229.333,28.1524,2,1.99,10,10,10,10,0,0,0,0,0,0,0,0
61,20.00051,50,50.00233,32,31.99751,32,31.99982,180,180.031,52.27774,54.81956,228.9776,28.12495,2,1.98,10,9.97,10,9.975,0,0,0,0,0,0,0,0
62,23.9205,50,49.9996,32,31.99956,32,31.99928,180,179.9427,52.27128,54.9118,229.2211,28.0734,2,1.955,10,9.975,10,10.005,0,0,0,0,0,0,0,0
63,19.85744,50,50.00066,32,31.99951,32,31.99997,180,179.9383,52.27666,54.90371,228.8451,28.06724,2,2.01,10,10.02,10,10,0,0,0,0,0,0,0,0
64,23.94911,50,49.99903,32,32.00197,32,31.9992,180,179.968,52.30816,54.94276,229.2897,28.10919,2,2.01,10,9.98,10,9.97,0,0,0,0,0,0,0,0
65,20.17219,50,50.00045,32,32.0023,32,31.99877,180,179.9695,52.30624,54.94389,228.9097,28.12402,2,2.025,10,10.015,10,10,0,0,0,0,0,0,0,0
66,23.77743,50,50.00287,32,32.0023,32,31.99877,180,180.0065,52.31363,54.93887,229.2354,28.07169,2,1.955,10,9.98,10,10.005,0,0,0,0,0,0,0,0
67,20.25803,50,50.00184,32,32.00169,32,32.00105,180,180.0075,52.31305,54.94953,228.853,28.0763,2,2.02,10,10.01,10,10.005,0,0,0,0,0,0,0,0
68,24.32108,50,50.00205,32,32.00132,32,32.00043,180,180.0134,52.29533,54.97096,229.2671,28.09583,2,2.005,10,10.005,10,9.99,0,0,0,0,0,0,0,0
69,20.11496,50,50.00344,32,32.00053,32,32.00132,180,180.0082,52.29647,54.96989,228.8767,28.11835,2,2.02,10,10.015,10,10,0,0,0,0,0,0,0,0
70,23.89188,50,49.99821,32,32.00081,32,31.99846,180,180.0219,52.27048,54.9595,229.2947,28.12556,2,1.97,10,10.025,10,10.015,0,0,0,0,0,0,0,0
71,20.40109,50,49.99458,32,32.00188,32,31.99877,180,180.0184,52.27398,54.9586,228.8743,28.06889,2,2.02,10,10.005,10,10.03,0,0,0,0,0,0,0,0
72,24.03495,50,50.00045,32,32.00044,32,31.99827,180,180.0347,52.30013,54.97346,229.2264,28.13931,2,1.99,10,10.03,10,10.025,0,0,0,0,0,0,0,0
73,20.02912,50,50.00301,32,31.99631,32,32.00013,180,180.0207,52.27525,54.96704,229.2719,28.14223,2,2,10,9.995,10,10,0,0,0,0,0,0,0,0
74,23.97772,50,50.00038,32,31.99668,32,31.99966,180,180.0031,52.31002,54.97712,229.2954,28.14819,2,2,10,10.02,10,9.995,0,0,0,0,0,0,0,0
75,20.14357,50,49.99963,32,31.99886,32,32.00009,180,180.0028,52.30394,54.96364,228.8938,28.15471,2,2,10,10.005,10,9.99,0,0,0,0,0,0,0,0
76,24.29247,50,49.99963,32,32.00044,32,31.99742,180,180.0524,52.32811,55.02312,229.2079,28.0891,2,1.995,10,10,10,9.995,0,0,0,0,0,0,0,0
77,19.48547,50,49.99931,32,31.99974,32,32.00195,180,179.875,52.31639,55.01881,229.2772,28.12762,2,2,10,10,10,9.995,0,0,0,0,0,0,0,0
78,24.20662,50,49.99657,32,31.99979,32,31.99738,180,179.9081,52.29197,54.98069,229.2034,28.19053,2,2,10,10,10,10,0,0,0,0,0,0,0,0
79,20.37248,50,49.99888,32,32.00151,32,31.99614,180,179.9089,52.28782,54.96,228.7905,28.13639,2,1.995,10,10.025,10,10.015,0,0,0,0,0,0,0,0
80,23.7202,50,50.00198,32,31.9977,32,31.99947,180,180.0007,52.2687,54.96326,229.2264,28.13115,2,1.995,10,9.97,10,9.97,0,0,0,0,0,0,0,0
81,20.31525,50,49.99874,32,31.99877,32,32.00078,180,180.0019,52.27029,54.96437,228.8566,28.13116,2,2.005,10,10.02,10,10,0,0,0,0,0,0,0,0
82,24.40692,50,50.00013,32,31.99807,32,31.99552,180,179.9774,52.28641,54.9333,229.247,28.11522,2,1.995,10,9.99,10,9.995,0,0,0,0,0,0,0,0
