Scale: Della Volpe
Method: DnG, Pol
Parameter: Peak Com
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	112.460100565857	0.783140650438777	5.26796517771674	4.06229377360423	116.522394339462
0.0075	108.461760612928	0.74709313166011	4.9005174654665	3.82682267163266	112.288583284561
0.01	105.917657489176	0.726384579085864	4.69027920445054	3.69158312149137	109.609240610667
0.02	100.354656332627	0.680738173276433	4.26758147202014	3.40887407545151	103.763530408079
0.03	96.4408290826878	0.631810632933489	3.89662380450855	3.13810665990195	99.5789357425897
0.04	92.3077502569408	0.592773508115209	3.50981727776325	2.88480619840092	95.1925564553418
0.05	87.8588825499918	0.557896619924967	3.18826978601135	2.66737694150986	90.5262594915017
0.06	81.4906646333815	0.513628811086702	3.11363542559867	2.52923139456055	84.0198960279421
0.07	77.559304554454	0.467393052259551	2.85433601529537	2.31006218302735	79.8693667374813
0.08	73.2929715536813	0.444321470972121	2.83864490850477	2.24612633777743	75.5390978914587
0.09	53.2425921650773	0.281362430959354	1.35060403064133	1.23289777893343	54.4754899440107
0.1	49.1364198879995	1.16105709099767	28.4524756803108	11.4952074613838	60.6316273493833
