Scale: Della Volpe
Method: DnG, Pol
Parameter: Peak Max
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	49.9305080492249	1.38622141193839	36.5148402358582	14.2292168988256	64.1597249480505
0.0075	96.4267859130453	0.536639056043549	2.94904047173647	2.51600500395916	98.9427909170045
0.01	98.1607140519186	0.557340886439494	3.18602461449137	2.66510921566728	100.825823267586
0.02	91.1777578395669	0.518844203588733	2.98923330882453	2.49073995066364	93.6684977902305
0.03	83.8105023008996	0.480170027313332	2.79533899730819	2.31709991384704	86.1276022147466
0.04	73.39806527769	0.413486091449986	2.38530798955411	1.98624437318791	75.3843096508779
0.05	61.7187308125371	0.364694483492266	1.82727605868571	1.6326634661438	63.3513942786809
0.06	51.7238414407228	0.304079661477868	1.43154385939448	1.31955048733331	53.0433919280561
0.07	47.634447014509	0.297396779553047	1.80507408211942	1.46536441730648	49.0998114318155
0.08	43.0843609268847	0.262320193311841	1.59220850223065	1.2925454608607	44.3769063877454
0.09	36.2251508764819	0.208936602293296	1.16222618646684	0.985558908430492	37.2107097849124
0.1	21.2623851636658	0.100179476360578	0.248028171243129	0.31526073220627	21.5776458958721
