Scale: Della Volpe
Method: Schultz
Parameter: Peak Com
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	96.2689901630882	1.40214948777706	2.62018620255187	3.83348026826205	100.10247043135
0.0051	96.3503133811335	1.40145523167409	2.63107947288187	3.84048960015288	100.190802981286
0.0075	98.2630854188052	1.38227774970263	2.91494922341344	4.01460805212034	102.277693470926
0.01	97.3129101761158	1.29539094718175	2.95883810774124	3.91553424142575	101.228444417542
0.02	96.0457579415862	1.19668701317149	3.28556273470842	3.96574848198207	100.011506423568
0.03	93.2575187076823	1.1101640562486	3.30423442172423	3.83053118427072	97.088049891953
0.04	87.2327813282655	1.02211781807524	3.10637087047652	3.56374915854859	90.7965304868141
0.05	81.7816121905335	0.966504535259633	3.03243767741499	3.42395371937985	85.2055659099133
0.06	75.9615284949049	0.870550669948935	2.48488778445	2.94157830118518	78.9031067960901
0.07	71.404409636946	0.815043711037728	2.22335847059634	2.69231078357756	74.0967204205236
0.08	68.7921801419733	0.805003183770663	2.29895284875833	2.72078250699249	71.5129626489658
0.09	58.3702874955533	0.667069314699865	1.72078040963441	2.1427830581781	60.5130705537314
0.1	28.1533988373512	0.255625788533545	0.0481116606328131	0.221797936752542	28.3751967741037
