Scale: Della Volpe
Method: Schultz
Parameter: Peak Max
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	28.908193861691	0.229992932904878	0.0719137600751832	0.257213192475884	29.1654070541669
0.0051	35.1057268984246	0.307301943484599	0.000812644610884064	0.0316055228266807	35.1373324212513
0.0075	93.6536027890573	1.10231053490491	1.96002780622924	2.93976822182501	96.5933710108823
0.01	95.1443206514489	1.05848533602589	0.837142779128968	1.88266126094736	97.0269819123962
0.02	88.8992747948882	0.911686375438564	0.190987931453489	0.834556397086118	89.7338311919743
0.03	76.3144470161375	0.785381712688242	0.219567318447984	0.830527920332705	77.1449749364702
0.04	61.728635928015	0.636578868020146	0.291882527660377	0.862104979809076	62.5907409078241
0.05	49.451301772852	0.497244263618174	0.337883623551164	0.819782150528637	50.2710839233806
0.06	44.0152724278342	0.478425700132446	0.00182495158924937	0.0590966578342448	44.0743690856684
0.07	38.7813963973886	0.431980345651008	0.0769186535547422	0.364567395961776	39.1459637933504
0.08	35.3102242970307	0.405474354531203	0.198851245764285	0.567905205202414	35.8781295022331
0.09	32.376086268015	0.389468839707282	0.00509289931694633	0.0890735782983281	32.4651598463133
0.1	26.5444969784497	0.324136659920947	0.0398270560788058	0.227239159757894	26.7717361382076
