Scale: Della Volpe
Method: DnG, Pol
Parameter: Peak Com
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	75.8236662925562	1.15242361569941	6.7722929456784	5.58732505696037	81.4109913495165
0.0075	76.0555962302695	1.15308444549721	6.88858036107006	5.63670643759544	81.692302667865
0.01	75.9701585874661	1.12956894264837	6.84389515400812	5.56080980171388	81.53096838918
0.02	71.3819680451147	0.923049958661959	5.70913583816042	4.59121665766689	75.9731847027816
0.03	65.7230800070678	0.746488953481928	4.43244159457563	3.63800422611328	69.3610842331811
0.04	64.3813769689757	0.686967344089769	4.46982347377504	3.50463850365732	67.886015472633
0.05	60.5393156813513	0.59633778696546	3.85661856228608	3.03304954038248	63.5723652217337
0.06	59.6887407822863	0.573454466230718	3.47989009760474	2.82528477747889	62.5140255597652
0.08	57.7704206506905	0.517768347083878	3.36642557225061	2.64047617230309	60.4108968229936
0.1	57.476059935862	0.49147192962766	3.57835036640632	2.65228864150308	60.1283485773651
0.12	56.7617196975397	0.471258821311106	3.52352352953201	2.57720123031881	59.3389209278586
0.15	55.1006040224273	0.438413586552471	3.34660611847812	2.42255864009971	57.523162662527
0.2	53.7944140945111	0.392013041501176	3.18286749934557	2.2340327384474	56.0284468329585
0.3	51.8125053893946	0.297882971953393	2.95564731165979	1.87663209526351	53.6891374846581
