Scale: Della Volpe
Method: DnG, Pol
Parameter: Peak Com
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	66.9175966302368	1.20833889390823	7.55438289073829	6.04260032315691	72.9601969533937
0.0051	66.9292094277385	1.20409418024033	7.54747561790376	6.02921934151469	72.9584287692532
0.0075	67.2260267561708	1.09000237499202	7.36645347493909	5.66725746122472	72.8932842173955
0.01	67.2270581976979	1.01081035651806	7.02622431812982	5.32998322998664	72.5570414276846
0.02	60.141495299733	0.788146001893602	5.54092835109378	4.17950261475859	64.3209979144916
0.03	55.7247075105589	0.648936985673347	4.94596453302999	3.58308208966067	59.3077896002196
0.04	52.9930752766843	0.558765671208792	4.39466269188121	3.13406231512089	56.1271375918052
0.05	51.4659475996482	0.516038227507659	4.28085554430727	2.97259826232921	54.4385458619774
0.06	50.5630151335141	0.484051807899652	4.15678185227144	2.83696864320807	53.3999837767222
0.07	49.851901774141	0.452968095642652	3.91782078632441	2.6643181646722	52.5162199388132
0.08	49.5589358898863	0.443882233381528	4.20458228346066	2.7322806403581	52.2912165302444
0.09	49.2369409934105	0.431538775479177	4.22343685786232	2.70005686603488	51.9369978594454
0.1	47.9410165269115	0.39960705895544	3.9689569372801	2.51874826755457	50.459764794466
