Scale: Della Volpe
Method: DnG, Pol
Parameter: Peak Max
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	64.9796062743843	0.628005348627896	3.07154186241201	2.77772908551517	67.7573353598994
0.0075	64.8112663647166	0.625523239048244	3.19042477030508	2.82537419557904	67.6366405602957
0.01	64.1750392535769	0.606922929912775	3.20469529213872	2.78926732758444	66.9643065811613
0.02	57.9643562011738	0.463255778963953	2.67548042850424	2.22659540106374	60.1909516022375
0.03	53.1623611656496	0.375797422346866	2.27048431521402	1.84742215331139	55.009783318961
0.04	51.7011970764417	0.344401963153069	2.50620860977648	1.85810997013432	53.559307046576
0.05	47.6664407477914	0.281064594513246	2.03505771573035	1.51259072016564	49.179031467957
0.06	47.7730657635932	0.289433028735671	1.55000475065278	1.33958586068399	49.1126516242772
0.08	47.700879639345	0.279742628482296	2.28718495839797	1.59977889983262	49.3006585391777
0.1	46.5763178925464	0.24942479713025	2.56982369112576	1.60122172458352	48.1775396171299
0.12	47.451347777201	0.270654687358101	2.45146788548076	1.62911175075649	49.0804595279575
0.15	49.758876913423	0.308191120258992	2.68735966957194	1.82013228871334	51.5790092021363
0.2	52.0849047882282	0.288336027682632	2.93775127414559	1.84071674377861	53.9256215320068
0.3	57.3595934931695	0.239669298437631	3.53548107730595	1.84102826641791	59.2006217595874
