Scale: Della Volpe
Method: DnG, Pol
Parameter: Peak Max
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	54.4208810357566	0.586709615738771	3.22866507298663	2.75266332436146	57.1735443601181
0.0051	54.4270145487503	0.58533594302882	3.2325062265077	2.75107403058472	57.178088579335
0.0075	54.6002689930538	0.549886789253382	3.32742474154407	2.70533318288889	57.3056021759427
0.01	54.6064429060904	0.525060453509467	3.36403240123403	2.65805972710357	57.264502633194
0.02	49.0893011242626	0.381589057349951	3.04513916097572	2.15591445278902	51.2452155770516
0.03	45.8874795462238	0.323292119742694	2.73533313916405	1.88075692077715	47.768236467001
0.04	44.3232726470481	0.294350553662689	2.60629692586649	1.7517590509407	46.0750316979888
0.05	42.8899824653411	0.269504502737837	2.4505974925859	1.62535787893	44.5153403442711
0.06	43.5833582911565	0.269454944004256	2.60491113374928	1.67559682940793	45.2589551205645
0.07	44.4487746671364	0.266201273493577	2.80666511423264	1.72874269650371	46.1775173636401
0.08	43.5726909664021	0.253578070156111	3.14990943886166	1.78745400687465	45.3601449732768
0.09	44.267554952333	0.264954115116753	3.27399750215653	1.86274969985593	46.130304652189
0.1	44.7810039663589	0.273270439046671	3.19211139731401	1.86795040943798	46.6489543757969
