Scale: Della Volpe
Method: Schultz
Parameter: Peak Com
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	72.7716972485678	1.5958506102971	6.13083951113878	6.25584653759486	79.0275437861627
0.0075	73.0193071356607	1.59798378055299	6.24436586302464	6.31771964207091	79.3370267777316
0.01	72.9471020714449	1.57025247064933	6.20366255109576	6.24221641660487	79.1893184880498
0.02	68.5505954905841	1.31171699792706	5.1445573506778	5.19546083565054	73.7460563262347
0.03	63.1034437034974	1.08357212589158	3.95462386780878	4.14010637135963	67.2435500748571
0.04	61.7955249735521	1.0075350303588	3.99210573638547	4.01107784731469	65.8066028208668
0.05	58.1107817370641	0.887160442329985	3.4272911524907	3.48743867893748	61.5982204160015
0.06	57.2837592615231	0.856769585533301	3.07422552600918	3.24586070542455	60.5296199669476
0.08	55.4390381553029	0.783480508916479	2.97346828144601	3.05264111378611	58.491679269089
0.1	55.1702327573664	0.750593220129479	3.17557472247424	3.0877596128609	58.2579923702273
0.12	54.4896697035445	0.723910585164522	3.12701310239319	3.00910477369638	57.4987744772409
0.15	52.8899993240775	0.678966476380662	2.96538392411574	2.83788391170092	55.7278832357784
0.2	51.6242817878361	0.617648640507936	2.81421636263198	2.63681391870934	54.2610957065455
0.3	49.7358758875125	0.493888349614119	2.60880187654716	2.27020426682543	52.0060801543379
