Scale: Della Volpe
Method: Schultz
Parameter: Peak Com
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	64.2094771529502	1.63164618859606	6.91368264239226	6.71734588438679	70.926823037337
0.0051	64.2221075975035	1.62679251120718	6.90727682013986	6.70423931668268	70.9263469141862
0.0075	64.5431620398592	1.49561338888791	6.7389267249099	6.34943431701117	70.8925963568704
0.01	64.5646481369221	1.40310165372424	6.41702903366655	6.00124788660957	70.5658960235317
0.02	57.7505338902655	1.11748957754543	5.0287025788805	4.74110650396078	62.4916403942263
0.03	53.5052696550727	0.938043838491667	4.47981828761254	4.09988582390156	57.6051554789742
0.04	50.8814397821131	0.821585979454575	3.96643636035252	3.6104118890035	54.4918516711166
0.05	49.4133372354267	0.765516556813153	3.86407294577956	3.43977430464734	52.853111540074
0.06	48.544088928882	0.724051077779046	3.74944364747802	3.29532317931232	51.8394121081943
0.07	47.8539306934767	0.683958014217435	3.52433564622488	3.10515546150442	50.9590861549811
0.08	47.5713374375773	0.672012757343176	3.79754912189738	3.19499699940543	50.7663344369827
0.09	47.2657195361747	0.656066040009818	3.81729332693948	3.16505703996695	50.4307765761416
0.1	46.0171197541765	0.613285821344758	3.57999729309913	2.96348550211423	48.9806052562907
