Scale: Della Volpe
Method: Schultz
Parameter: Peak Max
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	62.3547778510354	0.937120577887544	2.67452031805943	3.1662899589468	65.5210678099822
0.0075	62.2192841517908	0.934185773934019	2.78892334290539	3.22823327009355	65.4475174218844
0.01	61.6113581203059	0.909832851027333	2.80449915952332	3.19476162867458	64.8061197489805
0.02	55.6528906898734	0.717079215229248	2.32891657313026	2.58458326899687	58.2374739588703
0.03	51.0382145457037	0.596174153135103	1.96477880424572	2.16457879479495	53.2027933404986
0.04	49.6304879280928	0.553086205781459	2.18823261052614	2.20025568689019	51.830743614983
0.05	45.749491248239	0.463291059114494	1.7597535642093	1.8058550246828	47.5553462729218
0.06	45.859410719413	0.474381021839853	1.31143813418495	1.57749340686344	47.4369041262764
0.08	45.791834324968	0.461825186761297	1.99564255578972	1.92003957879662	47.7118739037646
0.1	44.7196421248067	0.420422558835562	2.26461021054913	1.95150528514191	46.6711474099486
0.12	45.5497332276445	0.449549369885593	2.14971658029764	1.96611671485232	47.5158499424968
0.15	47.7518410265022	0.502451155141501	2.36205607631847	2.17882335590127	49.9306643824034
0.2	49.9514761281829	0.481384937644967	2.58563277619412	2.23130873949885	52.1827848676817
0.3	55.0043060314239	0.42783201598147	3.1287436554335	2.31393751479451	57.3182435462184
