Scale: Della Volpe
Method: Schultz
Parameter: Peak Com
Regression: Polynomial
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	96.8546912978217	1.46428443761966	3.41990887185202	4.47558681700191	101.330278114824
0.0075	93.3263343898997	1.34924375099663	3.19278561283351	4.15107024098005	97.4774046308797
0.01	92.4701068739285	1.27703592771275	3.16781090804963	4.0226400991288	96.4927469730573
0.015	90.5264127944372	1.21707459721884	2.95234139767251	3.79115798532575	94.317570779763
0.02	86.55895769788	1.13644977119235	2.9863628613183	3.68448172227384	90.2434394201539
0.025	82.2817996707386	1.05170925826057	2.70546743295259	3.37364203623247	85.6554417069711
0.03	80.6094704118526	1.02446047697691	2.87321902456096	3.43132588505426	84.0407962969068
0.035	76.2115509504109	0.949466690667754	2.70712259303819	3.20644521527743	79.4179961656883
0.04	73.5981631850068	0.917931506079566	2.51890599002551	3.0411729112939	76.6393360963007
0.045	70.5362770385869	0.876334819008195	2.66895408291811	3.05869082660881	73.5949678651957
0.05	68.9386907863125	0.827545195313667	2.58336215994565	2.92427696582807	71.8629677521405
0.055	63.8086771481536	0.743849612392463	2.24182541329868	2.58269701260818	66.3913741607618
0.06	61.1761346424132	0.703175039762164	2.09774001536991	2.42905612839096	63.6051907708041
0.065	62.4666661333651	0.743701147385896	2.31626814090395	2.62496573238103	65.0916318657461
0.07	59.7895062634731	0.711008698061859	2.23378152073921	2.52050637040689	62.31001263388
0.075	55.603530747056	0.646602163578857	2.06967621098589	2.31366126814723	57.9171920152032
0.08	51.4491058933247	0.578216088590037	1.56072274681231	1.89993157985788	53.3490374731826
0.085	50.2264889338565	0.57638229367673	1.66079291451499	1.95678473970972	52.1832736735662
0.09	49.0167633458871	0.553505955878068	1.65222563744889	1.91260736251056	50.9293707083976
0.095	48.0073593426076	0.534472227648441	1.64231796912499	1.87379117669531	49.8811505193029
0.1	46.8353058202481	0.515980309405034	1.61480659928952	1.82560500517576	48.6609108254238
0.12	45.1771474201244	0.494527351585045	1.65466507460346	1.80917344343092	46.9863208635553
0.14	43.6805985754644	0.477575433070481	1.64327440149098	1.77176463893565	45.4523632144001
0.16	43.2423719453342	0.481692685238793	1.65011868513273	1.78308732304875	45.0254592683829
0.18	43.0551753908022	0.479526787994092	1.70559599857345	1.80873322611324	44.8639086169154
0.2	41.7852547947161	0.453266260184554	1.81591875478852	1.81449133674646	43.5997461314626
