Scale: Della Volpe
Method: DnG, Pol
Parameter: Peak Max
Regression: Polynomial
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	64.4935031179058	0.798544464657315	2.79145865805392	2.98603674438791	67.4795398622937
0.0075	63.4805845101447	0.738670686264083	2.79178283730431	2.87207809387688	66.3526626040216
0.01	63.088929042966	0.687812197138306	2.7417579555414	2.74649927247204	65.835428315438
0.015	61.6786889945022	0.617500356152165	2.68720274472695	2.57631415159096	64.2550031460931
0.02	57.7524910400376	0.522813679704369	1.97090608683245	2.03018882235975	59.7826798623973
0.025	55.5380560582735	0.479697508901227	1.77187456785844	1.8438696442939	57.3819257025674
0.03	53.9939869354748	0.459974817426472	1.72003968396715	1.77896030264767	55.7729472381225
0.035	53.1440285800369	0.442292093045178	1.73470326006003	1.75185106182488	54.8958796418617
0.04	50.3189033402718	0.400604446356024	1.5411539994042	1.57148737784392	51.8903907181157
0.045	49.5679323475453	0.378490573272017	2.03172397651363	1.75383964215791	51.3217719897032
0.05	48.7631024066572	0.362230651188201	2.09398881197176	1.74184606775839	50.5049484744156
0.055	48.6159604755925	0.361854406081634	2.53346066342524	1.91493488525842	50.5308953608509
0.06	47.4232296788681	0.322313633852552	2.37236449614137	1.748880123478	49.1721098023461
0.065	46.0185870370294	0.304353559743562	1.98781548299639	1.55563327087501	47.5742203079044
0.07	46.062478615468	0.311725106680399	2.10031254810092	1.61829558872159	47.6807742041896
0.075	45.4837262755063	0.292645993809096	2.51126911323282	1.71454115770267	47.198267433209
0.08	45.6203322240484	0.30212619519462	2.1601490192169	1.61571978291954	47.2360520069679
0.085	46.0310154630496	0.316247963231172	2.50984926687755	1.78183581585653	47.8128512789062
0.09	45.2753209146953	0.29954187956784	2.47083948655349	1.72060443322998	46.9959253479253
0.095	44.5633470449951	0.281700301550989	2.07654659161316	1.52965852534754	46.0930055703427
0.1	43.971275192439	0.267353261427599	2.0210583659267	1.47015175497775	45.4414269474168
0.12	44.0232951195997	0.271561534412323	2.26717991426081	1.56930412132953	45.5925992409292
0.14	43.9635577521167	0.27177246431613	2.781303240495	1.73882907231247	45.7023868244291
0.16	43.3760416590513	0.27331229417567	2.50679653932341	1.65546164340236	45.0315033024537
0.18	42.6869435722342	0.270320049300313	2.38634126612138	1.60633233013011	44.2932759023643
0.2	42.3883772617425	0.243840971522135	2.76371231390162	1.64183591826889	44.0302131800114
