Scale: Della Volpe
Method: Schultz
Parameter: Peak Com
Regression: Polynomial
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	69.2635889903094	1.76056635731642	6.34756377907379	6.68589776779681	75.9494867581062
0.0075	68.8313644163606	1.69999255527726	6.02876869622153	6.40276874518054	75.2341331615412
0.01	68.7077103358117	1.63774328894335	5.7358270089083	6.12986531348922	74.8375756493009
0.015	66.5031589557859	1.47271545054445	5.30536797743538	5.59045521981631	72.0936141756022
0.02	63.7636904894469	1.32198065493338	4.86441583154075	5.07175063537179	68.8354411248187
0.025	60.9055771358396	1.19413396635146	4.63364990776228	4.70455045377995	65.6101275896195
0.03	58.9708998181706	1.11256179883322	4.22945304554395	4.33844575323053	63.3093455714011
0.035	57.1009084218805	1.03817447836767	4.07174075377184	4.11202010359651	61.2129285254771
0.04	55.6573891835024	0.991189862556708	3.83403147448457	3.89884758883055	59.5562367723329
0.045	54.8543413890486	0.954369008136258	3.91822527610808	3.86752260260425	58.7218639916529
0.05	54.2931995392047	0.933056228389407	3.99057037487711	3.85923647531754	58.1524360145222
0.055	53.5000038827571	0.914742884176409	3.92810145177445	3.79114908772193	57.2911529704791
0.06	52.8864335947322	0.858851794745718	3.77751759693961	3.60240351310906	56.4888371078413
0.065	52.3006857532122	0.832434096905784	3.62676221129365	3.47507728032069	55.7757630335329
0.07	51.7830091782501	0.812992867461693	3.59071302263528	3.41714739307762	55.2001565713277
0.075	50.9177372254433	0.778302703897139	3.57122503270902	3.33436296715434	54.2521001925977
0.08	50.6882619661105	0.76110585732618	3.5224158436088	3.2747099599868	53.9629719260973
0.085	50.7018152220224	0.751686946997191	3.55205188133236	3.26804592027367	53.9698611422961
0.09	50.5997088490225	0.752309320732561	3.54340070848796	3.26541475472005	53.8651236037425
0.095	50.2736632109594	0.74192118664525	3.46908473601301	3.20860559365946	53.4822688046189
0.1	49.6120674719313	0.720058370201145	3.53812823969565	3.19227746528267	52.804344937214
0.12	48.8544066084938	0.687586321287099	3.59191290480296	3.14308776880133	51.9974943772951
0.14	47.9155237315558	0.657372333147219	3.55174756619	3.05602394253467	50.9715476740905
0.16	47.3454065165659	0.639801273903277	3.54715639571263	3.01295547973155	50.3583619962974
0.18	46.7681102136257	0.611003321310957	3.52816520832531	2.93647452597194	49.7045847395976
0.2	45.7905310074739	0.585640904678322	3.41363570945023	2.82783642039257	48.6183674278664
