Scale: Della Volpe
Method: Schultz
Parameter: Peak Max
Regression: Polynomial
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	61.8479196517973	1.14083146741827	2.41071521913576	3.31675732062158	65.1646769724189
0.0075	60.9162428986092	1.06708139376006	2.41804837198365	3.21263407624059	64.1288769748498
0.01	60.5548917300859	1.00500645567336	2.37409187746192	3.08932203773638	63.6442137678222
0.015	59.2072732276205	0.916016348464829	2.3279156681529	2.92055392682654	62.127827154447
0.02	55.4288518937281	0.789768336191199	1.67371916159642	2.29943505888323	57.7282869526113
0.025	53.3026594917134	0.731056920553023	1.49588135143314	2.09148216754665	55.39414165926
0.03	51.8174265917532	0.702779941257575	1.45164742843015	2.02008781440694	53.8375144061601
0.035	51.003670334311	0.678834200080869	1.46733892216034	1.9960759940165	52.9997463283275
0.04	48.2974958933425	0.620287684854402	1.29674739565295	1.79371841702151	50.091214310364
0.045	47.5759156518946	0.590896683516143	1.75149421966011	2.03465193642043	49.610567588315
0.05	46.8011588708632	0.56860735767285	1.81135674748564	2.02972980861069	48.8308886794739
0.055	46.6622884651648	0.567833022408549	2.22228072321957	2.24667254374644	48.9089610089112
0.06	45.5039751538051	0.515074314646159	2.07366244397796	2.06696904876626	47.5709442025714
0.065	44.1726575736003	0.489461679027777	1.72087900908402	1.83554278532528	46.0082003589256
0.07	44.2164434062668	0.498926112854375	1.82569939431161	1.9088102074795	46.1252536137463
0.075	43.6458109332653	0.473158356143616	2.21014059275086	2.04523493976831	45.6910458730336
0.08	43.7838978643354	0.485624407166969	1.88192308296626	1.91197048251203	45.6958683468474
0.085	44.187717917833	0.504597731591505	2.20902512003395	2.11155778002666	46.2992756978596
0.09	43.4628751317067	0.481751902496792	2.1748921678145	2.04720144545671	45.5100765771634
0.095	42.7686415147625	0.457294898752215	1.80692059176172	1.81801602750137	44.5866575422638
0.1	42.2118283006494	0.437876458482642	1.75811966604211	1.75480963406884	43.9666379347183
0.12	42.2528152164008	0.443214940342594	1.98695762314561	1.87685833712163	44.1296735535225
0.14	42.1948505763167	0.443340677796515	2.47004307709216	2.09291239375625	44.287762970073
0.16	41.6337965577057	0.444063865632085	2.2140216794126	1.9830955857479	43.6168921434536
0.18	40.9559625565168	0.438441245934001	2.10115106946005	1.9196158915675	42.8755784480843
0.2	40.6477998507416	0.403532717442157	2.45434846448548	1.99038680203001	42.6381866527716
