"ID","sea_time","fid_signal"
1,0,1323.745
2,0.001667,1327.023
3,0.003333,1327.619
4,0.005,1331.419
5,0.006667,1331.419
6,0.008333,1327.246
7,0.01,1310.483
8,0.011667,1291.484
9,0.013333,1291.484
10,0.015,1274.72
11,0.016667,1270.473
12,0.018333,1279.712
13,0.02,1279.712
14,0.021667,1293.197
15,0.023333,1303.852
16,0.025,1303.852
17,0.026667,1305.044
18,0.028333,1308.098
19,0.03,1307.8
20,0.031667,1307.8
21,0.033333,1306.534
22,0.035,1310.632
23,0.036667,1309.887
24,0.038333,1309.887
25,0.04,1308.62
26,0.041667,1310.259
27,0.04335,1312.42
28,0.044983,1312.42
29,0.046683,1314.059
30,0.048317,1321.36
31,0.049983,1326.427
32,0.05165,1326.427
33,0.053317,1323.819
34,0.054983,1323.447
35,0.05665,1323.447
36,0.058317,1319.2
37,0.059983,1319.349
38,0.06165,1322.553
39,0.063317,1322.553
40,0.064983,1323.074
41,0.06665,1322.404
42,0.068317,1318.455
43,0.069983,1318.455
44,0.07165000000000001,1316.294
45,0.07331699999999999,1318.008
46,0.07498299999999999,1322.776
47,0.07665,1322.776
48,0.078317,1326.725
49,0.079983,1326.725
50,0.08165,1326.725
51,0.083317,1325.16
52,0.084983,1323.596
53,0.08665,1321.882
54,0.08831700000000001,1321.882
55,0.08998299999999999,1323.521
56,0.09165,1327.172
57,0.093317,1325.309
58,0.094983,1325.309
59,0.09665,1323.447
60,0.098317,1321.137
61,0.099983,1319.349
62,0.10165,1319.349
63,0.103317,1318.827
64,0.104983,1318.008
65,0.106633,1317.337
66,0.1083,1317.337
67,0.10995,1316.592
68,0.111617,1319.721
69,0.113283,1319.721
70,0.11495,1323.745
71,0.116617,1326.427
72,0.118283,1328.885
73,0.11995,1328.885
74,0.121617,1326.352
75,0.123283,1322.776
76,0.12495,1325.458
77,0.126617,1325.458
78,0.128283,1324.415
79,0.12995,1327.023
80,0.131617,1329.78
81,0.133283,1329.78
82,0.13495,1326.427
83,0.136617,1325.533
84,0.138283,1325.533
85,0.13995,1323.968
86,0.141617,1324.341
87,0.143283,1325.533
88,0.14495,1325.533
89,0.146617,1323.149
90,0.148283,1320.913
91,0.14995,1318.753
92,0.151617,1318.753
93,0.153283,1316.22
94,0.15495,1318.231
95,0.156617,1319.796
96,0.158283,1319.796
97,0.15995,1319.945
98,0.161617,1320.839
99,0.163283,1320.839
100,0.16495,1320.988
101,0.1666,1321.658
102,0.168267,1320.615
103,0.169933,1320.615
104,0.1716,1319.87
105,0.173267,1321.36
106,0.174933,1321.51
