"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,20.71583,120,119.0373,32,32.01432,32,32.02222,180,179.993,52.02287,53.9014,228.4179,29.30199,0,0,10,10,10,10.005,0,0,0,0,0,0,0,0
2,21.83174,120,119.9944,32,32.00011,32,32.00206,180,180.0046,53.56884,57.60853,227.9105,28.64648,0,0,10,10.02,10,10.02,0,0,0,0,0,0,0,0
3,18.19789,30,30.95776,32,31.98915,32,32.00674,180,179.833,52.68366,55.32901,214.9741,31.88128,0,0,10,10.015,10,10.01,0,0,0,0,0,0,0,0
4,22.03203,30,27.96204,32,31.96027,32,31.98,180,179.8395,52.11923,54.3912,214.5918,31.5853,0,0,10,9.965,10,10.005,0,0,0,0,0,0,0,0
5,16.88169,30,29.00297,32,31.8662,32,31.92068,180,180.1149,48.9413,50.45653,214.3274,28.98051,0,0,10,10.005,10,10,0,0,0,0,0,0,0,0
6,20.63,30,29.35856,32,31.88222,32,31.92293,180,180.07,48.04897,49.32985,214.2892,28.38562,0,0,10,9.985,10,10,0,0,0,0,0,0,0,0
7,16.16636,30,29.98343,32,31.97281,32,31.98763,180,180.4079,48.74943,48.0656,223.8488,27.35452,2,2.025,10,10.005,10,10.005,0,0,0,0,0,0,0,0
8,20.83029,30,30.01408,32,31.97481,32,31.99378,180,180.1984,49.78698,49.29847,226.5308,27.40218,2,2.01,10,10.01,10,10.005,0,0,0,0,0,0,0,0
9,17.28227,30,30.01244,32,31.97184,32,31.99343,180,180.1953,49.79277,49.30219,226.1649,27.37415,2,1.99,10,9.97,10,9.965,0,0,0,0,0,0,0,0
10,21.34532,30,29.97545,32,31.99612,32,31.99231,180,180.0842,50.4016,50.52361,227.452,27.38495,2,2.065,10,10.035,10,10.045,0,0,0,0,0,0,0,0
11,17.71147,30,29.9768,32,31.9977,32,31.99192,180,180.0838,50.40208,50.53461,227.084,27.37324,2,1.965,10,9.98,10,9.975,0,0,0,0,0,0,0,0
12,21.9462,30,29.98492,32,31.99566,32,31.99599,180,180.0848,50.84344,51.5038,227.9334,27.37732,2,2.025,10,10.035,10,10,0,0,0,0,0,0,0,0
13,18.11205,30,29.98488,32,31.99343,32,31.99343,180,180.0867,50.84528,51.50242,227.5645,27.39035,2,1.945,10,9.95,10,9.96,0,0,0,0,0,0,0,0
14,22.31816,30,29.99546,32,31.9919,32,31.99455,180,180.0693,51.11206,52.2523,228.0664,27.29806,2,1.965,10,9.97,10,10,0,0,0,0,0,0,0,0
15,18.51263,30,29.99097,32,31.99357,32,31.99567,180,180.07,51.10735,52.24693,227.6809,27.3033,2,2.06,10,10.055,10,10.035,0,0,0,0,0,0,0,0
16,22.51846,30,29.99332,32,31.99733,32,31.9913,180,180.0232,51.2836,52.82181,228.2516,27.21906,2,1.945,10,9.975,10,9.945,0,0,0,0,0,0,0,0
17,18.77015,30,29.9961,32,31.99807,32,31.99533,180,180.0241,51.28625,52.83556,227.8583,27.18715,2,1.945,10,9.99,10,10,0,0,0,0,0,0,0,0
18,22.57568,30,29.99407,32,32.00137,32,32.00159,180,179.9909,51.41534,53.22887,228.3397,27.23169,2,2.005,10,10.025,10,10.015,0,0,0,0,0,0,0,0
19,18.59847,30,29.99257,32,32.00053,32,32.00086,180,179.9934,51.41065,53.2238,227.9462,27.2227,2,1.99,10,9.98,10,9.95,0,0,0,0,0,0,0,0
20,22.51846,30,29.99734,32,31.9971,32,31.99982,180,180.0617,51.50082,53.52785,228.3743,27.20831,2,1.99,10,9.99,10,9.965,0,0,0,0,0,0,0,0
21,18.56986,30,29.99432,32,31.99965,32,31.99997,180,180.0608,51.4955,53.52486,227.9885,27.22786,2,1.98,10,9.99,10,10,0,0,0,0,0,0,0,0
22,22.71875,30,29.99788,32,31.99844,32,31.99312,180,180.0341,51.60733,53.73878,228.3304,27.12316,2,1.97,10,9.94,10,9.935,0,0,0,0,0,0,0,0
23,18.91321,30,29.99674,32,32.00155,32,31.99521,180,180.0334,51.60051,53.72608,227.9659,27.11131,2,2,10,10.01,10,10.005,0,0,0,0,0,0,0,0
24,22.8332,30,29.99763,32,31.99658,32,31.99865,180,180.0082,51.64042,53.90075,228.3622,27.08695,2,1.945,10,9.955,10,9.965,0,0,0,0,0,0,0,0
25,19.08489,30,29.9972,32,31.99542,32,31.99947,180,180.0058,51.63321,53.88442,228.0002,27.08725,2,2.025,10,9.99,10,9.99,0,0,0,0,0,0,0,0
