"masterScheduleID","table_type","injection_name","solvent","status","surface_coverage"
1,2,"colConditioning1","",0,0
2,1,"methaneInjection1","METHANE",0,0
3,1,"methaneInjection2","METHANE",0,0
4,3,"injection1","OCTANE",0,11928.3601470626
5,3,"injection2","OCTANE",0,13389.678008706
6,3,"injection3","OCTANE",0,14975.2400788694
7,3,"injection4","OCTANE",0,16726.5073935693
8,3,"injection5","OCTANE",0,18672.6747217232
9,3,"injection6","OCTANE",0,20830.1084091463
10,3,"injection7","OCTANE",0,23202.4363348753
11,3,"injection8","OCTANE",0,25781.2544587342
12,3,"injection9","OCTANE",0,28547.3237628453
13,3,"injection10","OCTANE",0,31472.2137175102
14,3,"injection11","OCTANE",0,34520.2376313055
15,3,"injection12","OCTANE",0,37650.5735081908
16,3,"injection13","OCTANE",0,40819.471039557
17,1,"methaneInjection3","METHANE",0,0
18,1,"methaneInjection4","METHANE",0,0
