"ID","sea_time","fid_signal"
1,0,1327.619
2,0.001667,1325.16
3,0.003333,1325.16
4,0.005,1321.435
5,0.006667,1319.423
6,0.008333,1308.844
7,0.01,1308.844
8,0.011667,1294.687
9,0.013333,1279.488
10,0.015,1268.61
11,0.016667,1268.61
12,0.018333,1277.03
13,0.02,1288.354
14,0.021667,1300.35
15,0.023333,1300.35
16,0.025,1307.353
17,0.026667,1306.981
18,0.028333,1306.981
19,0.03,1309.141
20,0.031667,1309.365
21,0.033333,1312.345
22,0.035,1312.345
23,0.036667,1314.953
24,0.038333,1317.71
25,0.04,1318.976
26,0.041667,1318.976
27,0.04335,1319.721
28,0.045,1319.572
29,0.046667,1320.392
30,0.048317,1320.392
31,0.049983,1319.796
32,0.05165,1320.541
33,0.053317,1319.87
34,0.054983,1319.87
35,0.05665,1317.412
36,0.058317,1317.933
37,0.059983,1317.933
38,0.06165,1317.635
39,0.063317,1318.306
40,0.064983,1318.753
41,0.06665,1318.753
42,0.068317,1319.423
43,0.069983,1318.753
44,0.07165000000000001,1318.38
45,0.07331699999999999,1318.38
46,0.07498299999999999,1317.784
47,0.07665,1319.647
48,0.078317,1321.063
49,0.079983,1321.063
50,0.08165,1323.968
51,0.083317,1325.384
52,0.084967,1325.384
53,0.086633,1323
54,0.0883,1323.298
55,0.08996700000000001,1322.329
56,0.09163300000000001,1322.329
57,0.09329999999999999,1323.596
58,0.094967,1325.458
59,0.096633,1324.49
60,0.0983,1324.49
61,0.099967,1323.149
62,0.101633,1319.498
63,0.1033,1320.168
64,0.104967,1320.168
65,0.106633,1318.753
66,0.1083,1318.38
67,0.10995,1320.466
68,0.111617,1320.466
69,0.113283,1318.157
70,0.11495,1319.572
71,0.116617,1319.572
72,0.118283,1321.211
73,0.119967,1322.105
74,0.1217,1322.031
75,0.123283,1322.031
76,0.12495,1323.149
77,0.126617,1322.925
78,0.128283,1323.521
79,0.12995,1323.521
80,0.131617,1324.415
81,0.133283,1322.255
82,0.13495,1324.266
83,0.136617,1324.266
84,0.138283,1322.18
85,0.139967,1322.255
86,0.141617,1322.255
87,0.143283,1321.435
