ID	Injection Name	Solvent	Injection Time [ms]	Duration [min]	Target Fractional Surface Coverage	Actual Fractional Surface Coverage	Column Temperature [Kelvin]	Column Pressure Drop [Torr]	Exit Flow Rate [sccm]	Peak Area [µV•min]	Peak Max (Signal) [µV]	Peak Max (Time) [min]	Peak Com [min]	Peak Com/Max	Ret Volume (Max) [ml/g]	Ret Volume (Com) [ml/g]	Net Ret Time (Max) [min]	Net Ret Volume (Max) [ml/g]	Net Ret Time (Com) [min]	Net Ret Volume (Com) [ml/g]	Partial Pressure [Torr]	Pres Ret Volume (Max) [mMol/(g•Torr)]	Pres Ret Volume (Com) [mMol/(g•Torr)]	Amount  [mMol/g]	Amount  [mMol]	Amount (Max) [mMol/g]	Amount (Com) [mMol/g]
1	colConditioning1	n/a	0	120	n/a	0	392.679899597168	25.608660697937	10.0100002288818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	methaneInjection1	Methane	3000	3	n/a	0	302.569400215149	23.3196201324463	10.0050001144409	8923.27787850565	97776.3987907266	0.436516666666667	0.448240988451549	1.02685881818537	476.427024058225	489.223290875999	0	0	0	0	0	0	0	0	0	0	0
3	methaneInjection2	Methane	3000	3	n/a	0	302.330480003357	21.4883852005005	10	8950.45366238926	95443.8211394808	0.4432	0.457004758074764	1.03114791984378	483.677272966094	498.742813894701	0	0	0	0	0	0	0	0	0	0	0
4	injection1	OCTANE	2063	50	0.1	0.0919099042465271	303.157025718689	22.1178703308105	10	1442.11018027097	204.913696528414	2.4392	8.07238991326179	3.30944158464324	2668.14903189086	8830.0833601652	1.99850833333333	2186.09301197488	7.61934317805703	8334.51259600568	0.0117275830459823	0.115629070781185	0.440837577180497	0.00484507834627431	4.84507834627431E-05	0.00135604953011612	0.00516995929617392
5	injection2	OCTANE	3877	40	0.2	0.189886602004115	303.150890731812	23.0907154083252	9.99749994277954	3008.11825082195	1653.39084391501	0.9047	4.71798201554569	5.21496851502784	988.720092231907	5156.14415116482	0.464008333333333	507.101096639446	4.26493528034094	4661.02266358108	0.0937469602148022	0.0268226534315844	0.246540574198141	0.0100099708639671	0.000100099708639671	0.00355602685858978	0.0253910636387486
6	injection3	OCTANE	5478	30	0.3	0.275777174204211	303.153714561462	23.1765546798706	10.0025000572205	4405.10634883907	5605.76808330788	0.668083	3.02407113828086	4.52649017903593	730.459247882222	3306.41661172485	0.227391333333333	248.621956136591	2.57102440307611	2811.07070791775	0.315066437053127	0.0131505107979847	0.148687655236939	0.0145377369945854	0.000145377369945854	0.00646649102855648	0.0582985377081051
7	injection4	OCTANE	6212	20	0.35	0.307173512924138	303.152025604248	23.5199146270752	9.99000024795532	4921.33064623415	8752.40046919285	0.624783	2.06850487922352	3.31075730169278	682.105751639402	2258.28659776679	0.184091333333333	200.981392409257	1.61545814401877	1763.67361398744	0.491062261663779	0.0106306890074721	0.0932875699398392	0.016192811299485	0.00016192811299485	0.00833744790660593	0.074716760505591
8	injection5	OCTANE	6908	10	0.4	0.32940217180082	303.153005027771	23.1050252914429	10.0025000572205	5288.60437036663	12275.3083005477	0.5998	1.5211585247029	2.5361095776974	655.830099710099	1663.25699721702	0.159108333333333	173.971380651397	1.06811178949815	1167.88906536863	0.686408863344477	0.00920199450605078	0.0617740039939874	0.0173646065991652	0.000173646065991652	0.0101350262620474	0.0867841022580263
9	injection6	OCTANE	7573	10	0.45	0.366206498243281	303.152095222473	22.7330551147461	10.0150003433228	5899.93617282802	17772.8021704741	0.578133	1.19192323053045	2.06167651825869	633.081274358126	1305.20879749344	0.137441333333333	150.504355323337	0.738876495325699	809.102530480114	0.989139008894978	0.00796075999426831	0.0427965758337667	0.019304765786115	0.00019304765786115	0.0125449882938049	0.0997399158892455
10	injection7	OCTANE	8213	10	0.5	0.400412472457099	303.150390052795	22.489839553833	10	6471.68942841011	20958.0058268375	0.571467	1.20310466709992	2.10529158656566	624.940377878048	1315.68171965182	0.130775333333333	143.012258328934	0.750057931895167	820.242441626538	1.16443042428678	0.00756451642971903	0.0433860530456462	0.0211079514855805	0.000211079514855805	0.0138709830855248	0.107345118535881
