n/nm	Solvent Name	Unit	En. (Stz Max)	En. (Stz Com)	En. (Pol Max)	En. (Pol Com)	Interpolated Retention Volume (Max)	Interpolated Retention Volume (Com)	Column Temperature [Kelvin]
0.005	NONANE	dG (kJ/Mol)					-135.320779111297	14449.6738433758	323.149262650808
0.005	OCTANE	dG (kJ/Mol)					1718.9376780806	3005.31214898104	323.150849088033
0.005	HEPTANE	dG (kJ/Mol)					337.831807269127	618.096011784196	323.151790841421
0.005	HEXANE	dG (kJ/Mol)					68.6231485903727	96.8454476117073	323.152623558044
0.005	DICHLOROMETHANE	dG (kJ/Mol)	-19.9520737806405	7.05739358891388	-19.9024206668386	7.55949260996666	6.42081710189818	13.8535511405287	323.151472791036
0.005	ETHYL ACETATE	dG (kJ/Mol)	-11.8677991115461	9.67841211177673	-10.2061999788396	7.67127684223785	58.7629107158973	116.81538520941	323.152937104967
0.0075	NONANE	dG (kJ/Mol)					6676.7402942472	12952.0978052171	323.149262650808
0.0075	OCTANE	dG (kJ/Mol)					1583.11031048417	2868.18857871451	323.150849088033
0.0075	HEPTANE	dG (kJ/Mol)					324.169775889329	594.130017251968	323.151790841421
0.0075	HEXANE	dG (kJ/Mol)					67.4964166976424	95.6366132500598	323.152623558044
0.0075	DICHLOROMETHANE	dG (kJ/Mol)	5.18023096360114	6.79533534654349	5.65602819081654	7.29108514149008	6.41249975080199	13.5739393721418	323.151472791036
0.0075	ETHYL ACETATE	dG (kJ/Mol)	8.19957534069907	9.46153257079092	6.35022203586004	7.49264478912191	57.5261452640595	113.989377904697	323.152937104967
0.01	NONANE	dG (kJ/Mol)					6940.92554854601	12088.9349792238	323.149262650808
0.01	OCTANE	dG (kJ/Mol)					1472.52257579848	2688.40780850672	323.150849088033
0.01	HEPTANE	dG (kJ/Mol)					310.507744509532	570.164022719739	323.151790841421
0.01	HEXANE	dG (kJ/Mol)					66.3696848049122	94.4277788884124	323.152623558044
0.01	DICHLOROMETHANE	dG (kJ/Mol)	5.4049465652398	6.64382480681294	5.87889579697368	7.13297245941253	6.4041823997058	13.294327603755	323.151472791036
0.01	ETHYL ACETATE	dG (kJ/Mol)	8.34260900683711	9.33436629514752	6.47154870737172	7.38807133398093	56.2893798122218	111.163370599985	323.152937104967
0.02	NONANE	dG (kJ/Mol)					5430.10649580461	10005.2439803276	323.149262650808
0.02	OCTANE	dG (kJ/Mol)					1170.33906670136	2204.92343593272	323.150849088033
0.02	HEPTANE	dG (kJ/Mol)					255.898340688802	476.523183645498	323.151790841421
0.02	HEXANE	dG (kJ/Mol)					61.8627572339912	89.5924414418225	323.152623558044
0.02	DICHLOROMETHANE	dG (kJ/Mol)	5.23687756745788	6.3270619072293	5.69444110382186	6.80396560490396	6.37091299532103	12.1758805302077	323.151472791036
0.02	ETHYL ACETATE	dG (kJ/Mol)	8.04665660725831	9.04599650210871	6.24404834295641	7.15216993390205	51.3423180048709	99.8593413811346	323.152937104967
