"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,23.4913,120,119.0474,32,32.02119,32,32.03065,180,180.0339,53.21442,56.00092,227.6937,30.15702,0,0,10,10,10,9.995,0,0,0,0,0,0,0,0
2,24.46414,120,120.0046,32,32.00197,32,32.00311,180,179.9887,54.88027,58.97837,226.76,30.55934,0,0,10,9.975,10,9.965,0,0,0,0,0,0,0,0
3,20.51554,30,30.97352,32,32.21473,32,32.27636,180,179.907,54.2312,56.99697,213.7781,33.30347,0,0,10,10,10,10.005,0,0,0,0,0,0,0,0
4,24.1494,30,28.17798,32,32.189,32,32.40068,180,179.9593,53.71981,56.22968,213.4775,33.09908,0,0,10,10.005,10,10.015,0,0,0,0,0,0,0,0
5,18.8846,30,29.00379,32,31.8122,32,32.34566,180,179.9257,50.95803,52.62135,213.0568,31.09917,0,0,10,9.99,10,9.995,0,0,0,0,0,0,0,0
6,22.86181,30,29.3791,32,31.60014,32,32.15827,180,179.9866,50.14451,51.61041,213.0853,30.72322,0,0,10,9.995,10,10,0,0,0,0,0,0,0,0
7,18.08344,30,29.99179,32,31.95823,32,31.99177,180,179.7214,48.10802,46.82831,218.3079,28.84853,2,1.955,10,10.02,10,10.015,0,0,0,0,0,0,0,0
8,24.43553,30,29.99318,32,32.00197,32,31.99262,180,180.027,51.64325,52.20155,227.4895,28.45291,2,2.025,10,10.015,10,10.015,0,0,0,0,0,0,0,0
9,20.22941,30,29.99798,32,32.00109,32,31.99161,180,180.0276,51.65123,52.22481,227.1707,28.43129,2,2.025,10,10.005,10,9.995,0,0,0,0,0,0,0,0
10,23.60575,30,29.98937,32,32.00007,32,31.99769,180,180.0054,52.40385,54.51218,227.6483,28.17834,2,1.99,10,9.985,10,9.985,0,0,0,0,0,0,0,0
11,20.02912,30,29.9971,32,32.00202,32,31.99718,180,180.0086,52.38401,54.49868,227.3079,28.2155,2,1.965,10,10.005,10,9.995,0,0,0,0,0,0,0,0
12,24.3783,30,30.00105,32,31.99881,32,32.00047,180,180.0408,52.46297,54.91103,227.8486,28.0495,2,2.01,10,10,10,9.995,0,0,0,0,0,0,0,0
13,19.9719,30,29.99944,32,31.99598,32,31.99815,180,180.0387,52.46755,54.91959,227.4195,28.03627,2,2.005,10,9.985,10,9.98,0,0,0,0,0,0,0,0
14,24.00633,30,30.00126,32,31.99631,32,31.99819,180,180.0758,52.45168,55.00562,227.8457,27.90561,2,2.025,10,10.005,10,10,0,0,0,0,0,0,0,0
