"masterInstrumentSettingsID","masterSchedule_ID","settingsBeforeInjection","settingsAfterInjection"
1,1,1,2
2,2,3,4
3,3,5,6
4,4,7,8
5,5,9,10
6,6,11,12
7,7,13,14
8,8,15,16
9,9,17,18
10,10,19,20
11,11,21,22
12,12,23,24
13,13,25,26
14,14,27,28
15,15,29,30
16,16,31,32
17,17,33,34
18,18,35,36
19,19,37,38
20,20,39,40
21,21,41,42
22,22,43,44
23,23,45,46
24,24,47,48
25,25,49,50
26,26,51,52
27,27,53,54
28,28,55,56
29,29,57,58
30,30,59,60
31,31,61,62
32,32,63,64
33,33,65,66
34,34,67,68
35,35,69,70
36,36,71,72
37,37,73,74
