"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,22.89042,120,119.0458,32,32.01381,32,32.03851,180,179.9583,52.43082,55.14645,229.8543,29.55865,0,0,10,9.99,10,10,0,0,0,0,0,0,0,0
2,24.06356,120,120.0136,32,32.01339,32,32.00368,180,179.9761,53.99643,57.78845,228.8108,30.06929,0,0,10,10,10,9.975,0,0,0,0,0,0,0,0
3,20.88751,50,49.02338,32,31.80737,32,31.95567,180,180.0429,52.82125,53.96674,220.6348,30.2543,0,0,10,10.01,10,9.99,0,0,0,0,0,0,0,0
4,24.60721,50,50.00707,32,31.83175,32,31.85042,180,180.379,53.1499,54.17438,224.0497,30.15741,0,0,10,9.975,10,9.985,0,0,0,0,0,0,0,0
5,21.97481,50,50.01035,32,31.83277,32,31.85173,180,180.3733,53.15853,54.18033,223.7371,30.17706,0,0,10,9.995,10,9.995,0,0,0,0,0,0,0,0
6,24.66443,50,50.00981,32,31.92118,32,31.90536,180,180.2035,53.36094,54.58238,225.8932,30.00369,0,0,10,9.99,10,9.96,0,0,0,0,0,0,0,0
7,20.37248,50,49.97766,32,31.98312,32,31.98275,180,180.0215,53.30317,55.68473,228.9131,29.35398,2,2.04,10,10.04,10,10.01,0,0,0,0,0,0,0,0
8,23.80604,50,50.00173,32,31.99524,32,31.99962,180,180.0134,52.96238,55.53626,229.2313,29.03533,2,2.025,10,9.995,10,10,0,0,0,0,0,0,0,0
9,19.91467,50,49.99934,32,31.99519,32,31.99819,180,179.9992,52.95739,55.53556,229.2265,29.04313,2,1.97,10,9.95,10,10,0,0,0,0,0,0,0,0
10,24.03495,50,49.99646,32,32.01023,32,32.00136,180,180.0069,52.84097,55.38497,229.2819,28.99125,2,2.035,10,10.025,10,9.995,0,0,0,0,0,0,0,0
11,19.91467,50,49.99835,32,32.00453,32,31.99924,180,180.0268,52.83911,55.37808,229.3053,29.02223,2,1.995,10,9.97,10,10.035,0,0,0,0,0,0,0,0
12,23.74882,50,50.00454,32,31.99528,32,31.99986,180,179.9161,52.76539,55.36761,229.2275,28.88799,2,2.04,10,10,10,9.995,0,0,0,0,0,0,0,0
13,19.68577,50,49.99732,32,31.99505,32,31.99811,180,179.9057,52.73623,55.33715,229.2525,28.94915,2,2.01,10,9.995,10,9.995,0,0,0,0,0,0,0,0
14,23.66298,50,50.00087,32,32.00113,32,32.00156,180,180.0438,52.66554,55.1914,229.3827,28.85929,2,2.005,10,10.015,10,10.005,0,0,0,0,0,0,0,0
15,19.37102,50,49.99639,32,32.00253,32,32.00063,180,180.0493,52.68147,55.20811,229.4204,28.85053,2,2.01,10,9.985,10,9.985,0,0,0,0,0,0,0,0
16,23.9205,50,50.00155,32,32.00234,32,32.00299,180,180.057,52.66233,55.2131,229.4043,28.73719,2,2.025,10,10,10,10.01,0,0,0,0,0,0,0,0
17,19.51409,50,50.00191,32,32.00039,32,32.00148,180,180.0476,52.65398,55.20148,229.4174,28.72151,2,1.99,10,9.97,10,9.965,0,0,0,0,0,0,0,0
18,23.7202,50,49.99799,32,31.99682,32,31.99947,180,179.9681,52.62434,55.26536,229.4025,28.77952,2,2.015,10,10.015,10,9.995,0,0,0,0,0,0,0,0
19,19.59993,50,49.99895,32,31.99695,32,32.00024,180,179.9657,52.62329,55.26386,229.4023,28.73996,2,2.02,10,10.02,10,9.995,0,0,0,0,0,0,0,0
