"injection_table_name","solventReservoir_ID","target_surface_coverage","stage_time","FIDGain","target_Temperature_Column_Oven","flow_Rate","target_column_rh"
"injection1",4,788.411265152729,70,500,50,10,0
"injection2",4,1169.74896948671,65,100,50,10,0
"injection3",4,1542.90879574199,60,100,50,10,0
"injection4",4,2265.89601111623,50,100,50,10,0
"injection5",4,2959.77104495861,45,100,50,10,0
"injection6",4,3626.9217997817,40,100,50,10,0
"injection7",4,4269.72033761153,40,10,50,10,0
"injection8",4,4890.51928913689,35,10,50,10,0
"injection9",4,5491.64522582759,35,10,50,10,0
"injection10",4,6075.39598031701,35,10,50,10,0
"injection11",4,6644.03333874757,30,10,50,10,0
"injection12",4,7199.78134102222,25,10,50,10,0
"injection13",4,7744.82010238846,25,10,50,10,0
"injection14",4,8281.28194823997,20,10,50,10,0
"injection15",4,8811.24762914034,20,1,50,10,0
"injection16",4,9336.74109406103,20,1,50,10,0
"injection17",4,9859.726004464579,15,1,50,10,0
"injection18",4,10382.1046917549,15,1,50,10,0
"injection19",4,10905.7098867918,15,1,50,10,0
"injection20",4,11432.3036108238,15,1,50,10,0
"injection21",4,11963.5762643053,10,1,50,10,0
"injection22",4,14166.4653872023,10,1,50,10,0
"injection23",4,16558.1250309779,10,1,50,10,0
"injection24",4,19205.4051221556,8,1,50,10,0
"injection25",4,22150.5714264362,8,1,50,10,0
"injection26",4,25410.4292780019,8,1,50,10,0
"injection27",3,307.562114801502,30,500,50,10,0
"injection28",3,459.278601913109,20,100,50,10,0
"injection29",3,609.631083896677,15,100,50,10,0
"injection30",3,906.2824870442601,15,100,50,10,0
"injection31",3,1197.59539679164,15,100,50,10,0
"injection32",3,1483.65232609717,10,100,50,10,0
"injection33",3,1764.53885788988,10,10,50,10,0
"injection34",3,2040.34411632116,10,10,50,10,0
"injection35",3,2311.15987553247,10,10,50,10,0
"injection36",3,2577.0813702141,10,10,50,10,0
"injection37",3,2838.20598328199,8,10,50,10,0
"injection38",3,3094.63442675329,8,10,50,10,0
"injection39",3,3346.4698334807,7,10,50,10,0
"injection40",3,3593.81784425176,7,10,50,10,0
"injection41",3,3836.78667381614,7,1,50,10,0
"injection42",3,4075.486452481,7,1,50,10,0
"injection43",3,4310.02931648739,6,1,50,10,0
"injection44",3,4540.53049928835,6,1,50,10,0
"injection45",3,4767.10612008188,6,1,50,10,0
"injection46",3,4989.87414375227,6,1,50,10,0
"injection47",3,5208.95523549558,6,1,50,10,0
"injection48",3,6050.85968692441,6,1,50,10,0
"injection49",3,6843.73432728943,5,1,50,10,0
"injection50",3,7595.83148262621,5,1,50,10,0
"injection51",3,8315.552354072041,5,1,50,10,0
"injection52",3,9011.33259209055,5,1,50,10,0
"injection53",2,132.04302425388,10,100,50,10,0
"injection54",2,197.5248109585,10,100,50,10,0
"injection55",2,262.649369779966,5,100,50,10,0
"injection56",2,391.834555088291,5,100,50,10,0
"injection57",2,519.614056039807,4,100,50,10,0
"injection58",2,646.003328659677,4,100,50,10,0
"injection59",2,771.017691475966,3,10,50,10,0
"injection60",2,894.67258197015,3,10,50,10,0
"injection61",2,1016.98320732559,3,10,50,10,0
"injection62",2,1137.96495721903,3,10,50,10,0
"injection63",2,1257.6328589257,3,10,50,10,0
"injection64",2,1376.00216388162,3,10,50,10,0
"injection65",2,1493.08798559035,3,10,50,10,0
"injection66",2,1608.90538969705,3,10,50,10,0
"injection67",2,1723.46947832987,3,1,50,10,0
"injection68",2,1836.79513303802,3,1,50,10,0
"injection69",2,1948.89710649215,3,1,50,10,0
"injection70",2,2059.79060154056,3,1,50,10,0
"injection71",2,2169.4902684411,3,1,50,10,0
"injection72",2,2278.01071347654,3,1,50,10,0
"injection73",2,2385.36697555399,2,1,50,10,0
"injection74",2,2803.44073872503,2,1,50,10,0
"injection75",2,3204.04862142107,2,1,50,10,0
"injection76",2,3588.10626032187,2,1,50,10,0
"injection77",2,3956.51554817958,2,1,50,10,0
"injection78",2,4310.16248177466,2,1,50,10,0
"injection79",1,50.8389559567988,2,10,50,10,0
"injection80",1,76.03690308601151,2,10,50,10,0
"injection81",1,101.088539032145,2,10,50,10,0
"injection82",1,150.756975078606,2,10,50,10,0
"injection83",1,199.852409023269,2,10,50,10,0
"injection84",1,248.382914379868,2,10,50,10,0
"injection85",1,296.356448834173,2,10,50,10,0
"injection86",1,343.78095342074,2,10,50,10,0
"injection87",1,390.664219252325,2,10,50,10,0
"injection88",1,437.014046552988,2,10,50,10,0
"injection89",1,482.838036567093,2,10,50,10,0
"injection90",1,528.143817029851,2,10,50,10,0
"injection91",1,572.9389041516361,2,1,50,10,0
"injection92",1,617.230737854994,2,1,50,10,0
"injection93",1,661.02671472589,2,1,50,10,0
"injection94",1,704.33409044955,2,1,50,10,0
"injection95",1,747.16001565319,2,1,50,10,0
"injection96",1,789.511757759891,2,1,50,10,0
"injection97",1,831.396318605115,2,1,50,10,0
"injection98",1,872.820629508802,2,1,50,10,0
"injection99",1,913.7917338138629,2,1,50,10,0
"injection100",1,1073.27922493304,1,1,50,10,0
"injection101",1,1226.0494736872,1,1,50,10,0
"injection102",1,1372.51133190345,1,1,50,10,0
"injection103",1,1513.05650861349,1,1,50,10,0
"injection104",1,1648.05939969948,1,1,50,10,0
"injection105",8,57.8713710150122,2,10,50,10,0
"injection106",8,76.94501166422501,2,10,50,10,0
"injection107",8,114.772411177319,2,10,50,10,0
"injection108",8,152.179060252605,2,10,50,10,0
"injection109",8,189.171695348549,2,10,50,10,0
"injection110",8,225.756824932016,2,10,50,10,0
"injection111",8,261.94081117525,2,10,50,10,0
"injection112",8,297.729774228962,2,10,50,10,0
"injection113",8,333.129719336694,1,1,50,10,0
"injection114",8,368.146383556076,1,1,50,10,0
"injection115",8,402.785413399735,1,1,50,10,0
"injection116",8,437.052264744685,1,1,50,10,0
"injection117",8,470.952234899298,1,1,50,10,0
"injection118",8,504.490492862065,1,1,50,10,0
"injection119",8,537.6720094941689,1,1,50,10,0
"injection120",8,570.501589615273,1,1,50,10,0
"injection121",8,602.984046755538,1,1,50,10,0
"injection122",8,635.123914505508,1,1,50,10,0
"injection123",8,666.925600302837,1,1,50,10,0
"injection124",8,698.39352990216,1,1,50,10,0
"injection125",8,821.009661802408,1,1,50,10,0
"injection126",8,938.602268719388,1,1,50,10,0
"injection127",8,1051.39816951296,1,1,50,10,0
"injection128",8,1159.6028285445,1,1,50,10,0
"injection129",8,1263.40316743456,1,1,50,10,0
"injection130",9,120.037963459282,2,10,50,10,0
"injection131",9,179.540920134341,2,10,50,10,0
"injection132",9,238.702131116564,2,10,50,10,0
"injection133",9,356.006123991245,2,10,50,10,0
"injection134",9,471.963549233482,2,10,50,10,0
"injection135",9,586.5880205060309,2,10,50,10,0
"injection136",9,699.893051008286,2,10,50,10,0
"injection137",9,811.892285653755,2,10,50,10,0
"injection138",9,922.599184265213,2,10,50,10,0
"injection139",9,1032.02739508622,2,1,50,10,0
"injection140",9,1140.19026142282,1,1,50,10,0
"injection141",9,1247.10135196211,1,1,50,10,0
"injection142",9,1352.77413290166,1,1,50,10,0
"injection143",9,1457.22204915171,1,1,50,10,0
"injection144",9,1560.4586000071,1,1,50,10,0
"injection145",9,1662.49710717241,1,1,50,10,0
"injection146",9,1763.35079755592,1,1,50,10,0
"injection147",9,1863.03332358116,1,1,50,10,0
"injection148",9,1961.55786073856,1,1,50,10,0
"injection149",9,2058.93756543234,1,1,50,10,0
"injection150",9,2155.18600177327,1,1,50,10,0
"injection151",9,2529.12983151228,1,1,50,10,0
"injection152",9,2886.02563377306,1,1,50,10,0
"injection153",9,3226.70822322495,1,1,50,10,0
"injection154",9,3552.00433390623,1,1,50,10,0
"injection155",9,3862.73041607475,1,1,50,10,0
