"masterScheduleID","table_type","injection_name","solvent","status","surface_coverage"
1,2,"colConditioning1","",0,0
2,1,"methaneInjection1","METHANE",0,0
3,1,"methaneInjection2","METHANE",0,0
4,3,"injection1","NONANE",0,788.411265152729
5,3,"injection2","NONANE",0,1169.74896948671
6,3,"injection3","NONANE",0,1542.90879574199
7,3,"injection4","NONANE",0,2265.89601111623
8,3,"injection5","NONANE",0,2959.77104495861
9,3,"injection6","NONANE",0,3626.9217997817
10,3,"injection7","NONANE",0,4269.72033761153
11,3,"injection8","NONANE",0,4890.51928913689
12,3,"injection9","NONANE",0,5491.64522582759
13,3,"injection10","NONANE",0,6075.39598031701
14,3,"injection11","NONANE",0,6644.03333874757
15,3,"injection12","NONANE",0,7199.78134102222
16,3,"injection13","NONANE",0,7744.82010238846
17,3,"injection14","NONANE",0,8281.28194823997
18,3,"injection15","NONANE",0,8811.24762914034
19,3,"injection16","NONANE",0,9336.74109406103
20,3,"injection17","NONANE",0,9859.726004464579
21,3,"injection18","NONANE",0,10382.1046917549
22,3,"injection19","NONANE",0,10905.7098867918
23,3,"injection20","NONANE",0,11432.3036108238
24,3,"injection21","NONANE",0,11963.5762643053
25,3,"injection22","NONANE",0,14166.4653872023
26,3,"injection23","NONANE",0,16558.1250309779
27,3,"injection24","NONANE",0,19205.4051221556
28,3,"injection25","NONANE",0,22150.5714264362
29,3,"injection26","NONANE",0,25410.4292780019
30,3,"injection27","OCTANE",0,307.562114801502
31,3,"injection28","OCTANE",0,459.278601913109
32,3,"injection29","OCTANE",0,609.631083896677
33,3,"injection30","OCTANE",0,906.2824870442601
34,3,"injection31","OCTANE",0,1197.59539679164
35,3,"injection32","OCTANE",0,1483.65232609717
36,3,"injection33","OCTANE",0,1764.53885788988
37,3,"injection34","OCTANE",0,2040.34411632116
38,3,"injection35","OCTANE",0,2311.15987553247
39,3,"injection36","OCTANE",0,2577.0813702141
40,3,"injection37","OCTANE",0,2838.20598328199
41,3,"injection38","OCTANE",0,3094.63442675329
42,3,"injection39","OCTANE",0,3346.4698334807
43,3,"injection40","OCTANE",0,3593.81784425176
44,3,"injection41","OCTANE",0,3836.78667381614
45,3,"injection42","OCTANE",0,4075.486452481
46,3,"injection43","OCTANE",0,4310.02931648739
47,3,"injection44","OCTANE",0,4540.53049928835
48,3,"injection45","OCTANE",0,4767.10612008188
49,3,"injection46","OCTANE",0,4989.87414375227
50,3,"injection47","OCTANE",0,5208.95523549558
51,3,"injection48","OCTANE",0,6050.85968692441
52,3,"injection49","OCTANE",0,6843.73432728943
53,3,"injection50","OCTANE",0,7595.83148262621
54,3,"injection51","OCTANE",0,8315.552354072041
55,3,"injection52","OCTANE",0,9011.33259209055
56,3,"injection53","HEPTANE",0,132.04302425388
57,3,"injection54","HEPTANE",0,197.5248109585
58,3,"injection55","HEPTANE",0,262.649369779966
59,3,"injection56","HEPTANE",0,391.834555088291
60,3,"injection57","HEPTANE",0,519.614056039807
61,3,"injection58","HEPTANE",0,646.003328659677
62,3,"injection59","HEPTANE",0,771.017691475966
63,3,"injection60","HEPTANE",0,894.67258197015
64,3,"injection61","HEPTANE",0,1016.98320732559
65,3,"injection62","HEPTANE",0,1137.96495721903
66,3,"injection63","HEPTANE",0,1257.6328589257
67,3,"injection64","HEPTANE",0,1376.00216388162
68,3,"injection65","HEPTANE",0,1493.08798559035
69,3,"injection66","HEPTANE",0,1608.90538969705
70,3,"injection67","HEPTANE",0,1723.46947832987
71,3,"injection68","HEPTANE",0,1836.79513303802
72,3,"injection69","HEPTANE",0,1948.89710649215
73,3,"injection70","HEPTANE",0,2059.79060154056
74,3,"injection71","HEPTANE",0,2169.4902684411
75,3,"injection72","HEPTANE",0,2278.01071347654
76,3,"injection73","HEPTANE",0,2385.36697555399
77,3,"injection74","HEPTANE",0,2803.44073872503
78,3,"injection75","HEPTANE",0,3204.04862142107
79,3,"injection76","HEPTANE",0,3588.10626032187
80,3,"injection77","HEPTANE",0,3956.51554817958
81,3,"injection78","HEPTANE",0,4310.16248177466
82,3,"injection79","HEXANE",0,50.8389559567988
83,3,"injection80","HEXANE",0,76.03690308601151
84,3,"injection81","HEXANE",0,101.088539032145
85,3,"injection82","HEXANE",0,150.756975078606
86,3,"injection83","HEXANE",0,199.852409023269
87,3,"injection84","HEXANE",0,248.382914379868
88,3,"injection85","HEXANE",0,296.356448834173
89,3,"injection86","HEXANE",0,343.78095342074
90,3,"injection87","HEXANE",0,390.664219252325
91,3,"injection88","HEXANE",0,437.014046552988
92,3,"injection89","HEXANE",0,482.838036567093
93,3,"injection90","HEXANE",0,528.143817029851
94,3,"injection91","HEXANE",0,572.9389041516361
95,3,"injection92","HEXANE",0,617.230737854994
96,3,"injection93","HEXANE",0,661.02671472589
97,3,"injection94","HEXANE",0,704.33409044955
98,3,"injection95","HEXANE",0,747.16001565319
99,3,"injection96","HEXANE",0,789.511757759891
100,3,"injection97","HEXANE",0,831.396318605115
101,3,"injection98","HEXANE",0,872.820629508802
102,3,"injection99","HEXANE",0,913.7917338138629
103,3,"injection100","HEXANE",0,1073.27922493304
104,3,"injection101","HEXANE",0,1226.0494736872
105,3,"injection102","HEXANE",0,1372.51133190345
106,3,"injection103","HEXANE",0,1513.05650861349
107,3,"injection104","HEXANE",0,1648.05939969948
108,3,"injection105","DICHLOROMETHANE",0,57.8713710150122
109,3,"injection106","DICHLOROMETHANE",0,76.94501166422501
110,3,"injection107","DICHLOROMETHANE",0,114.772411177319
111,3,"injection108","DICHLOROMETHANE",0,152.179060252605
112,3,"injection109","DICHLOROMETHANE",0,189.171695348549
113,3,"injection110","DICHLOROMETHANE",0,225.756824932016
114,3,"injection111","DICHLOROMETHANE",0,261.94081117525
115,3,"injection112","DICHLOROMETHANE",0,297.729774228962
116,3,"injection113","DICHLOROMETHANE",0,333.129719336694
117,3,"injection114","DICHLOROMETHANE",0,368.146383556076
118,3,"injection115","DICHLOROMETHANE",0,402.785413399735
119,3,"injection116","DICHLOROMETHANE",0,437.052264744685
120,3,"injection117","DICHLOROMETHANE",0,470.952234899298
121,3,"injection118","DICHLOROMETHANE",0,504.490492862065
122,3,"injection119","DICHLOROMETHANE",0,537.6720094941689
123,3,"injection120","DICHLOROMETHANE",0,570.501589615273
124,3,"injection121","DICHLOROMETHANE",0,602.984046755538
125,3,"injection122","DICHLOROMETHANE",0,635.123914505508
126,3,"injection123","DICHLOROMETHANE",0,666.925600302837
127,3,"injection124","DICHLOROMETHANE",0,698.39352990216
128,3,"injection125","DICHLOROMETHANE",0,821.009661802408
129,3,"injection126","DICHLOROMETHANE",0,938.602268719388
130,3,"injection127","DICHLOROMETHANE",0,1051.39816951296
131,3,"injection128","DICHLOROMETHANE",0,1159.6028285445
132,3,"injection129","DICHLOROMETHANE",0,1263.40316743456
133,3,"injection130","ETHYL ACETATE",0,120.037963459282
134,3,"injection131","ETHYL ACETATE",0,179.540920134341
135,3,"injection132","ETHYL ACETATE",0,238.702131116564
136,3,"injection133","ETHYL ACETATE",0,356.006123991245
137,3,"injection134","ETHYL ACETATE",0,471.963549233482
138,3,"injection135","ETHYL ACETATE",0,586.5880205060309
139,3,"injection136","ETHYL ACETATE",0,699.893051008286
140,3,"injection137","ETHYL ACETATE",0,811.892285653755
141,3,"injection138","ETHYL ACETATE",0,922.599184265213
142,3,"injection139","ETHYL ACETATE",0,1032.02739508622
143,3,"injection140","ETHYL ACETATE",0,1140.19026142282
144,3,"injection141","ETHYL ACETATE",0,1247.10135196211
145,3,"injection142","ETHYL ACETATE",0,1352.77413290166
146,3,"injection143","ETHYL ACETATE",0,1457.22204915171
147,3,"injection144","ETHYL ACETATE",0,1560.4586000071
148,3,"injection145","ETHYL ACETATE",0,1662.49710717241
149,3,"injection146","ETHYL ACETATE",0,1763.35079755592
150,3,"injection147","ETHYL ACETATE",0,1863.03332358116
151,3,"injection148","ETHYL ACETATE",0,1961.55786073856
152,3,"injection149","ETHYL ACETATE",0,2058.93756543234
153,3,"injection150","ETHYL ACETATE",0,2155.18600177327
154,3,"injection151","ETHYL ACETATE",0,2529.12983151228
155,3,"injection152","ETHYL ACETATE",0,2886.02563377306
156,3,"injection153","ETHYL ACETATE",0,3226.70822322495
157,3,"injection154","ETHYL ACETATE",0,3552.00433390623
158,3,"injection155","ETHYL ACETATE",0,3862.73041607475
159,1,"methaneInjection3","METHANE",0,0
160,1,"methaneInjection4","METHANE",0,0
