n/nm	Disp. Surf. En. (mJ/m^2) - Stz & Max	Disp. Surf. En. (mJ/m^2) - Stz & Com	Disp. Surf. En. (mJ/m^2) - DnG & Max	Disp. Surf. En. (mJ/m^2) - DnG & Com
0.005	89.1390382828718	96.8546912978217	92.9395671070255	100.874591681579
0.0075	84.4779250888521	93.3263343898997	88.0682314645791	97.2522857340836
0.01	80.865790384279	92.4701068739285	84.307689030231	96.353120695107
0.015	74.0406666108322	90.5264127944372	77.200088850031	94.3522607092
0.02	66.4495224730724	86.55895769788	69.2915139484771	90.2525739632683
0.025	60.3747592065162	82.2817996707386	62.9441321544003	85.7946548119381
0.03	55.9135173139079	80.6094704118526	58.2819218397258	84.0372678196346
0.035	52.3832807309213	76.2115509504109	54.6014777036677	79.4724082043315
0.04	49.1955587849797	73.5981631850068	51.2738874728279	76.7516792193816
0.045	47.9673053674804	70.5362770385869	49.9786740226958	73.5614134820367
0.05	44.6409048920638	68.9386907863125	46.5154014489719	71.8789022245966
0.055	41.5690201180386	63.8086771481536	43.3234858395397	66.5369605404943
0.06	40.8448363582867	61.1761346424132	42.556615119208	63.799881761558
0.065	41.2607231142941	62.4666661333651	42.9901861932733	65.131243478304
0.07	39.9229860574048	59.7895062634731	41.5960102053853	62.3574427759778
0.075	39.9441273228549	55.603530747056	41.6128957507922	57.9831310520489
0.08	37.9233303463801	51.4491058933247	39.5156039917868	53.7035642377287
0.085	38.3020291798936	50.2264889338565	39.8979463914228	52.428719578057
0.09	40.0556966033945	49.0167633458871	41.7086001116698	51.1720538518487
0.095	40.5935162185347	48.0073593426076	42.2652791930768	50.1162516801531
0.1	39.4448684862783	46.8353058202481	41.0757713915898	48.8912451742481
0.12	40.3935366505658	45.1771474201244	42.0893794192937	47.1257360713718
0.14	43.8443693267588	43.6805985754644	45.6936686980472	45.5417194212797
0.16	47.3239799833817	43.2423719453342	49.3348744847466	45.0800637050652
0.18	52.3850679770038	43.0551753908022	54.6066000916946	44.8662570862995
0.2	53.8898446883894	41.7852547947161	56.194629843537	43.5113001205453

