n/nm	Solvent Name	Unit	En. (Stz Max)	En. (Stz Com)	En. (Pol Max)	En. (Pol Com)	Interpolated Retention Volume (Max)	Interpolated Retention Volume (Com)	Column Temperature [Kelvin]
0.005	NONANE	dG (kJ/Mol)					7758.27452570087	16153.9671668162	323.148880973229
0.005	OCTANE	dG (kJ/Mol)					1780.83337433795	3463.86780424685	323.15044969412
0.005	HEPTANE	dG (kJ/Mol)					375.333627909386	759.213620840925	323.149291640061
0.005	HEXANE	dG (kJ/Mol)					85.294819520073	142.04741288173	323.14897802793
0.005	DICHLOROMETHANE	dG (kJ/Mol)	5.54515866771555	6.09085787839836	6.01088897530081	6.56688082133226	9.74050233164841	17.4195787296169	323.148110198974
0.005	ETHYL ACETATE	dG (kJ/Mol)	9.15951469304744	10.4896378722805	7.34274652849755	8.589121656821	106.947234175534	267.769427846593	323.148074824993
0.0075	NONANE	dG (kJ/Mol)					6658.6418087083	13828.8879366938	323.148880973229
0.0075	OCTANE	dG (kJ/Mol)					1529.53873393617	3159.78506567251	323.15044969412
0.0075	HEPTANE	dG (kJ/Mol)					336.6869181259	682.161875789431	323.149291640061
0.0075	HEXANE	dG (kJ/Mol)					82.4642216654727	134.388696471522	323.14897802793
0.0075	DICHLOROMETHANE	dG (kJ/Mol)	5.37880619153402	5.88513023411767	5.83107360259069	6.35706561980497	9.72337234150143	16.4938242373974	323.148110198974
0.0075	ETHYL ACETATE	dG (kJ/Mol)	8.79316356835729	10.0691539243521	7.02373021394261	8.2069099527233	96.379676261685	229.396262710648	323.148074824993
0.01	NONANE	dG (kJ/Mol)					5771.16170887311	12778.5183505354	323.148880973229
0.01	OCTANE	dG (kJ/Mol)					1338.64426949345	2873.23797186084	323.15044969412
0.01	HEPTANE	dG (kJ/Mol)					301.114007093224	625.3450478884	323.149291640061
0.01	HEXANE	dG (kJ/Mol)					78.867931008844	126.834165877085	323.14897802793
0.01	DICHLOROMETHANE	dG (kJ/Mol)	5.29768878446316	5.86206762290294	5.74062594961758	6.3311854298497	9.70624235135445	15.568069745178	323.148110198974
0.01	ETHYL ACETATE	dG (kJ/Mol)	8.48713140633057	9.79601248717868	6.75625806162932	7.94186781535109	86.5491049128251	196.304411659498	323.148074824993
0.015	NONANE	dG (kJ/Mol)					4182.51938782066	10913.5753801979	323.148880973229
0.015	OCTANE	dG (kJ/Mol)					1039.47556945039	2511.53320478487	323.15044969412
0.015	HEPTANE	dG (kJ/Mol)					247.522874967665	543.029434360989	323.149291640061
0.015	HEXANE	dG (kJ/Mol)					68.9370457485243	114.522317130007	323.14897802793
0.015	DICHLOROMETHANE	dG (kJ/Mol)	4.42009846365487	5.65919276396819	4.84473128712792	6.12554415309074	7.28953500255183	13.5404384419243	323.148110198974
0.015	ETHYL ACETATE	dG (kJ/Mol)	8.09364441255031	9.56326898172669	6.43799608483029	7.73028023381072	74.5442321226221	166.950985861822	323.148074824993
0.02	NONANE	dG (kJ/Mol)					3182.5410135393	9159.91403433895	323.148880973229
0.02	OCTANE	dG (kJ/Mol)					828.435312426094	2218.69482174205	323.15044969412
0.02	HEPTANE	dG (kJ/Mol)					209.684406835884	480.785258750405	323.149291640061
0.02	HEXANE	dG (kJ/Mol)					65.4146239728907	107.358236567448	323.14897802793
0.02	DICHLOROMETHANE	dG (kJ/Mol)	4.61082164379076	5.69170636911304	5.01372777591844	6.15098228106417	8.92875765981883	14.032362325426	323.148110198974
0.02	ETHYL ACETATE	dG (kJ/Mol)	7.63046717217733	9.24108351118813	6.06243792111221	7.45104074593215	68.0629732137996	148.1026175038	323.148074824993
0.025	NONANE	dG (kJ/Mol)					2504.38406764531	7794.36258412526	323.148880973229
0.025	OCTANE	dG (kJ/Mol)					671.891588083107	1921.14658761225	323.15044969412
0.025	HEPTANE	dG (kJ/Mol)					182.704447167049	429.7620251323	323.149291640061
0.025	HEXANE	dG (kJ/Mol)					61.6137804275346	102.317911199176	323.14897802793
0.025	DICHLOROMETHANE	dG (kJ/Mol)	4.56870374065492	5.41741809838427	4.95130119713446	5.86533674639421	9.72071481935548	13.2354140711887	323.148110198974
0.025	ETHYL ACETATE	dG (kJ/Mol)	7.05320289057282	8.8898743100415	5.5575281504479	7.14471324602519	58.1935498337094	132.277016688904	323.148074824993
0.03	NONANE	dG (kJ/Mol)					2027.81235050527	7077.54816680594	323.148880973229
0.03	OCTANE	dG (kJ/Mol)					567.765010698619	1697.23112329147	323.15044969412
0.03	HEPTANE	dG (kJ/Mol)					164.184650850422	387.031496450533	323.149291640061
0.03	HEXANE	dG (kJ/Mol)					57.1415011410689	97.0240429674291	323.14897802793
0.03	DICHLOROMETHANE	dG (kJ/Mol)	4.4031381517577	5.58284493971115	4.77005858355609	6.02482995705562	9.71214563064238	13.6482025442301	323.148110198974
0.03	ETHYL ACETATE	dG (kJ/Mol)	6.91909024975426	8.77395446789033	5.47882740096478	7.04564803896581	56.9420673075653	121.581341088225	323.148074824993
0.035	NONANE	dG (kJ/Mol)					1716.28102519584	5923.02571033705	323.148880973229
0.035	OCTANE	dG (kJ/Mol)					496.503974022652	1518.8493443671	323.15044969412
0.035	HEPTANE	dG (kJ/Mol)					149.229948787154	355.445864600282	323.149291640061
0.035	HEXANE	dG (kJ/Mol)					54.2534185329056	91.8306058036836	323.14897802793
0.035	DICHLOROMETHANE	dG (kJ/Mol)	4.25334370843364	5.41907498826122	4.60839978311885	5.85082768237569	9.68425134872336	13.6821586149941	323.148110198974
