"injection_table_name","solventReservoir_ID","target_surface_coverage","stage_time","FIDGain","target_Temperature_Column_Oven","flow_Rate","target_column_rh"
"injection1",3,3877.15428519128,50,100,30,10,0
"injection2",3,6908.31641075474,40,10,30,10,0
"injection3",3,9438.378381989451,30,10,30,10,0
"injection4",3,10631.1292396805,20,1,30,10,0
"injection5",3,11834.9652523581,15,1,30,10,0
"injection6",3,13089.9999280307,15,1,30,10,0
"injection7",3,14431.3045131084,10,1,30,10,0
"injection8",3,15887.9075271691,10,1,30,10,0
"injection9",3,17482.0930136816,10,1,30,10,0
"injection10",3,19228.9875436003,10,1,30,10,0
"injection11",3,21136.4466589216,5,1,30,10,0
"injection12",3,23205.1920947465,5,1,30,10,0
"injection13",3,25429.2166436666,5,1,30,10,0
"injection14",3,27796.3940587041,5,1,30,10,0
"injection15",3,30289.2656066864,5,1,30,10,0
"injection16",3,32885.9780033401,5,1,30,10,0
