"masterScheduleID","table_type","injection_name","solvent","status","surface_coverage"
1,2,"colConditioning1","",0,0
2,1,"methaneInjection1","METHANE",0,0
3,1,"methaneInjection2","METHANE",0,0
4,3,"injection1","OCTANE",0,218.446846765879
5,3,"injection2","OCTANE",0,434.126287189666
6,3,"injection3","OCTANE",0,857.289106380258
7,3,"injection4","OCTANE",0,1671.62266895161
8,3,"injection5","OCTANE",0,2444.93088417094
9,3,"injection6","OCTANE",0,3179.34379425294
10,3,"injection7","OCTANE",0,3877.17129375148
11,3,"injection8","OCTANE",0,5478.21623200886
12,3,"injection9","OCTANE",0,6908.34360242933
13,3,"injection10","OCTANE",0,8212.853247146541
14,3,"injection11","OCTANE",0,9438.414429870811
15,3,"injection12","OCTANE",0,10631.1709333107
16,3,"injection13","OCTANE",0,11835.0141776851
17,3,"injection14","OCTANE",0,13090.0581041035
18,3,"injection15","OCTANE",0,14431.3742461927
19,3,"injection16","OCTANE",0,15887.9912520852
20,3,"injection17","OCTANE",0,17482.1931315394
21,3,"injection18","OCTANE",0,21136.5858584564
22,3,"injection19","OCTANE",0,25429.4004916884
23,3,"injection20","OCTANE",0,30289.4949948883
24,1,"methaneInjection3","METHANE",0,0
25,1,"methaneInjection4","METHANE",0,0
