"ID","sea_time","fid_signal"
1,0,141.263
2,0.001667,141.568
3,0.003333,141.568
4,0.005,141.837
5,0.006667,141.822
6,0.008333,141.598
7,0.01,141.598
8,0.011667,141.129
9,0.013333,141.121
10,0.015,141.121
11,0.016667,140.995
12,0.018333,141.166
13,0.02,141.293
14,0.021667,141.293
15,0.023333,141.025
16,0.025,141.062
17,0.026667,141.01
18,0.028333,141.01
19,0.029983,141.241
20,0.03165,141.561
21,0.033317,141.859
22,0.034983,141.859
23,0.03665,142.179
24,0.038317,142.366
25,0.039983,142.366
26,0.04165,142.291
27,0.043317,142.15
28,0.044983,142.06
29,0.04665,142.06
30,0.048317,141.71
31,0.049983,141.479
32,0.05165,141.427
33,0.053317,141.427
34,0.054983,141.121
35,0.05665,141.084
36,0.058317,141.107
37,0.06005,141.107
38,0.06165,141.166
39,0.063317,141.36
40,0.064983,141.576
41,0.06665,141.576
42,0.0683,141.792
43,0.069967,141.71
44,0.071633,141.71
45,0.0733,141.785
46,0.07496700000000001,141.852
47,0.07663300000000001,142.008
48,0.07829999999999999,142.008
49,0.079967,142.053
50,0.081633,142.075
51,0.0833,142.03
52,0.084967,142.03
53,0.086633,141.993
54,0.0883,141.881
55,0.08995,141.911
56,0.09163300000000001,141.911
57,0.093417,141.919
58,0.09495000000000001,141.717
59,0.09661699999999999,141.717
60,0.098283,142.075
61,0.09995,141.919
62,0.101617,141.889
63,0.103283,141.889
64,0.10495,142.291
65,0.106617,142.314
66,0.108283,142.537
67,0.10995,142.537
68,0.111617,142.641
69,0.113283,142.135
70,0.11495,141.926
71,0.11665,141.926
72,0.118283,141.881
73,0.11995,141.65
74,0.121617,141.799
75,0.123283,141.799
76,0.12495,141.889
77,0.126617,141.74
78,0.128283,141.74
79,0.12995,141.665
80,0.131617,141.561
81,0.133283,141.27
82,0.13495,141.27
83,0.136617,141.136
84,0.138283,141.159
85,0.13995,141.121
86,0.141617,141.121
87,0.143283,141.27
88,0.14495,141.606
89,0.146617,141.703
90,0.148283,141.703
91,0.149933,141.896
92,0.1516,142.06
93,0.153267,142.06
94,0.154933,141.777
95,0.1566,141.926
96,0.158267,141.904
97,0.159933,141.904
98,0.1616,141.963
99,0.163267,142.254
100,0.164933,142.157
101,0.1666,142.157
102,0.168267,142.194
103,0.169933,142.03
104,0.1716,141.74
105,0.173267,141.74
106,0.174933,141.449
107,0.1766,141.472
108,0.178317,141.665
109,0.179933,141.665
110,0.1816,141.658
111,0.183267,141.829
112,0.184933,141.829
113,0.1866,141.636
114,0.188267,141.39
115,0.189933,141.457
116,0.1916,141.457
117,0.193283,141.665
118,0.194933,141.829
119,0.1966,142.15
120,0.198267,142.15
121,0.199933,142.276
122,0.2016,142.366
123,0.203267,142.284
124,0.204933,142.284
125,0.2066,141.822
126,0.208267,141.516
127,0.209917,141.516
128,0.2117,141.174
129,0.21325,141.293
130,0.214917,141.345
131,0.216583,141.345
132,0.21825,141.531
133,0.219917,141.643
134,0.221583,141.494
135,0.22325,141.494
136,0.224917,141.688
137,0.226583,141.531
138,0.22825,141.539
139,0.229917,141.539
140,0.231583,141.561
141,0.23325,141.412
142,0.234917,141.412
143,0.236583,141.546
144,0.23825,141.345
145,0.239917,141.352
146,0.241583,141.352
147,0.24325,141.397
148,0.244917,141.375
149,0.246583,141.36
150,0.24825,141.36
151,0.249917,141.159
152,0.251583,141.062
153,0.25325,141.121
154,0.254917,141.121
155,0.256583,141.129
156,0.25825,141.129
157,0.259917,141.27
158,0.261583,141.27
159,0.26325,141.397
160,0.264917,141.233
161,0.266583,141.233
162,0.268233,141.591
163,0.2699,141.695
164,0.271567,141.606
