"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,22.28955,120,119.0426,32,32.01511,32,32.04029,180,179.9519,52.56242,55.48336,228.6382,29.3798,0,0,10,9.96,10,9.97,0,0,0,0,0,0,0,0
2,23.63436,120,119.9993,32,32.00169,32,31.99734,180,180.026,53.49565,57.70347,227.9671,28.69845,0,0,10,10,10,10,0,0,0,0,0,0,0,0
3,19.85744,50,49.02096,32,31.79892,32,31.91844,180,180.0149,52.20573,53.69154,220.2201,28.96698,0,0,10,10.02,10,9.995,0,0,0,0,0,0,0,0
4,23.4913,50,50.01294,32,31.8207,32,31.89163,180,180.3746,52.52784,54.00145,223.4548,28.94887,0,0,10,9.995,10,9.985,0,0,0,0,0,0,0,0
5,20.51554,50,50.01177,32,31.82098,32,31.89051,180,180.3835,52.53205,54.00227,223.124,28.93357,0,0,10,9.995,10,10,0,0,0,0,0,0,0,0
6,23.7202,50,50.01775,32,31.89852,32,31.92459,180,180.2301,52.74456,54.35219,225.0331,28.50718,0,0,10,9.985,10,9.985,0,0,0,0,0,0,0,0
7,18.59847,50,49.97268,32,31.98433,32,31.98991,180,180.0546,52.64748,55.36837,228.2664,28.00232,2,2.035,10,10.015,10,10.02,0,0,0,0,0,0,0,0
8,24.12079,50,49.99956,32,31.99905,32,31.99749,180,180.0043,52.34972,55.31615,228.4216,27.67654,2,1.955,10,9.955,10,9.955,0,0,0,0,0,0,0,0
9,19.80022,50,49.99856,32,32.00568,32,31.99892,180,179.9762,52.3366,55.29286,228.4485,27.66843,2,2.005,10,10.005,10,10,0,0,0,0,0,0,0,0
10,23.83465,50,49.99913,32,31.99918,32,31.99684,180,179.96,52.23568,55.13228,228.4937,27.55243,2,1.975,10,9.995,10,10.035,0,0,0,0,0,0,0,0
11,19.57131,50,49.99411,32,31.99872,32,31.99633,180,179.9598,52.2319,55.14744,228.5169,27.55697,2,2.015,10,10.03,10,10.005,0,0,0,0,0,0,0,0
12,23.97772,50,49.99778,32,31.99719,32,31.99807,180,180.0246,52.20084,55.08771,228.6194,27.52162,2,2.025,10,10.01,10,10.005,0,0,0,0,0,0,0,0
13,19.68577,50,50.00372,32,31.99825,32,31.99928,180,180.0317,52.19708,55.0696,228.5368,27.52368,2,1.96,10,10.02,10,10.02,0,0,0,0,0,0,0,0
14,24.00633,50,50.00732,32,31.99779,32,31.99935,180,180.0027,52.17624,55.07169,228.5105,27.50564,2,2,10,10.005,10,10,0,0,0,0,0,0,0,0
15,19.71438,50,50.00134,32,32.00048,32,31.99865,180,180.0006,52.16886,55.04592,228.1517,27.51116,2,2,10,9.99,10,10,0,0,0,0,0,0,0,0
16,23.86327,50,49.99831,32,31.99942,32,31.99521,180,179.9079,52.17341,55.03201,228.4258,27.48564,2,1.995,10,9.99,10,9.99,0,0,0,0,0,0,0,0
17,19.65715,50,50.00245,32,32.00016,32,31.99684,180,179.9138,52.16249,55.03332,228.0844,27.48143,2,1.985,10,9.98,10,9.99,0,0,0,0,0,0,0,0
18,23.89188,50,50.00387,32,31.99779,32,31.99912,180,180.0216,52.13969,55.01486,228.5751,27.51958,2,2,10,9.97,10,9.97,0,0,0,0,0,0,0,0
19,19.5427,50,50.00404,32,31.99988,32,32.0026,180,180.0675,52.1343,54.9883,228.6608,27.50278,2,1.995,10,10.01,10,10,0,0,0,0,0,0,0,0
20,23.77743,50,50.00355,32,31.99825,32,32.00001,180,180.0561,52.15403,55.02375,228.5336,27.42576,2,1.985,10,9.995,10,9.985,0,0,0,0,0,0,0,0
21,19.28518,50,49.99582,32,32.00127,32,31.99993,180,180.0371,52.13303,55.00148,228.6377,27.4536,2,1.945,10,9.985,10,10,0,0,0,0,0,0,0,0
22,23.69159,50,50.00251,32,31.9997,32,32.00086,180,179.9777,52.13969,55.01223,228.6229,27.44647,2,1.995,10,10.01,10,10.01,0,0,0,0,0,0,0,0
23,19.82883,50,50.00102,32,31.99979,32,31.99986,180,179.9749,52.14212,55.0072,228.2272,27.4307,2,1.95,10,10.005,10,10.04,0,0,0,0,0,0,0,0
24,23.7202,50,50.00002,32,31.99872,32,32.00074,180,179.8659,52.12115,55.01732,228.5677,27.45658,2,1.995,10,10,10,9.995,0,0,0,0,0,0,0,0
25,19.71438,50,50.00127,32,31.99802,32,32.00071,180,179.8621,52.1184,55.02001,228.1797,27.49262,2,2.01,10,10.01,10,10.005,0,0,0,0,0,0,0,0
26,23.46268,50,49.99992,32,31.99779,32,31.998,180,179.9906,52.10772,54.94339,228.5943,27.38476,2,1.96,10,10,10,10.015,0,0,0,0,0,0,0,0
27,20.28664,50,50.00191,32,31.99607,32,31.99807,180,179.9878,52.11978,54.97573,228.2137,27.37621,2,2.005,10,10,10,9.995,0,0,0,0,0,0,0,0
28,23.66298,50,50.00052,32,31.9984,32,31.99672,180,180.0714,52.11247,54.95998,228.6585,27.40952,2,1.975,10,10.01,10,10.015,0,0,0,0,0,0,0,0
29,20.40109,50,49.99813,32,31.99983,32,31.99765,180,180.0776,52.11023,54.94137,228.2776,27.43482,2,1.995,10,10.01,10,10.025,0,0,0,0,0,0,0,0
30,23.54853,50,49.99835,32,32.0009,32,32.00055,180,180.0184,52.0789,54.93235,228.7111,27.45961,2,1.96,10,9.98,10,10.01,0,0,0,0,0,0,0,0
31,19.17073,50,50.00066,32,31.99533,32,31.99993,180,179.9884,51.97561,54.84781,228.8813,27.32936,2,1.995,10,10.01,10,10.015,0,0,0,0,0,0,0,0
32,23.74882,50,49.99547,32,32.00007,32,31.99904,180,179.9993,52.02842,54.87506,228.6436,27.44749,2,2.005,10,10,10,9.995,0,0,0,0,0,0,0,0
33,19.48547,50,49.99984,32,32.00155,32,31.99943,180,179.9967,52.03166,54.89262,228.6164,27.35968,2,2,10,10,10,9.995,0,0,0,0,0,0,0,0
34,23.74882,50,50.00127,32,32.00053,32,31.99939,180,179.9839,52.04555,54.92705,228.6459,27.40862,2,2.005,10,10,10,10,0,0,0,0,0,0,0,0
35,19.34241,50,50.00454,32,31.9983,32,31.99993,180,179.9848,52.0462,54.913,228.625,27.30878,2,2.01,10,10.005,10,10.01,0,0,0,0,0,0,0,0
36,23.60575,50,49.99714,32,32.00202,32,32.00171,180,180.0289,51.99558,54.9016,228.6514,27.23783,2,2.035,10,10.02,10,9.995,0,0,0,0,0,0,0,0
37,19.65715,50,50.00486,32,32.00169,32,32.00009,180,180.0398,52.00943,54.9065,228.667,27.3611,2,1.99,10,9.975,10,9.97,0,0,0,0,0,0,0,0
38,23.60575,50,50.00087,32,32.00053,32,31.9992,180,180.046,52.05177,54.91432,228.7304,27.29914,2,2,10,9.995,10,9.995,0,0,0,0,0,0,0,0
39,19.88606,50,49.99853,32,32.001,32,31.99854,180,180.0474,52.03539,54.90014,228.3295,27.28093,2,1.985,10,9.97,10,9.995,0,0,0,0,0,0,0,0
40,23.77743,50,50.00273,32,31.99905,32,31.99854,180,179.9926,52.02367,54.9277,228.6078,27.25484,2,2,10,10.02,10,10.015,0,0,0,0,0,0,0,0
41,19.62854,50,50.00013,32,31.9977,32,32.00043,180,179.988,52.03709,54.92676,228.7078,27.27734,2,2.005,10,10.025,10,10,0,0,0,0,0,0,0,0
42,23.80604,50,50.00273,32,31.9984,32,31.99757,180,180.019,52.03401,54.92413,228.6714,27.28236,2,2.01,10,10,10,10,0,0,0,0,0,0,0,0
43,19.94328,50,49.99938,32,31.99793,32,31.99498,180,180.0172,52.02528,54.92076,228.3192,27.28823,2,2.04,10,10.05,10,10.025,0,0,0,0,0,0,0,0
44,23.7202,50,50.00404,32,31.99905,32,32.00129,180,180.0143,52.03178,54.93549,228.6757,27.27406,2,2,10,10,10,9.995,0,0,0,0,0,0,0,0
45,20.14357,50,50.00116,32,31.99932,32,32.00009,180,180.013,52.0194,54.90956,228.3125,27.2819,2,1.97,10,10.005,10,10.01,0,0,0,0,0,0,0,0
46,23.94911,50,50.00294,32,32.00058,32,31.998,180,179.9997,52.05543,54.94333,228.6794,27.32108,2,2.025,10,10.03,10,10.005,0,0,0,0,0,0,0,0
47,20.28664,50,49.99967,32,32.00081,32,31.99955,180,180.0003,52.04436,54.91195,228.3365,27.30009,2,2.005,10,10,10,9.99,0,0,0,0,0,0,0,0
48,23.94911,50,49.99874,32,31.99807,32,32.0009,180,179.9839,52.03394,54.94145,228.6908,27.26597,2,2.005,10,9.995,10,9.99,0,0,0,0,0,0,0,0
49,20.2008,50,50.0008,32,31.99923,32,32.00175,180,179.9834,52.03455,54.95002,228.3409,27.29668,2,2.025,10,10.025,10,10.005,0,0,0,0,0,0,0,0
50,23.86327,50,49.99657,32,31.99997,32,32.00032,180,179.9432,52.01321,54.94979,228.7085,27.34626,2,1.985,10,10.015,10,10.015,0,0,0,0,0,0,0,0
51,20.17219,50,49.99846,32,31.99733,32,32.00229,180,179.9401,52.02153,54.95506,228.3585,27.33316,2,2.005,10,10,10,10,0,0,0,0,0,0,0,0
