"injection_table_name","solventReservoir_ID","target_surface_coverage","stage_time","FIDGain","target_Temperature_Column_Oven","flow_Rate","target_column_rh"
"injection1",4,1010.34663512719,40,500,50,10,0
"injection2",4,1494.47951800624,35,100,50,10,0
"injection3",4,1965.44478480812,30,100,50,10,0
"injection4",4,3730.47649797696,20,100,50,10,0
"injection5",4,5335.92235390549,15,10,50,10,0
"injection6",4,6821.68138577654,10,10,50,10,0
"injection7",4,8226.18307957272,10,10,50,10,0
"injection8",4,9585.87530406628,10,10,50,10,0
"injection9",4,10934.7526702028,10,1,50,10,0
"injection10",4,12303.9196917523,5,1,50,10,0
"injection11",4,13721.2084962963,5,1,50,10,0
"injection12",4,15210.8359604113,5,1,50,10,0
"injection13",3,395.623239630074,30,500,50,10,0
"injection14",3,590.0121429633371,20,100,50,10,0
"injection15",3,782.146194344503,15,100,50,10,0
"injection16",3,1528.56228175281,10,100,50,10,0
"injection17",3,2240.68298925178,10,10,50,10,0
"injection18",3,2920.08270475922,10,10,50,10,0
"injection19",3,3568.46308558584,5,10,50,10,0
"injection20",3,4187.63970980265,5,10,50,10,0
"injection21",3,4779.53042381038,5,1,50,10,0
"injection22",3,5346.14056814838,5,1,50,10,0
"injection23",3,5889.55183851558,5,1,50,10,0
"injection24",3,6411.9067016834,5,1,50,10,0
"injection25",2,170.022427639519,15,100,50,10,0
"injection26",2,254.138287757603,15,100,50,10,0
"injection27",2,337.662794089638,10,100,50,10,0
"injection28",2,665.9302160273199,10,10,50,10,0
"injection29",2,985.066808838568,8,10,50,10,0
"injection30",2,1295.33514495075,8,10,50,10,0
"injection31",2,1596.99581548067,5,10,50,10,0
"injection32",2,1890.30708867161,5,10,50,10,0
"injection33",2,2175.52545333967,5,1,50,10,0
"injection34",2,2452.90474151059,5,1,50,10,0
"injection35",2,2722.69701819653,5,1,50,10,0
"injection36",2,2985.15129691019,5,1,50,10,0
"injection37",1,65.4548469319239,2,10,50,10,0
"injection38",1,97.81505499745479,2,10,50,10,0
"injection39",1,129.93339499171,2,10,50,10,0
"injection40",1,256.031648215672,2,10,50,10,0
"injection41",1,378.432648013275,2,10,50,10,0
"injection42",1,497.270773717851,2,10,50,10,0
"injection43",1,612.676975678821,1,1,50,10,0
"injection44",1,724.778727491316,1,1,50,10,0
"injection45",1,833.700315311712,1,1,50,10,0
"injection46",1,939.562582814955,1,1,50,10,0
"injection47",1,1042.48334995897,1,1,50,10,0
"injection48",1,1142.57700050277,1,1,50,10,0
"injection49",8,50.8044792979776,2,10,50,10,0
"injection50",8,74.4524608084914,2,10,50,10,0
"injection51",8,98.911339002349,2,10,50,10,0
"injection52",8,195.003540864847,1,10,50,10,0
"injection53",8,288.390883474575,1,10,50,10,0
"injection54",8,379.179091066708,1,10,50,10,0
"injection55",8,467.466054053068,1,1,50,10,0
"injection56",8,553.342406424665,1,1,50,10,0
"injection57",8,636.892318924061,1,1,50,10,0
"injection58",8,718.1938351038179,1,1,50,10,0
"injection59",8,797.319685960994,1,1,50,10,0
"injection60",8,874.3374302805,1,1,50,10,0
"injection61",9,154.551732859407,2,10,50,10,0
"injection62",9,230.971377503577,2,10,50,10,0
"injection63",9,306.825077440397,2,10,50,10,0
"injection64",9,604.653380315766,2,10,50,10,0
"injection65",9,893.718050509648,1,10,50,10,0
"injection66",9,1174.25149884903,1,1,50,10,0
"injection67",9,1446.48536091407,1,1,50,10,0
"injection68",9,1710.65015473167,1,1,50,10,0
"injection69",9,1966.97573633321,1,1,50,10,0
"injection70",9,2215.69047579103,1,1,50,10,0
"injection71",9,2457.02202239938,1,1,50,10,0
"injection72",9,2691.19612019509,1,1,50,10,0
