"masterScheduleID","table_type","injection_name","solvent","status","surface_coverage"
1,2,"colConditioning1","",0,0
2,1,"methaneInjection1","METHANE",0,0
3,1,"methaneInjection2","METHANE",0,0
4,3,"injection1","NONANE",0,1010.34663512719
5,3,"injection2","NONANE",0,1494.47951800624
6,3,"injection3","NONANE",0,1965.44478480812
7,3,"injection4","NONANE",0,3730.47649797696
8,3,"injection5","NONANE",0,5335.92235390549
9,3,"injection6","NONANE",0,6821.68138577654
10,3,"injection7","NONANE",0,8226.18307957272
11,3,"injection8","NONANE",0,9585.87530406628
12,3,"injection9","NONANE",0,10934.7526702028
13,3,"injection10","NONANE",0,12303.9196917523
14,3,"injection11","NONANE",0,13721.2084962963
15,3,"injection12","NONANE",0,15210.8359604113
16,3,"injection13","OCTANE",0,395.623239630074
17,3,"injection14","OCTANE",0,590.0121429633371
18,3,"injection15","OCTANE",0,782.146194344503
19,3,"injection16","OCTANE",0,1528.56228175281
20,3,"injection17","OCTANE",0,2240.68298925178
21,3,"injection18","OCTANE",0,2920.08270475922
22,3,"injection19","OCTANE",0,3568.46308558584
23,3,"injection20","OCTANE",0,4187.63970980265
24,3,"injection21","OCTANE",0,4779.53042381038
25,3,"injection22","OCTANE",0,5346.14056814838
26,3,"injection23","OCTANE",0,5889.55183851558
27,3,"injection24","OCTANE",0,6411.9067016834
28,3,"injection25","HEPTANE",0,170.022427639519
29,3,"injection26","HEPTANE",0,254.138287757603
30,3,"injection27","HEPTANE",0,337.662794089638
31,3,"injection28","HEPTANE",0,665.9302160273199
32,3,"injection29","HEPTANE",0,985.066808838568
33,3,"injection30","HEPTANE",0,1295.33514495075
34,3,"injection31","HEPTANE",0,1596.99581548067
35,3,"injection32","HEPTANE",0,1890.30708867161
36,3,"injection33","HEPTANE",0,2175.52545333967
37,3,"injection34","HEPTANE",0,2452.90474151059
38,3,"injection35","HEPTANE",0,2722.69701819653
39,3,"injection36","HEPTANE",0,2985.15129691019
40,3,"injection37","HEXANE",0,65.4548469319239
41,3,"injection38","HEXANE",0,97.81505499745479
42,3,"injection39","HEXANE",0,129.93339499171
43,3,"injection40","HEXANE",0,256.031648215672
44,3,"injection41","HEXANE",0,378.432648013275
45,3,"injection42","HEXANE",0,497.270773717851
46,3,"injection43","HEXANE",0,612.676975678821
47,3,"injection44","HEXANE",0,724.778727491316
48,3,"injection45","HEXANE",0,833.700315311712
49,3,"injection46","HEXANE",0,939.562582814955
50,3,"injection47","HEXANE",0,1042.48334995897
51,3,"injection48","HEXANE",0,1142.57700050277
52,3,"injection49","DICHLOROMETHANE",0,50.8044792979776
53,3,"injection50","DICHLOROMETHANE",0,74.4524608084914
54,3,"injection51","DICHLOROMETHANE",0,98.911339002349
55,3,"injection52","DICHLOROMETHANE",0,195.003540864847
56,3,"injection53","DICHLOROMETHANE",0,288.390883474575
57,3,"injection54","DICHLOROMETHANE",0,379.179091066708
58,3,"injection55","DICHLOROMETHANE",0,467.466054053068
59,3,"injection56","DICHLOROMETHANE",0,553.342406424665
60,3,"injection57","DICHLOROMETHANE",0,636.892318924061
61,3,"injection58","DICHLOROMETHANE",0,718.1938351038179
62,3,"injection59","DICHLOROMETHANE",0,797.319685960994
63,3,"injection60","DICHLOROMETHANE",0,874.3374302805
64,3,"injection61","ETHYL ACETATE",0,154.551732859407
65,3,"injection62","ETHYL ACETATE",0,230.971377503577
66,3,"injection63","ETHYL ACETATE",0,306.825077440397
67,3,"injection64","ETHYL ACETATE",0,604.653380315766
68,3,"injection65","ETHYL ACETATE",0,893.718050509648
69,3,"injection66","ETHYL ACETATE",0,1174.25149884903
70,3,"injection67","ETHYL ACETATE",0,1446.48536091407
71,3,"injection68","ETHYL ACETATE",0,1710.65015473167
72,3,"injection69","ETHYL ACETATE",0,1966.97573633321
73,3,"injection70","ETHYL ACETATE",0,2215.69047579103
74,3,"injection71","ETHYL ACETATE",0,2457.02202239938
75,3,"injection72","ETHYL ACETATE",0,2691.19612019509
76,1,"methaneInjection3","METHANE",0,0
77,1,"methaneInjection4","METHANE",0,0
