n/nm	Disp. Surf. En. (mJ/m^2) - Stz & Max	Disp. Surf. En. (mJ/m^2) - Stz & Com	Disp. Surf. En. (mJ/m^2) - DnG & Max	Disp. Surf. En. (mJ/m^2) - DnG & Com
0.005	28.0780906965674	87.5096551756248	27.2081709171271	89.9054528662162
0.0075	80.8090405307677	97.1647303890639	84.3238965965695	101.152729058524
0.01	86.7459895366605	96.9335189138383	90.3857487211273	101.026063312114
0.02	66.4221041057187	89.5030375382502	69.2854037323265	93.3181785828581
0.03	41.2644503442205	72.3969272532795	43.1394839883098	75.6537646481699
0.04	32.8396612079752	57.2693505055101	34.320434838902	60.0230051065925
0.05	31.0674408416851	53.2227871181842	32.4255846567605	55.6409803443855
0.06	31.9835278417008	51.6362373872079	33.351663236421	53.9608525095193
0.07	33.570164700435	37.9926943388492	34.9890911712674	39.8819147609636
0.08	35.7130333139169	36.6838973486506	37.1985968354838	38.51202208658
0.09	39.53877636381	36.5233199570252	41.1531602020496	38.3137192537187
0.1	41.2035893798882	36.5738288923398	42.8961424763774	38.351415240401

