id,injection-name,solvent-name,injection-time,duration,target-surface-coverage,actual-surface-coverage,col-temp,pressure-drop,exit-flow-rate,peak-area,peak-max-signal,peak-max-time,peak-com,peak-com-over-max,ret-vol-max,ret-vol-com,net-ret-time-max,net-ret-vol-max,net-ret-time-com,net-ret-vol-com,partial-pressure,pres-res-vol-max,pres-res-vol-com,amount-mmol-g,amount-mmol,amount-mmol-g-max,amount-mmol-g-com,saturationPressure,bet-value,bet-ordinate
4,injection1,OCTANE,5018,40,0.1,0.0855843757207392,303.03481426239,20.6729154586792,9.98000001907349,3675.28421769623,5079.76843527146,0.718083,3.93597396091521,5.48122426086567,653.615493870879,3582.61310228276,0.265316333333334,241.496966567483,3.47786440290244,3165.6313536444,0.287378552420533,0.0127786563682762,0.167507343184615,0.0101511558543394,1.21813870252073E-4,0.00367231176899464,0.0481380178042041,18.36515727342742,4.328822140358704,0.015648031113588205
5,injection2,OCTANE,8710,30,0.2,0.155400227353294,303.147755050659,21.9605054855347,9.98000001907349,6793.57936189277,30123.5408845445,0.67975,1.62854416986673,2.39579870521035,618.432976968317,1481.64092548007,0.226983333333333,206.508243553549,1.17043461185397,1064.85525760295,1.67404025377477,0.0109231795776088,0.0563251374511921,0.0184320083470655,2.21184100164786E-4,0.0188190665462796,0.126241928731286,18.478366820008105,5.2935461783849895,0.09059460016575403
6,injection3,OCTANE,11958,20,0.3,0.218775142604407,303.149515533447,21.6600656509399,9.98249959945679,9713.25695043619,55656.2264272105,0.71975,1.10972123528213,1.54181484582442,655.12140939454,1010.07591482192,0.266983333333334,243.010069632769,0.651611677269363,593.101438542056,3.04470328759322,0.012853855947451,0.0313717059740208,0.0259489018986265,3.11386822783518E-4,0.036437371735478,0.169241966417697,18.480136157453444,5.413512196052166,0.16475545751675777
7,injection4,OCTANE,13681,20,0.35,0.270706526256212,303.148555183411,21.0162696838379,9.99749994277954,12164.2720579861,72639.8095085025,0.748083,0.966781834667114,1.29234568178546,682.21880660759,881.662528752151,0.295316333333334,269.315512447678,0.508672276654351,463.886752584268,3.92042644358532,0.0142453099707685,0.0245370588639224,0.0321084790964681,3.85301749157617E-4,0.0489123195411651,0.190729637044775,18.479170959390295,5.5054284954509525,0.212153805611779
8,injection5,OCTANE,15586,10,0.4,0.312169341968716,303.149195098877,20.6299953460693,10.0025000572205,14155.4953751854,82887.295965131,0.7764,0.888173334061463,1.14396359358767,708.577470764183,810.586829790653,0.323633333333333,295.362298799994,0.4300637760487,392.495495491862,4.43079858536366,0.0156230087907112,0.0207608100332947,0.0370263803011314,4.44316563613577E-4,0.0568858679987023,0.201325376126521,18.479814100525424,5.544108577776586,0.23976424011958444
9,injection6,OCTANE,17734,10,0.45,0.366604760855673,303.148075485229,21.1164197921753,9.9850001335144,16810.1631659452,92498.2447377725,0.806383,0.826912520137694,1.02545877100298,734.417074574848,753.114430697126,0.353616333333333,322.057723251298,0.36880296212493,335.889016185026,4.89834094518452,0.0170351099132822,0.0177667104257314,0.0434829609148736,5.21795530978483E-4,0.0648505034873658,0.209632065845221,18.47868885558415,5.561920311606515,0.265080546756664
10,injection7,OCTANE,20162,10,0.5,0.404681938834871,303.149939918518,20.98766040802,10,18690.1725536615,97173.8757625841,0.824733,0.821449352244072,0.996018532354194,752.325846753404,749.330485735452,0.371966333333334,339.3096756026,0.363339794231308,331.440500567185,5.10137745204405,0.0179475344075565,0.0175313002124768,0.0479992919029209,5.75991502835051E-4,0.0684945081802174,0.213191559801068,18.48056269849648,5.566754126184004,0.27604015826093226
11,injection8,OCTANE,22885,10,0.55,0.441827084618214,303.147630119324,21.2880945205688,9.99499988555908,20538.820265184,100913.904736863,0.838067,0.821604085389182,0.980356087746185,763.950832746525,748.943849621824,0.385300333333334,351.22551121511,0.363494527376419,331.348146255633,5.26601971422107,0.0185779552733436,0.0175265487399984,0.0524050746279037,6.28860895534844E-4,0.0715532247630443,0.216077170433778,18.47824126575862,5.570285070923068,0.28498489864288906
12,injection9,OCTANE,25892,10,0.6,0.477715701772496,303.148874664307,21.2165651321411,10.0050001144409,22335.4510991234,104117.364704717,0.851383,0.821772759745326,0.965221010691224,776.905271774958,749.885291633964,0.398616333333334,363.745964838704,0.363663201732563,331.850481600628,5.39657577599166,0.019240141467587,0.0175530475366626,0.0566618205942303,6.79941847130763E-4,0.0740651418609613,0.218368827192236,18.47949204834869,5.56929033112958,0.2920305256157673
13,injection10,OCTANE,29153,10,0.65,0.515104297631165,303.147910499573,21.0162696838379,10.0100002288818,24214.5997362005,107503.46936176,0.86305,0.819990784096019,0.950108086548889,788.046078330108,748.728951594575,0.410283333333334,374.627393357903,0.361881226083255,330.431702724292,5.53915724074955,0.0198157716300097,0.0174780576022757,0.061096478912878,7.33157746954536E-4,0.0768905036052761,0.220860874246292,18.478523045007297,5.567471435026711,0.2997619034409881
14,injection11,OCTANE,32622,5,0.7,0.553156298237892,303.150745773315,20.8445901870728,9.98000001907349,26130.949071575,110668.033946617,0.873033,0.812816426033397,0.931026004782634,794.869165118149,740.043863124858,0.420266333333333,382.639315471388,0.354706868020633,322.949478479318,5.69143464213691,0.0202393698690156,0.0170821284684149,0.0656098236148212,7.87317883377854E-4,0.0799725022546473,0.223462096379627,18.481372670156304,5.564326790094845,0.30795519054314785
15,injection12,OCTANE,39936,5,0.8,0.646355180136346,303.148540878296,21.259485244751,9.9850001335144,30815.2069998111,116923.90297371,0.901367,0.807370597397459,0.895717945517707,820.848565348358,735.248790534988,0.448600333333334,408.527203715536,0.349261039384695,318.061814012498,5.95523351419042,0.0216088441031319,0.0168237221209414,0.0766641354285617,9.1996962514274E-4,0.0856728909554337,0.227900175298873,18.47915658238294,5.550281142607281,0.32226760391585335
16,injection13,OCTANE,47286,5,0.9,0.733011360272405,303.146669769287,21.1450300216675,10.0025000572205,35117.5492290948,121843.748394426,0.923017,0.811346743083524,0.879016034464722,842.095681591868,740.215606672751,0.470250333333333,429.023273641912,0.35323718507076,322.268721080711,6.16479467407393,0.0226931136380939,0.0170463496010518,0.086942417917566,0.00104330901501079,0.0904284861708008,0.231472428093049,18.47727615147629,5.536913843357633,0.33364196235067783
