"ID","sea_time","fid_signal"
1,0,1231.357
2,0.001667,1231.059
3,0.003333,1234.338
4,0.005,1234.338
5,0.006717,1233.071
6,0.008333,1226.515
7,0.01,1218.692
8,0.011667,1218.692
9,0.01335,1210.943
10,0.015,1210.272
11,0.016667,1210.198
12,0.018333,1210.198
13,0.02,1219.213
14,0.021667,1221.448
15,0.02345,1223.758
16,0.025,1223.758
17,0.026667,1226.664
18,0.028333,1222.193
19,0.03,1226.366
20,0.031667,1226.366
21,0.033333,1226.068
22,0.034983,1227.781
23,0.03665,1227.781
24,0.038317,1228.377
25,0.039983,1226.142
26,0.04165,1227.856
27,0.043317,1227.856
28,0.044983,1226.589
29,0.04665,1228.75
30,0.048317,1231.283
31,0.049983,1231.283
32,0.05165,1230.761
33,0.053317,1231.804
34,0.054983,1234.114
35,0.056633,1234.114
36,0.0583,1231.804
37,0.059967,1230.091
38,0.061633,1230.091
39,0.0633,1230.463
40,0.064967,1225.695
41,0.066633,1229.569
42,0.0683,1229.569
43,0.069967,1231.432
44,0.071633,1234.04
45,0.0733,1236.2
46,0.07498299999999999,1236.2
47,0.07663300000000001,1233.816
48,0.07829999999999999,1234.263
49,0.079967,1231.059
50,0.08165,1231.059
51,0.0833,1229.495
52,0.084967,1231.506
53,0.086633,1233.444
54,0.0883,1233.444
55,0.08996700000000001,1234.71
56,0.09163300000000001,1237.765
57,0.09329999999999999,1237.765
58,0.094967,1237.094
59,0.096633,1234.412
60,0.0983,1235.828
61,0.099967,1235.828
62,0.101633,1235.232
63,0.1033,1236.275
64,0.104967,1236.573
65,0.106633,1236.573
66,0.108367,1233.891
67,0.109967,1232.326
68,0.111633,1231.357
69,0.1133,1231.357
70,0.11495,1228.601
71,0.116617,1232.103
72,0.118283,1232.103
73,0.11995,1233.667
74,0.121617,1231.059
75,0.123283,1231.879
76,0.12495,1231.879
77,0.126617,1228.228
78,0.128283,1227.707
79,0.12995,1227.93
80,0.131617,1227.93
81,0.133283,1228.601
82,0.13495,1228.824
83,0.136617,1227.334
84,0.138283,1227.334
85,0.13995,1229.942
86,0.141733,1230.24
87,0.143283,1230.24
88,0.14495,1230.24
89,0.146617,1229.197
90,0.148283,1230.24
91,0.14995,1230.24
92,0.151617,1232.251
93,0.153283,1235.306
94,0.15495,1237.392
95,0.156617,1237.392
96,0.1583,1235.753
97,0.15995,1234.04
98,0.161617,1233.742
99,0.163283,1233.742
100,0.16495,1234.71
101,0.166617,1232.55
102,0.168283,1233.146
103,0.16995,1233.146
104,0.171617,1230.314
105,0.173283,1230.538
106,0.17495,1230.538
107,0.1766,1229.793
108,0.178267,1226.217
109,0.179933,1225.323
110,0.1816,1225.323
111,0.183267,1221.895
112,0.184933,1221.299
113,0.1866,1221.076
114,0.188267,1221.076
115,0.189933,1223.534
116,0.1916,1228.75
117,0.193267,1230.836
118,0.194933,1230.836
119,0.1966,1234.636
120,0.198267,1234.934
121,0.199933,1234.934
122,0.2016,1229.718
123,0.203267,1227.707
124,0.204933,1227.334
125,0.2066,1227.334
126,0.208267,1228.303
127,0.209933,1231.134
128,0.2116,1232.699
129,0.213267,1232.699
130,0.214933,1232.624
131,0.2166,1229.122
132,0.218267,1226.962
133,0.219933,1226.962
134,0.2216,1224.95
135,0.223267,1224.577
136,0.224933,1225.993
137,0.226667,1225.993
138,0.228317,1228.526
139,0.229933,1232.773
140,0.2316,1232.773
141,0.233267,1233.295
142,0.234933,1235.753
143,0.236583,1238.286
144,0.23825,1238.286
145,0.239917,1236.424
146,0.241583,1233.816
147,0.24335,1234.71
148,0.244917,1234.71
149,0.246583,1235.232
150,0.24825,1238.212
151,0.249917,1242.831
152,0.251583,1242.831
153,0.25325,1238.808
154,0.254917,1234.263
155,0.256583,1234.263
156,0.25825,1231.357
157,0.260017,1227.856
158,0.261583,1227.483
159,0.263267,1227.483
160,0.264917,1225.919
161,0.266583,1227.26
162,0.26825,1227.036
163,0.269917,1227.036
164,0.271583,1224.726
165,0.27325,1228.452
166,0.274917,1228.675
167,0.276583,1228.675
168,0.27825,1230.538
169,0.279917,1232.773
170,0.281583,1232.251
171,0.28325,1232.251
172,0.284917,1230.314
173,0.286583,1227.707
174,0.28825,1227.707
175,0.289917,1229.122
176,0.291583,1225.695
177,0.29325,1222.491
178,0.294917,1222.491
179,0.296567,1223.162
180,0.298233,1220.852
181,0.2999,1224.577
182,0.301567,1224.577
183,0.30325,1224.577
184,0.304967,1223.46
185,0.306567,1223.236
186,0.308233,1223.236
187,0.3099,1220.256
188,0.311567,1222.491
189,0.313233,1222.491
190,0.3149,1222.342
191,0.316567,1225.248
192,0.318233,1227.558
193,0.3199,1227.558
194,0.321567,1231.357
195,0.323233,1234.263
196,0.3249,1234.561
197,0.32655,1234.561
198,0.328217,1237.541
199,0.329883,1229.197
200,0.33155,1225.471
201,0.333217,1225.471
202,0.334883,1228.824
203,0.33655,1227.558
204,0.338217,1227.558
205,0.339883,1231.879
206,0.34155,1236.573
207,0.343217,1233.742
208,0.344917,1233.742
209,0.34655,1228.452
210,0.348217,1232.922
211,0.349883,1231.283
212,0.35155,1231.283
213,0.353217,1228.973
214,0.354867,1231.804
215,0.356533,1233.593
216,0.3582,1233.593
217,0.359867,1235.977
218,0.361533,1240.671
219,0.3632,1243.129
220,0.364867,1243.129
221,0.366533,1242.459
222,0.3682,1243.204
223,0.369867,1243.204
224,0.371533,1245.439
225,0.3732,1252.294
226,0.374867,1259.893
227,0.376533,1259.893
228,0.378333,1270.25
229,0.379867,1276.583
230,0.381533,1280.084
231,0.3832,1280.084
232,0.384867,1283.958
233,0.386533,1285.598
234,0.3882,1291.26
235,0.389867,1291.26
236,0.391533,1301.691
237,0.3932,1309.141
238,0.394867,1309.141
239,0.396533,1318.827
240,0.3982,1328.811
241,0.399867,1333.803
242,0.401533,1333.803
243,0.4032,1346.767
244,0.404867,1360.625
245,0.406533,1373.813
246,0.4082,1373.813
247,0.409867,1389.31
248,0.411533,1400.113
249,0.4132,1411.065
250,0.414867,1411.065
251,0.416517,1422.837
252,0.418183,1432.076
253,0.41985,1440.346
254,0.421517,1440.346
255,0.423183,1448.989
256,0.42485,1458.228
257,0.426517,1458.228
258,0.428183,1469.552
259,0.42985,1476.333
260,0.431517,1481.399
261,0.433183,1481.399
262,0.43485,1485.944
263,0.436517,1487.21
264,0.438183,1493.022
265,0.43985,1493.022
266,0.441517,1499.131
267,0.443183,1497.79
268,0.444867,1504.421
269,0.446517,1504.421
270,0.448183,1508.072
271,0.44985,1512.542
272,0.451517,1512.542
273,0.453183,1522.675
274,0.45485,1525.506
275,0.456517,1531.392
276,0.458183,1531.392
277,0.45985,1538.172
278,0.461517,1545.772
279,0.463183,1553.67
280,0.46485,1553.67
281,0.466517,1561.269
282,0.468183,1559.183
283,0.46985,1559.779
284,0.471517,1559.779
285,0.473183,1555.458
286,0.47485,1549.87
287,0.4765,1549.646
288,0.478167,1549.646
289,0.479933,1541.898
290,0.4815,1542.866
291,0.483167,1542.866
292,0.484833,1540.78
293,0.4865,1538.619
294,0.488167,1532.808
295,0.489833,1532.808
296,0.4915,1521.409
297,0.493167,1512.617
298,0.494833,1504.868
299,0.4966,1504.868
300,0.498167,1500.696
301,0.499833,1494.214
302,0.5014999999999999,1486.54
303,0.503167,1486.54
304,0.504833,1478.493
305,0.5065,1470.521
306,0.508167,1470.521
307,0.50985,1463.816
308,0.5115,1457.408
309,0.513283,1451.373
310,0.514833,1451.373
311,0.5165,1445.562
312,0.518167,1441.836
313,0.519833,1440.942
314,0.5215,1440.942
315,0.523183,1440.868
316,0.52485,1443.55
317,0.5265,1450.926
318,0.5281670000000001,1450.926
319,0.529833,1464.635
320,0.5315,1489.967
321,0.5331669999999999,1489.967
322,0.534833,1529.53
323,0.536483,1589.805
324,0.53815,1669.675
325,0.539817,1669.675
326,0.541483,1775.548
327,0.54315,1916.364
328,0.544817,2087.355
329,0.5464830000000001,2087.355
330,0.54815,2298.057
331,0.549817,2559.051
332,0.5514829999999999,2867.579
333,0.55315,2867.579
334,0.554817,3233.105
335,0.5564829999999999,3657.117
336,0.55815,4133.508
337,0.559817,4133.508
338,0.561483,4665.032
339,0.56315,5256.086
340,0.564817,5256.086
341,0.566483,5903.244
342,0.56815,6599.054
343,0.569817,7341.802
344,0.571483,7341.802
345,0.57315,8118.078
346,0.574817,8930.041999999999
347,0.576483,9779.632
348,0.5781500000000001,9779.632
349,0.579817,10660.439
350,0.5815,11578.5
351,0.5831499999999999,12519.211
352,0.584817,12519.211
353,0.586483,13481.006
354,0.58815,14464.482
355,0.589817,14464.482
356,0.591483,15467.405
357,0.59315,16486.869
358,0.594817,17521.232
359,0.596467,17521.232
360,0.5982,18569.902
361,0.5998,19627.363
362,0.601467,20701.662
363,0.603133,20701.662
364,0.6048,21784.902
365,0.606467,22875.666
366,0.608133,23969.486
