"masterScheduleID","table_type","injection_name","solvent","status","surface_coverage"
1,2,"colConditioning1","",0,0
2,1,"methaneInjection1","METHANE",0,0
3,1,"methaneInjection2","METHANE",0,0
4,3,"injection1","OCTANE",0,5017.81904341889
5,3,"injection2","OCTANE",0,8709.903031121479
6,3,"injection3","OCTANE",0,11957.543119923
7,3,"injection4","OCTANE",0,13681.0253985718
8,3,"injection5","OCTANE",0,15586.192066461
9,3,"injection6","OCTANE",0,17734.1167702306
10,3,"injection7","OCTANE",0,20162.4386854709
11,3,"injection8","OCTANE",0,22884.7626097631
12,3,"injection9","OCTANE",0,25891.6880890933
13,3,"injection10","OCTANE",0,29153.2241916673
14,3,"injection11","OCTANE",0,32622.3316425884
15,3,"injection12","OCTANE",0,39935.9552608716
16,3,"injection13","OCTANE",0,47285.8032904686
17,1,"methaneInjection3","METHANE",0,0
18,1,"methaneInjection4","METHANE",0,0
