ID	Injection Name	Solvent	Injection Time [ms]	Duration [min]	Target Fractional Surface Coverage	Actual Fractional Surface Coverage	Column Temperature [Kelvin]	Column Pressure Drop [Torr]	Exit Flow Rate [sccm]	Peak Area [µV•min]	Peak Max (Signal) [µV]	Peak Max (Time) [min]	Peak Com [min]	Peak Com/Max	Ret Volume (Max) [ml/g]	Ret Volume (Com) [ml/g]	Net Ret Time (Max) [min]	Net Ret Volume (Max) [ml/g]	Net Ret Time (Com) [min]	Net Ret Volume (Com) [ml/g]	Partial Pressure [Torr]	Pres Ret Volume (Max) [mMol/(g•Torr)]	Pres Ret Volume (Com) [mMol/(g•Torr)]	Amount  [mMol/g]	Amount  [mMol]	Amount (Max) [mMol/g]	Amount (Com) [mMol/g]
1	colConditioning1	n/a	0	120	n/a	0	392.6641983	20.87320518	9.997499943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	methaneInjection1	Methane	3000	3	n/a	0	302.6262154	19.85744572	9.994999886	9642.877143	101045.4849	0.4482	0.460454527	1.027341648	408.2420523	419.404063	0	0	0	0	0	0	0	0	0	0	0
3	methaneInjection2	Methane	3000	3	n/a	0	302.3344893	18.44110012	9.992499828	9685.570086	99003.30426	0.458166667	0.470322349	1.026531136	417.2004757	428.2692784	0	0	0	0	0	0	0	0	0	0	0
4	injection1	OCTANE	5018	40	0.1	0.084231556	303.1066202	19.2136507	10.01999998	3615.914589	6895.534998	0.53815	3.300937898	6.133862117	492.3865275	3020.231068	0.085379167	78.11864982	2.835779899	2594.62941	0.38868191	0.004132619	0.137260619	0.009990698	0.000119888	0.001606274	0.053350719
5	injection2	OCTANE	8710	30	0.2	0.155122581	303.1502451	20.55846024	9.992499828	6780.970548	27182.13571	0.534767	1.407769763	2.632491838	487.588941	1283.573907	0.081996167	74.76232466	0.942611763	859.4529419	1.508794225	0.003954494	0.045460082	0.018399077	0.000220789	0.006035751	0.104271117
6	injection3	OCTANE	11958	20	0.3	0.221800526	303.1516298	20.67291546	10.00750017	9854.650873	51901.42857	0.549817	0.94039939	1.710386164	502.0284198	858.6624633	0.097046167	88.61118099	0.47524139	433.9347168	2.830169564	0.004686997	0.022952528	0.026307742	0.000315693	0.012229033	0.134600022
7	injection4	OCTANE	13681	20	0.35	0.268580797	303.1509251	20.54415989	10.00500011	12062.97486	69310.3422	0.556483	0.801278028	1.439896686	508.029742	731.5103421	0.103712167	94.68189555	0.336120028	306.8538863	3.739718415	0.005008113	0.016230757	0.031856346	0.000382276	0.016784156	0.149362688
8	injection5	OCTANE	15586	10	0.4	0.313610501	303.1509203	20.65860939	9.977499962	14225.21204	84766.05076	0.568133	0.742083461	1.306179119	517.200976	675.5571149	0.115362167	105.0201717	0.276925462	252.0996299	4.541188029	0.005554946	0.01333458	0.037197316	0.000446368	0.021236277	0.160049949
9	injection6	OCTANE	17734	10	0.45	0.367444675	303.1515249	20.7015295	9.994999886	16851.44442	102864.4049	0.58315	0.683054091	1.171317999	531.7889626	622.8939834	0.130379167	118.895999	0.217896091	198.7048554	5.440947968	0.006288883	0.010510291	0.043582583	0.000522991	0.026894762	0.169506688
10	injection7	OCTANE	20162	10	0.5	0.408535434	303.1526445	20.67291546	10.00250006	18881.33883	114279.2681	0.5948	0.673102117	1.131644447	542.8320847	614.2929145	0.142029167	129.6200212	0.207944118	189.7759565	5.993675886	0.006856094	0.010037969	0.048456355	0.000581476	0.030684317	0.175054954
