"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,23.43407,120,119.0406,32,32.0204,32,32.03085,180,180.0378,52.28037,55.14032,230.116,28.99772,0,0,10,10.02,10,10.005,0,0,0,0,0,0,0,0
2,24.12079,120,120.0132,32,31.99918,32,32.00101,180,179.9636,53.52919,57.47239,229.3111,28.73305,0,0,10,9.995,10,9.995,0,0,0,0,0,0,0,0
3,19.59993,50,49.01896,32,31.79822,32,31.91837,180,180.0674,52.02181,53.43442,221.2187,28.72758,0,0,10,10.005,10,9.985,0,0,0,0,0,0,0,0
4,23.7202,50,50.0055,32,31.87261,32,31.89198,180,180.3835,52.41568,53.67535,224.5623,28.65888,0,0,10,10.025,10,10.01,0,0,0,0,0,0,0,0
5,20.54416,50,50.01134,32,31.87233,32,31.8917,180,180.3756,52.42042,53.68566,224.2414,28.64887,0,0,10,9.99,10,9.985,0,0,0,0,0,0,0,0
6,23.40546,50,50.0112,32,31.90061,32,31.92912,180,180.234,52.61838,54.05842,226.3109,28.38312,0,0,10,9.98,10,9.96,0,0,0,0,0,0,0,0
7,19.02767,50,49.97674,32,31.96441,32,31.9889,180,180.0199,52.53517,55.09068,229.6043,27.7207,2,1.965,10,9.965,10,10.01,0,0,0,0,0,0,0,0
8,24.09217,50,50.00209,32,32.00118,32,32.00082,180,179.9899,52.11072,54.68995,229.7203,27.47025,2,2.03,10,10.025,10,10.01,0,0,0,0,0,0,0,0
9,20.08635,50,49.99781,32,32.00165,32,31.99916,180,179.9762,52.0918,54.67938,229.7488,27.45999,2,2.015,10,10.015,10,10,0,0,0,0,0,0,0,0
10,23.77743,50,50.00529,32,32.00262,32,32.00132,180,179.9779,51.9299,54.43983,229.7753,27.42867,2,2,10,9.985,10,10,0,0,0,0,0,0,0,0
11,19.45686,50,50.00928,32,32.00541,32,32.00272,180,179.9757,51.91721,54.41679,229.8239,27.39114,2,2.02,10,10.01,10,10.005,0,0,0,0,0,0,0,0
12,23.83465,50,50.00458,32,31.99751,32,32.00121,180,180.2306,51.92545,54.42198,229.891,27.34338,2,1.995,10,9.99,10,10.005,0,0,0,0,0,0,0,0
13,19.68577,50,50.00148,32,31.99747,32,31.999,180,180.2027,51.88924,54.36712,229.8743,27.30637,2,1.965,10,10.01,10,10.01,0,0,0,0,0,0,0,0
14,23.46268,50,50.00031,32,32.00058,32,32.00338,180,179.9522,51.88397,54.37843,229.6104,27.20739,2,1.96,10,10.015,10,10.02,0,0,0,0,0,0,0,0
15,19.34241,50,50.00102,32,31.99909,32,32.00113,180,179.9319,51.87509,54.35723,229.6773,27.21695,2,2.015,10,10.04,10,9.995,0,0,0,0,0,0,0,0
16,23.74882,50,50.00255,32,31.99784,32,32.00063,180,179.9996,51.89797,54.35313,229.5843,27.23037,2,1.995,10,10,10,9.995,0,0,0,0,0,0,0,0
17,19.57131,50,50.00113,32,31.99844,32,31.99897,180,180.0043,51.8932,54.3386,229.6266,27.22316,2,2.025,10,10.02,10,10.005,0,0,0,0,0,0,0,0
18,23.4913,50,50.00191,32,32.01023,32,32.00303,180,180.0566,51.93456,54.41173,229.51,27.52304,2,2,10,10.005,10,10,0,0,0,0,0,0,0,0
19,19.68577,50,50.0023,32,32.00959,32,32.00334,180,180.0467,51.92528,54.40929,229.5714,27.5382,2,2,10,9.99,10,9.975,0,0,0,0,0,0,0,0
20,23.69159,50,50.00462,32,31.98567,32,31.99815,180,180.0282,52.12035,54.60498,229.4348,27.54572,2,2.015,10,10.02,10,10.01,0,0,0,0,0,0,0,0
21,19.71438,50,50.0039,32,31.99199,32,31.99846,180,180.041,52.10466,54.59774,229.4593,27.57538,2,2.005,10,10.01,10,10,0,0,0,0,0,0,0,0
22,23.83465,50,49.99828,32,31.99858,32,31.99583,180,179.9754,52.07191,54.60869,229.408,27.41768,2,2,10,9.99,10,9.99,0,0,0,0,0,0,0,0
23,19.7716,50,49.99333,32,31.99626,32,31.99688,180,179.9727,52.05495,54.58801,229.4623,27.43898,2,1.95,10,9.98,10,10.005,0,0,0,0,0,0,0,0
24,24.03495,50,49.99781,32,31.99742,32,31.99962,180,180.0336,52.0237,54.57062,229.405,27.47238,2,2,10,9.99,10,10,0,0,0,0,0,0,0,0
25,19.85744,50,49.99721,32,31.9984,32,32.00256,180,180.0417,52.0252,54.54784,229.456,27.41722,2,2,10,9.99,10,9.995,0,0,0,0,0,0,0,0
26,23.97772,50,50.00358,32,31.99914,32,32.00144,180,180.117,52.05392,54.56528,229.4018,27.42409,2,2.015,10,10.02,10,10,0,0,0,0,0,0,0,0
27,19.74299,50,49.99863,32,31.99798,32,31.99757,180,180.0722,52.05126,54.56274,229.5056,27.3573,2,2.015,10,10.015,10,10.005,0,0,0,0,0,0,0,0
28,23.86327,50,50.00048,32,31.99635,32,32.00094,180,180.0221,52.05062,54.59685,229.4323,27.42199,2,1.985,10,10.015,10,10.015,0,0,0,0,0,0,0,0
29,19.7716,50,50.00123,32,31.99923,32,32.00071,180,180.0213,52.0512,54.61321,229.3896,27.41158,2,1.995,10,9.975,10,9.97,0,0,0,0,0,0,0,0
