"injection_table_name","solventReservoir_ID","target_surface_coverage","stage_time","FIDGain","target_Temperature_Column_Oven","flow_Rate","target_column_rh"
"injection1",4,989.151353289222,70,500,50,10,0
"injection2",4,1463.55135687899,65,100,50,10,0
"injection3",4,1925.30585777885,60,100,50,10,0
"injection4",4,2813.2886825813,50,100,50,10,0
"injection5",4,3657.90486417653,45,100,50,10,0
"injection6",4,4463.9233841554,40,100,50,10,0
"injection7",4,5236.06066513384,40,10,50,10,0
"injection8",4,5978.96674497491,35,10,50,10,0
"injection9",4,6697.20807844357,35,10,50,10,0
"injection10",4,7395.25538418133,35,10,50,10,0
"injection11",4,8077.46628840973,30,10,50,10,0
"injection12",4,8748.075039649329,25,10,50,10,0
"injection13",4,9411.177262376479,25,10,50,10,0
"injection14",4,10070.717891233,20,10,50,10,0
"injection15",4,10730.4796651771,20,1,50,10,0
"injection16",4,11394.0702851875,20,1,50,10,0
"injection17",4,12064.9121579995,15,1,50,10,0
"injection18",4,12746.2358771222,15,1,50,10,0
"injection19",4,13441.0649054788,15,1,50,10,0
"injection20",4,14152.2098903236,15,1,50,10,0
"injection21",4,14882.2640940122,10,1,50,10,0
"injection22",4,18035.2898116139,10,1,50,10,0
"injection23",4,21636.6880625395,10,1,50,10,0
"injection24",4,25735.5104120653,8,1,50,10,0
"injection25",4,30316.364254676,8,1,50,10,0
"injection26",4,35302.0902801106,8,1,50,10,0
"injection27",3,387.184804833781,30,500,50,10,0
"injection28",3,577.499546842108,20,100,50,10,0
"injection29",3,765.654396408037,15,100,50,10,0
"injection30",3,1135.56339306441,15,100,50,10,0
"injection31",3,1497.07512871248,15,100,50,10,0
"injection32",3,1850.36137874596,10,100,50,10,0
"injection33",3,2195.60169080467,10,10,50,10,0
"injection34",3,2532.98374900999,10,10,50,10,0
"injection35",3,2862.70206053968,10,10,50,10,0
"injection36",3,3184.958724338,10,10,50,10,0
"injection37",3,3499.96161191339,8,10,50,10,0
"injection38",3,3807.92557346705,8,10,50,10,0
"injection39",3,4109.07110862295,7,10,50,10,0
"injection40",3,4403.62424412315,7,10,50,10,0
"injection41",3,4691.81637984907,7,1,50,10,0
"injection42",3,4973.88327546828,7,1,50,10,0
"injection43",3,5250.06493128136,6,1,50,10,0
"injection44",3,5520.60663619901,6,1,50,10,0
"injection45",3,5785.7561320404,6,1,50,10,0
"injection46",3,6045.76451822385,6,1,50,10,0
"injection47",3,6300.8870131604,6,1,50,10,0
"injection48",3,7277.6856941471,6,1,50,10,0
"injection49",3,8197.18476936518,5,1,50,10,0
"injection50",3,9076.31936631431,5,1,50,10,0
"injection51",3,9931.89361588903,5,1,50,10,0
"injection52",3,10780.2526605591,5,1,50,10,0
"injection53",2,166.379675055815,10,100,50,10,0
"injection54",2,248.712159339122,10,100,50,10,0
"injection55",2,330.478272493643,5,100,50,10,0
"injection56",2,492.326938033068,5,100,50,10,0
"injection57",2,651.956708470258,4,100,50,10,0
"injection58",2,809.398538893459,4,100,50,10,0
"injection59",2,964.683155176005,3,10,50,10,0
"injection60",2,1117.84137168202,3,10,50,10,0
"injection61",2,1268.90365652344,3,10,50,10,0
"injection62",2,1417.9006413621,3,10,50,10,0
"injection63",2,1564.86244810322,3,10,50,10,0
"injection64",2,1709.81941059996,3,10,50,10,0
"injection65",2,1852.80162733751,3,10,50,10,0
"injection66",2,1993.83907147367,3,10,50,10,0
"injection67",2,2132.96169207252,3,1,50,10,0
"injection68",2,2270.19910077921,3,1,50,10,0
"injection69",2,2405.5806842675,3,1,50,10,0
"injection70",2,2539.13630095418,3,1,50,10,0
"injection71",2,2670.89506903051,3,1,50,10,0
"injection72",2,2800.88598210901,3,1,50,10,0
"injection73",2,2929.13847669587,2,1,50,10,0
"injection74",2,3425.33806542317,2,1,50,10,0
"injection75",2,3896.00734674088,2,1,50,10,0
"injection76",2,4342.93615572883,2,1,50,10,0
"injection77",2,4767.8763961511,2,1,50,10,0
"injection78",2,5172.53874051828,2,1,50,10,0
"injection79",1,64.0531112266528,2,10,50,10,0
"injection80",1,95.7280107157632,2,10,50,10,0
"injection81",1,127.171229491476,2,10,50,10,0
"injection82",1,189.370818019777,2,10,50,10,0
"injection83",1,250.668135566729,2,10,50,10,0
"injection84",1,311.079249261951,2,10,50,10,0
"injection85",1,370.619980419107,2,10,50,10,0
"injection86",1,429.306028751902,2,10,50,10,0
"injection87",1,487.152808047712,2,10,50,10,0
"injection88",1,544.1756438191391,2,10,50,10,0
"injection89",1,600.389517844072,2,10,50,10,0
"injection90",1,655.809346698033,2,10,50,10,0
"injection91",1,710.449812819861,2,1,50,10,0
"injection92",1,764.3254089004751,2,1,50,10,0
"injection93",1,817.450478777238,2,1,50,10,0
"injection94",1,869.839100011633,2,1,50,10,0
"injection95",1,921.505129123611,2,1,50,10,0
"injection96",1,972.462469603967,2,1,50,10,0
"injection97",1,1022.72461156738,2,1,50,10,0
"injection98",1,1072.3048689239,2,1,50,10,0
"injection99",1,1121.21659789347,2,1,50,10,0
"injection100",1,1310.43534504947,1,1,50,10,0
"injection101",1,1489.96774380424,1,1,50,10,0
"injection102",1,1660.57642184497,1,1,50,10,0
"injection103",1,1822.98235397833,1,1,50,10,0
"injection104",1,1977.86557665721,1,1,50,10,0
"injection105",8,72.8633417984764,2,10,50,10,0
"injection106",8,96.8076360363237,2,10,50,10,0
"injection107",8,144.191592239463,2,10,50,10,0
"injection108",8,190.914037341577,2,10,50,10,0
"injection109",8,236.98813191393,2,10,50,10,0
"injection110",8,282.426511043359,2,10,50,10,0
"injection111",8,327.241397941899,2,10,50,10,0
"injection112",8,371.444496732179,2,10,50,10,0
"injection113",8,415.047160998624,1,1,50,10,0
"injection114",8,458.060215517917,1,1,50,10,0
"injection115",8,500.494185620739,1,1,50,10,0
"injection116",8,542.359183877839,1,1,50,10,0
"injection117",8,583.664959318335,1,1,50,10,0
"injection118",8,624.420943556124,1,1,50,10,0
"injection119",8,664.636174932998,1,1,50,10,0
"injection120",8,704.319346797683,1,1,50,10,0
"injection121",8,743.479026667193,1,1,50,10,0
"injection122",8,782.1233153661331,1,1,50,10,0
"injection123",8,820.260041317776,1,1,50,10,0
"injection124",8,857.896940542529,1,1,50,10,0
"injection125",8,1003.58954085728,1,1,50,10,0
"injection126",8,1141.83373430007,1,1,50,10,0
"injection127",8,1273.01603406092,1,1,50,10,0
"injection128",8,1397.48307430685,1,1,50,10,0
"injection129",8,1515.54935697766,1,1,50,10,0
"injection130",9,151.241631553119,2,10,50,10,0
"injection131",9,226.042582157837,2,10,50,10,0
"injection132",9,300.301517509946,2,10,50,10,0
"injection133",9,447.207013942701,2,10,50,10,0
"injection134",9,591.98544063883,2,10,50,10,0
"injection135",9,734.664104789722,2,10,50,10,0
"injection136",9,875.270166407867,2,10,50,10,0
"injection137",9,1013.83092511694,2,10,50,10,0
"injection138",9,1150.37342560037,2,10,50,10,0
"injection139",9,1284.92491774049,2,1,50,10,0
"injection140",9,1417.51224730281,1,1,50,10,0
"injection141",9,1548.16250683036,1,1,50,10,0
"injection142",9,1676.90263064706,1,1,50,10,0
"injection143",9,1803.75949332468,1,1,50,10,0
"injection144",9,1928.75999963302,1,1,50,10,0
"injection145",9,2051.93080201541,1,1,50,10,0
"injection146",9,2173.29840143031,1,1,50,10,0
"injection147",9,2292.8897704227,1,1,50,10,0
"injection148",9,2410.73126566536,1,1,50,10,0
"injection149",9,2526.84917986569,1,1,50,10,0
"injection150",9,2641.27024676001,1,1,50,10,0
"injection151",9,3082.50891660036,1,1,50,10,0
"injection152",9,3498.68491963797,1,1,50,10,0
"injection153",9,3891.44499377984,1,1,50,10,0
"injection154",9,4262.41127600064,1,1,50,10,0
"injection155",9,4613.17747776294,1,1,50,10,0
