ID	Injection Name	Solvent	Injection Time [ms]	Duration [min]	Target Fractional Surface Coverage	Actual Fractional Surface Coverage	Column Temperature [Kelvin]	Column Pressure Drop [Torr]	Exit Flow Rate [sccm]	Peak Area [µV•min]	Peak Max (Signal) [µV]	Peak Max (Time) [min]	Peak Com [min]	Peak Com/Max	Ret Volume (Max) [ml/g]	Ret Volume (Com) [ml/g]	Net Ret Time (Max) [min]	Net Ret Volume (Max) [ml/g]	Net Ret Time (Com) [min]	Net Ret Volume (Com) [ml/g]	Partial Pressure [Torr]	Pres Ret Volume (Max) [mMol/(g•Torr)]	Pres Ret Volume (Com) [mMol/(g•Torr)]	Amount  [mMol/g]	Amount  [mMol]	Amount (Max) [mMol/g]	Amount (Com) [mMol/g]
1	colConditioning1	n/a	0	120	n/a	0	392.676901245117	23.7774305343628	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	methaneInjection1	Methane	3000	3	n/a	0	322.662229919434	21.6600646972656	9.99749994277954	9946.91047954535	129387.556422202	0.439866666666667	0.445148248257356	1.01200723307977	426.780465275189	431.904917795642	0	0	0	0	0	0	0	0	0	0	0
3	methaneInjection2	Methane	3000	3	n/a	0	323.161270523071	21.9748106002808	9.97249984741211	9987.32846100842	129839.740888927	0.439833333333333	0.445149558042625	1.01208690725872	426.251522398143	431.403585018255	0	0	0	0	0	0	0	0	0	0	0
4	injection1	NONANE	989	70	0.005	0.00461624076896583	323.139416122437	21.5599203109741	10.0100002288818	238.823245614471	21.4563378335143	4.751733	11.8792834189365	2.49998967091302	4623.26156008786	11558.1061461489	4.31313716666667	4196.52393474891	11.4350616314366	11125.8946741866	0.0012102057406629	0.20824079142409	0.552091480539192	0.000659626173570857	7.91551408285029E-06	0.00025201420122162	0.000668144279119612
5	injection2	NONANE	1464	65	0.0075	0.00740749243587356	323.151550674438	21.9318895339966	10	383.469400935523	37.3428728995131	4.540167	10.8148619731173	2.38204056659531	4412.09375000505	10509.7862961337	4.10157116666667	3985.87023553339	10.3706401856175	10078.0955296389	0.00210704625499201	0.197780262294201	0.500078592501208	0.00105847509603036	1.27017011523643E-05	0.000429391553381697	0.00111663502122337
6	injection3	NONANE	1925	60	0.01	0.00995646780139455	323.156931304932	21.6457548141479	10.0050001144409	515.713663877443	52.2159111203357	4.351867	10.1867508498021	2.34077715376	4232.08318108156	9906.36362308767	3.91327116666667	3805.55956500082	9.7425290623022	9474.36890552204	0.00294312196072592	0.188830040228056	0.470113640584885	0.00142270455264548	1.70724546317457E-05	0.000587267762529131	0.00150968561505051
7	injection4	NONANE	2813	50	0.015	0.0147784786645886	323.150894546509	21.5742254257202	10.0150003433228	766.273745781406	82.0165092113042	3.890367	9.33411452142512	2.39928894148678	3787.17390211724	9086.52446283725	3.45177116666667	3360.21194876493	8.88989273392524	8654.08578536251	0.00461340876932257	0.166735219837704	0.429419607428968	0.00211173372893741	2.53408047472489E-05	0.00086576340075251	0.00222693952069187
8	injection5	NONANE	3658	45	0.02	0.0198178761281038	323.151783370972	21.5456142425537	9.99499988555908	1028.6503844845	122.752761694738	3.117283	8.48934210906197	2.72331453674946	3028.60099240938	8247.8331086423	2.67868716666667	2602.48255013129	8.0451203215621	7816.24876212259	0.00691136192915229	0.129135992976097	0.387844692827613	0.00283182581952088	3.39819098342506E-05	0.00116251186385968	0.00311818845809827
9	injection6	NONANE	4464	40	0.025	0.0245964916633927	323.15152015686	21.5313053131104	10.0025000572205	1277.9168956191	182.415616705022	2.365867	7.81142197318814	3.30171644187443	2300.30614366449	7594.95861588184	1.92727116666667	1873.86429803145	7.36720018568827	7163.04671764936	0.0102529738149751	0.0929818045916777	0.35543289387669	0.00351465412901892	4.2175849548227E-05	0.00147322096724849	0.00430590724088902
10	injection7	NONANE	5236	40	0.03	0.0294623643276887	323.15345993042	21.6886796951294	9.99250030517578	1532.17791773454	288.273140280086	1.76275	7.18753727058146	4.07745696813584	1712.02265554249	6980.69870644816	1.32415416666667	1286.04846561584	6.74331548308158	6549.26046263289	0.0162037019834921	0.0638137934858614	0.324974653616526	0.00420995082762497	5.05194099314996E-05	0.00185295950568473	0.00623974306621893
