id,injection-name,solvent-name,injection-time,duration,target-surface-coverage,actual-surface-coverage,col-temp,pressure-drop,exit-flow-rate,peak-area,peak-max-signal,peak-max-time,peak-com,peak-com-over-max,ret-vol-max,ret-vol-com,net-ret-time-max,net-ret-vol-max,net-ret-time-com,net-ret-vol-com,partial-pressure,pres-res-vol-max,pres-res-vol-com,amount-mmol-g,amount-mmol,amount-mmol-g-max,amount-mmol-g-com,saturationPressure,bet-value,bet-ordinate
4,injection1,OCTANE,1572,45,0.05,0.043793375,303.07414,20.67291546,10.04000044,1028.044548,10683.85614,0.591467,0.607006554,1.026272901,2166.69484,2223.6202,0.139542,511.1780224,0.149197093,546.547097,0.610598448,0.027045146,0.028916435,0.011542952,3.46E-5,0.016513724,0.01765633,18.40450976943062,1.9434968315672396,0.03317656681158587
6,injection3,OCTANE,5478,30,0.2,0.190643665,303.1494602,20.77305984,10.01249981,4572.299783,50918.04244,0.641467,0.61585007,0.960065086,2343.849804,2250.248363,0.189542,692.5656027,0.158040609,577.4629893,2.856155032,0.036632803,0.030544526,0.050249399,1.50748E-4,0.098774757,0.086245792,18.480080543514216,2.119598984611436,0.15455317011604686
7,injection4,OCTANE,7573,25,0.3,0.278066924,303.1497301,20.84459496,9.992499828,6751.868865,66542.49719,0.669783,0.629878055,0.940421085,2442.312615,2296.802279,0.217858,794.4025775,0.172068595,627.4350035,3.6941557,0.042019366,0.033187734,0.073292212,2.19877E-4,0.133987014,0.114057135,18.480351813011378,2.190464784718305,0.19989639468871326
8,injection5,OCTANE,8525,20,0.35,0.327505442,303.1507801,20.8016758,9.940000057,8006.627567,73834.54404,0.6831,0.636684638,0.932051878,2477.863417,2309.497252,0.231175,838.5596186,0.178875177,648.848276,4.092672758,0.044354868,0.034320255,0.086323097,2.58969E-4,0.151663185,0.127734342,18.481407172873034,2.2267771134840233,0.2214481137565767
9,injection6,OCTANE,9438,15,0.4,0.362347885,303.1483606,21.17364025,9.994999886,8900.260444,78703.70221,0.689767,0.639701364,0.927416597,2515.258717,2332.69268,0.237842,867.298905,0.181891903,663.2749815,4.318175616,0.045875373,0.035083622,0.095506785,2.8652E-4,0.162008213,0.135645799,18.478975398885144,2.248051055280087,0.23368046781752416
10,injection7,OCTANE,10334,10,0.45,0.40928508,303.1506895,20.98766041,9.962500095,10115.90537,83523.42036,0.70145,0.646449298,0.921589989,2549.874076,2349.938423,0.249525,907.0601309,0.188639837,685.7335952,4.56905099,0.047978156,0.036271282,0.107878378,3.23635E-4,0.174044751,0.14474537,18.481316108382345,2.2689424413114083,0.24722541204344595
11,injection8,OCTANE,11229,10,0.5,0.438209157,303.1506895,21.0305748,9.957499981,10871.55984,86611.66074,0.704783,0.647552943,0.91879762,2560.632226,2352.702795,0.252858,918.6889348,0.189743482,689.3799575,4.722593414,0.048593252,0.036464153,0.115502117,3.46506E-4,0.181505877,0.150344165,18.481316108382345,2.2830523093046344,0.25553339309304013
12,injection9,OCTANE,12142,10,0.55,0.47856005,303.1488546,21.1593399,9.974999905,11933.75623,90060.97813,0.716417,0.653882589,0.912712274,2607.240017,2379.659964,0.264492,962.5596917,0.196183409,713.9657956,4.875949418,0.050914065,0.037764828,0.126137708,3.78413E-4,0.189488604,0.156265246,18.479471882911813,2.2937464718120757,0.26385761719245066
13,injection10,OCTANE,13090,8,0.6,0.525189361,303.1508898,21.31670475,10.01749992,13172.33233,93800.09859,0.72645,0.658923083,0.907045334,2654.761296,2407.988846,0.274525,1003.232631,0.201113622,734.9558254,5.028773843,0.053065082,0.038874823,0.13842815,4.15284E-4,0.197416112,0.162072841,18.48151743579452,2.306433806141628,0.27209745414412795
14,injection11,OCTANE,14086,8,0.65,0.578544137,303.15247,21.21655941,9.980000019,14603.24259,97666.09404,0.738083,0.666316289,0.90276607,2687.366411,2426.063214,0.286158,1041.903685,0.208506829,759.1751163,5.222342989,0.055110265,0.040155671,0.152491274,4.57474E-4,0.208083759,0.16984574,18.48310580632109,2.3186875270511007,0.28254683188655433
15,injection12,OCTANE,15144,5,0.7,0.621905732,303.1498503,21.3739357,9.979999542,15776.09271,100711.2703,0.748083,0.670973089,0.896923322,2723.472202,2442.745735,0.296158,1078.193303,0.213163628,776.0438569,5.358430223,0.057030254,0.041048278,0.163920419,4.91761E-4,0.215844849,0.175431886,18.480472624002047,2.327703237652694,0.28995092993674765
16,injection13,OCTANE,17482,5,0.8,0.722477472,303.1500105,21.6600647,9.977499962,18526.3122,106640.0763,0.7664,0.681000177,0.888570168,2788.937289,2478.166475,0.314475,1144.37768,0.223190716,812.1932539,5.614343246,0.060530997,0.042960352,0.190428876,5.71287E-4,0.231335519,0.186426,18.480633639356682,2.340664293728579,0.30379603619453804
17,injection14,OCTANE,20162,5,0.9,0.806085888,303.151915,21.53130531,9.980000019,20838.47797,111040.148,0.7814,0.689290573,0.882122565,2844.492567,2509.19108,0.329475,1199.371882,0.231481112,842.649477,5.797352796,0.063439476,0.044571031,0.212466182,6.37399E-4,0.242945549,0.194582924,18.482547923491868,2.3487016490695045,0.31366632024967683
