id,injection-name,solvent-name,injection-time,duration,target-surface-coverage,actual-surface-coverage,col-temp,pressure-drop,exit-flow-rate,peak-area,peak-max-signal,peak-max-time,peak-com,peak-com-over-max,ret-vol-max,ret-vol-com,net-ret-time-max,net-ret-vol-max,net-ret-time-com,net-ret-vol-com,partial-pressure,pres-res-vol-max,pres-res-vol-com,amount-mmol-g,amount-mmol,amount-mmol-g-max,amount-mmol-g-com,saturationPressure,bet-value,bet-ordinate
4,injection1,NONANE,461,40,0.005,0.00443330730146423,323.132364654541,21.5313053131104,9.98999977111816,105.266989450157,672.184387833536,0.73975,0.766591013599016,1.03628389807234,2873.23699162038,2977.48922976202,0.301141666666667,1169.65377003701,0.322245599697929,1251.62281505777,0.0380115419658673,0.0580420714342954,0.0621096453509297,0.00116366594455473,3.49099783366419E-6,0.00220626863411059,0.002360883390742,18.10004869915392,0.8914032624263306,0.002100079541092292
5,injection2,NONANE,687,40,0.0075,0.00685182971721795,323.146086120605,21.3310146331787,10.0025000572205,162.735046108788,1108.4945183517,0.744767,0.767531826791108,1.03056637416952,2896.84576781503,2985.39183946544,0.306158666666667,1190.83476820701,0.323186412890021,1257.06589093741,0.0625903482779162,0.059090633087231,0.0623770999226846,0.00179848595137567,5.39545785412701E-6,0.00365864585961798,0.00389403804804898,18.112933154578126,0.8904749836467402,0.0034555611586352154
6,injection3,NONANE,911,35,0.01,0.00966390297943596,323.148935699463,21.3024005889893,10.0125002861023,229.590698889439,1631.15868008099,0.751433,0.770187338285435,1.0249580977751,2925.77656091206,2998.79837838739,0.312824666666667,1218.01288658931,0.325841924384348,1268.69682982542,0.0919832715679018,0.0604387105816493,0.0629536857597543,0.00253660620028222,7.60981860084667E-6,0.00543511624349005,0.0057444309044073,18.11560988324315,0.8884227280892819,0.005077569684970191
7,injection4,NONANE,1349,35,0.015,0.0149068069094626,323.150289916992,20.9590454101563,10.0025000572205,354.340617888707,2642.72983671074,0.758083,0.772005202362431,1.01836501064188,2949.39623842747,3003.56193173332,0.319474666666667,1242.94751384682,0.327659788461344,1274.79253270661,0.14909559215054,0.0616757269748619,0.063255894010739,0.00391277715778141,1.17383314733442E-5,0.00895756013464561,0.00935712180188999,18.116882073930537,0.8868046126599196,0.008229649646231487
8,injection5,NONANE,1776,30,0.02,0.0202953920905461,323.150005722046,21.0591955184937,10.0050001144409,482.693392297657,3690.5906207897,0.766417,0.773467067570534,1.00919873589773,2982.36757751915,3009.80158921471,0.327808666666667,1275.60575913171,0.329121653669447,1280.71500105457,0.208047153865192,0.0632963024112064,0.0635498259779718,0.00532718690611718,1.59815607183515E-5,0.0126889760125491,0.0131034832899858,18.116615086791736,0.8865723059701076,0.011483776239021205
9,injection6,NONANE,2193,30,0.025,0.0252290136404492,323.147961044312,20.8159799575806,10.0050001144409,600.327969163445,4639.0729939571,0.771417,0.775073547787937,1.00474004045534,3002.28320784577,3016.51415170934,0.332808666666667,1295.26037325969,0.33072813388685,1287.16313320896,0.261386234880558,0.0642719825079884,0.0638701901875811,0.00662217662610509,1.98665298783153E-5,0.0161171844945609,0.0165102605388681,18.114694311159955,0.8867681519401772,0.014429513984098826
10,injection7,NONANE,2600,25,0.03,0.0301927708961153,323.150785827637,20.8302898406982,9.99749994277954,718.793167002361,5600.39716157661,0.778067,0.77744889823696,0.9992055931391,3025.89244791044,3023.48865818947,0.339458666666667,1320.15034160865,0.333103484335873,1295.43512014335,0.31563369467584,0.0655064724599211,0.0642800917037076,0.0079250764439335,2.37752293318005E-5,0.0196707442256612,0.0199972922292019,18.117347965514263,0.8866461646460473,0.01742162789369822
11,injection8,NONANE,2998,20,0.035,0.0349638777362578,323.15,21.0019645690918,9.98250007629395,832.764251597305,6522.21691270133,0.7864,0.77824173667844,0.989625809611444,3053.36016225147,3021.68402260344,0.347791666666667,1350.37286338129,0.333896322777353,1296.421325395,0.367968248947555,0.0670062909563362,0.0643291840994945,0.00917740888339067,2.7532226650172E-5,0.0231774885962619,0.0233639314057121,18.116609711245893,0.887358895267079,0.020311098754814957
12,injection9,NONANE,3387,20,0.04,0.0384702598099208,323.146511459351,20.9876594543457,9.99499988555908,916.587386363453,7124.17167955809,0.7914,0.781496628405611,0.987486262832463,3076.61693779682,3038.11696207204,0.352791666666667,1371.49964263361,0.337151214504524,1310.69640781323,0.401291293218003,0.0680553487805086,0.0650382241498829,0.0100977731014026,3.02933193042079E-5,0.0254452999965156,0.0255312030283299,18.113332671780825,0.8874008485276144,0.022154470438407167
13,injection10,NONANE,3767,15,0.045,0.0429952958898745,323.150431060791,20.7444496154785,9.98999977111816,1024.84026745932,7963.59397408698,0.7997,0.783359582677747,0.979566815903148,3107.86101427994,3044.35751802773,0.361091666666667,1403.304631005,0.33901416877666,1317.50521249156,0.448606232415769,0.069632703326159,0.0653752916972779,0.0112855162525224,3.38565487575672E-5,0.0287399671205689,0.0286244309800229,18.117014672809347,0.887015094613825,0.024761597896647565
