"ID","sea_time","fid_signal"
1,0,1163.706
2,0.001667,1162.738
3,0.003333,1161.993
4,0.005,1161.993
5,0.006683,1163.632
6,0.008333,1166.239
7,0.01,1166.239
8,0.011667,1167.655
9,0.013333,1170.337
10,0.015,1170.859
11,0.01665,1170.859
12,0.01835,1166.686
13,0.020033,1165.047
14,0.02165,1163.483
15,0.023317,1163.483
16,0.024983,1165.42
17,0.02665,1169.518
18,0.028317,1169.294
19,0.029983,1169.294
20,0.03165,1169.22
21,0.033317,1169.741
22,0.034983,1169.741
23,0.03665,1167.133
24,0.038367,1166.239
25,0.039983,1164.898
26,0.04165,1164.898
27,0.043317,1161.471
28,0.044983,1162.365
29,0.04665,1163.334
30,0.048317,1163.334
31,0.049983,1166.165
32,0.05165,1168.624
33,0.053317,1167.506
34,0.054983,1167.506
35,0.05665,1167.953
36,0.058317,1165.941
37,0.059983,1163.632
38,0.06165,1163.632
39,0.063317,1168.027
40,0.064983,1167.58
41,0.06665,1167.58
42,0.068317,1167.655
43,0.069983,1167.804
44,0.071717,1162.961
45,0.07331699999999999,1162.961
46,0.07498299999999999,1162.738
47,0.07663300000000001,1163.036
48,0.07829999999999999,1161.769
49,0.079967,1161.769
50,0.081633,1165.792
51,0.083317,1167.059
52,0.084967,1167.357
53,0.086633,1167.357
54,0.0883,1167.879
55,0.08996700000000001,1164.004
56,0.09163300000000001,1164.004
57,0.09329999999999999,1165.718
58,0.094967,1167.357
59,0.096633,1167.879
60,0.0983,1167.879
61,0.099967,1167.432
62,0.101633,1165.122
63,0.1033,1163.259
64,0.104967,1163.259
65,0.106633,1163.185
66,0.1083,1164.898
67,0.11,1164.675
68,0.111633,1164.675
69,0.1133,1164.302
70,0.114967,1163.334
71,0.116633,1163.557
72,0.1183,1163.557
73,0.119967,1166.09
74,0.121633,1168.4
75,0.1233,1168.4
76,0.124967,1172.2
77,0.126633,1170.561
78,0.1283,1167.729
79,0.129967,1167.729
80,0.131633,1164.749
81,0.1333,1161.546
82,0.13495,1161.173
83,0.136617,1161.173
84,0.138283,1163.483
85,0.13995,1165.345
86,0.141617,1165.643
87,0.143283,1165.643
88,0.14495,1166.314
89,0.146617,1166.016
90,0.148283,1166.016
91,0.14995,1169.667
92,0.151617,1172.721
93,0.153283,1173.094
94,0.15495,1173.094
95,0.15665,1174.36
96,0.158283,1172.051
97,0.15995,1169.89
98,0.161617,1169.89
99,0.163283,1170.039
100,0.16495,1166.388
101,0.166617,1166.91
102,0.168283,1166.91
103,0.16995,1165.047
104,0.171617,1165.345
105,0.1733,1165.569
106,0.17495,1165.569
107,0.176617,1162.961
108,0.178283,1163.185
109,0.17995,1163.185
110,0.181617,1164.749
111,0.183283,1164.377
112,0.18495,1164.526
113,0.186617,1164.526
114,0.188283,1168.326
115,0.190017,1166.686
116,0.191617,1169.741
117,0.193283,1169.741
118,0.194933,1170.188
119,0.1966,1167.804
120,0.1983,1168.177
121,0.199933,1168.177
122,0.2016,1167.208
123,0.203267,1167.432
124,0.204933,1167.432
125,0.2066,1167.133
126,0.208267,1166.463
127,0.209933,1164.6
128,0.2116,1164.6
129,0.213267,1163.11
130,0.214933,1164.302
131,0.2166,1167.506
132,0.218267,1167.506
133,0.219933,1168.251
134,0.2216,1168.027
135,0.223267,1166.314
136,0.224933,1166.314
137,0.2266,1162.663
138,0.228267,1163.855
139,0.229933,1163.855
140,0.2316,1164.079
141,0.233267,1163.557
142,0.234933,1165.047
143,0.2366,1165.047
144,0.238267,1163.185
145,0.239933,1162.812
146,0.2416,1163.557
147,0.243267,1163.557
148,0.244933,1161.695
149,0.2466,1161.024
150,0.248267,1164.228
151,0.249933,1164.228
152,0.2516,1164.898
153,0.253267,1166.016
154,0.254933,1166.016
155,0.256583,1166.016
156,0.25825,1163.408
157,0.259917,1163.483
158,0.261583,1163.483
159,0.26325,1164.675
160,0.2649,1169.89
161,0.266567,1172.87
162,0.268233,1172.87
163,0.2699,1170.71
164,0.271567,1169.294
165,0.273233,1165.643
166,0.274967,1165.643
167,0.276567,1161.844
168,0.278233,1163.632
169,0.2799,1167.133
170,0.281567,1167.133
171,0.283233,1168.624
172,0.284917,1168.922
173,0.286567,1168.922
174,0.288233,1169.667
175,0.2899,1166.016
176,0.291683,1167.282
177,0.293233,1167.282
178,0.2949,1169.592
179,0.296567,1169.294
180,0.298233,1170.114
181,0.2999,1170.114
182,0.301567,1165.867
183,0.303233,1164.302
184,0.3049,1165.271
185,0.306567,1165.271
