n/nm	Disp. Surf. En. (mJ/m^2) - Stz & Max	Disp. Surf. En. (mJ/m^2) - Stz & Com	Disp. Surf. En. (mJ/m^2) - DnG & Max	Disp. Surf. En. (mJ/m^2) - DnG & Com
0.005	72.2850784849878	157.890275462231	74.8623339430776	165.240403153343
0.0075	68.5619327359764	133.260039244874	70.7576717012432	138.852313687561
0.01	65.1229105113694	119.067857088359	67.1565066865755	123.893028384924
0.015	64.4878479574444	105.45554503984	66.4823634377105	109.602559851772
0.02	63.1799141867008	93.7990623876675	65.0977794872456	97.3185541757889
0.025	63.9586328255816	86.9040052289657	65.9097826041017	90.0628844347969
0.03	59.0928906276051	78.5152972722136	60.7879007550956	81.184751679341
0.035	59.2261504734324	75.5705082649278	60.8733827909855	78.0847160430479
0.04	58.7820037283708	73.0282332855826	60.3614116054794	75.3843019019815
0.045	61.5885287072204	71.5498894015744	63.3033728187404	73.8492238622331
0.05	61.8228129362488	70.084971821055	63.5057642674992	72.2591981995443
0.055	59.8489850127431	67.9422624371847	61.4690738707312	70.0090939618078
0.06	60.3941591101308	67.3111310014467	62.0185819792872	69.325544851848
0.065	62.8689263176704	67.8525203750077	64.5725152001805	69.887679636092
0.07	63.0921146285596	67.4442696250647	64.8054690755705	69.4641035609317
0.075	62.7616717793383	66.5665451660559	64.4435305855669	68.5176063253971
0.08	63.5059779765589	65.7759187419575	65.2252423725808	67.6687632505345
0.085	63.3078058143749	65.5780263723706	65.0315253038449	67.4682508283973
0.09	62.880230228438	65.9264509044542	64.5600333732819	67.8100546379085
0.095	63.3365252027163	65.7327794665437	65.0634234558737	67.6233941860071
0.1	64.1820521262255	65.8494601844671	65.9488437335838	67.7306867713087
0.12	66.8775783804871	66.0579955446569	68.7684753438224	67.9116953976213
0.14	68.9739546511675	66.9083504176688	70.9546583923231	68.7930285545052
0.16	69.4525077091128	67.7318899695578	71.4801463904884	69.6505666537065
0.18	69.4789456863148	68.2119161585302	71.5304830645076	70.1264524025556
0.2	70.2850729788241	68.3068870136752	72.3605354003662	70.2245908892038

