n/nm	Disp. Surf. En. (mJ/m^2) - Stz & Max	Disp. Surf. En. (mJ/m^2) - Stz & Com	Disp. Surf. En. (mJ/m^2) - DnG & Max	Disp. Surf. En. (mJ/m^2) - DnG & Com
0.005	61.8479196517973	69.2635889903094	64.4935031179058	72.1900129702905
0.0075	60.9162428986092	68.8313644163606	63.4805845101447	71.7054131963621
0.01	60.5548917300859	68.7077103358117	63.088929042966	71.5585534217992
0.015	59.2072732276205	66.5031589557859	61.6786889945022	69.254926724575
0.02	55.4288518937281	63.7636904894469	57.7524910400376	66.3992097659014
0.025	53.3026594917134	60.9055771358396	55.5380560582735	63.426723246388
0.03	51.8174265917532	58.9708998181706	53.9939869354748	61.4168483975873
0.035	51.003670334311	57.1009084218805	53.1440285800369	59.4718640599456
0.04	48.2974958933425	55.6573891835024	50.3189033402718	57.9731549234005
0.045	47.5759156518946	54.8543413890486	49.5679323475453	57.1367228201282
0.05	46.8011588708632	54.2931995392047	48.7631024066572	56.5508289446884
0.055	46.6622884651648	53.5000038827571	48.6159604755925	55.7241248416691
0.06	45.5039751538051	52.8864335947322	47.4232296788681	55.0943486892919
0.065	44.1726575736003	52.3006857532122	46.0185870370294	54.482143726819
0.07	44.2164434062668	51.7830091782501	46.062478615468	53.9404210260227
0.075	43.6458109332653	50.9177372254433	45.4837262755063	53.0496403445972
0.08	43.7838978643354	50.6882619661105	45.6203322240484	52.8058533295714
0.085	44.187717917833	50.7018152220224	46.0310154630496	52.8153500517775
0.09	43.4628751317067	50.5997088490225	45.2753209146953	52.709522104795
0.095	42.7686415147625	50.2736632109594	44.5633470449951	52.3731286727552
0.1	42.2118283006494	49.6120674719313	43.971275192439	51.6840454299892
0.12	42.2528152164008	48.8544066084938	44.0232951195997	50.8985338362608
0.14	42.1948505763167	47.9155237315558	43.9635577521167	49.9014905880516
0.16	41.6337965577057	47.3454065165659	43.3760416590513	49.3168810604789
0.18	40.9559625565168	46.7681102136257	42.6869435722342	48.7191262662036
0.2	40.6477998507416	45.7905310074739	42.3883772617425	47.7089141548894

