n/nm	Solvent Name	Unit	En. (Stz Max)	En. (Stz Com)	En. (Pol Max)	En. (Pol Com)	Interpolated Retention Volume (Max)	Interpolated Retention Volume (Com)	Column Temperature [Kelvin]
0.005	NONANE	dG (kJ/Mol)					161.694531490877	200.245147061906	323.148866227957
0.005	OCTANE	dG (kJ/Mol)					52.4899350332746	64.5020464343327	323.150260939965
0.005	HEPTANE	dG (kJ/Mol)					14.5690201459668	17.5822177226365	323.150050506592
0.005	HEXANE	dG (kJ/Mol)					3.75588887557601	3.67017898681246	323.149344458947
0.005	DICHLOROMETHANE	dG (kJ/Mol)	5.11380488714827	8.29802493815524	5.50283890634694	8.70611580913982	0.785310537287194	2.1698624401251	323.151049408546
0.005	ETHYL ACETATE	dG (kJ/Mol)	9.25888133514536	11.5020161093352	7.74635371627318	9.89879981634645	8.81416222202789	18.0551785051504	323.150036606422
0.0075	NONANE	dG (kJ/Mol)					151.277970432152	190.640714845054	323.148866227957
0.0075	OCTANE	dG (kJ/Mol)					48.9805163719292	60.7704602838872	323.150260939965
0.0075	HEPTANE	dG (kJ/Mol)					14.4012036015852	17.2386558118015	323.150050506592
0.0075	HEXANE	dG (kJ/Mol)					3.56285223806495	3.49979650885661	323.149344458947
0.0075	DICHLOROMETHANE	dG (kJ/Mol)	5.12157682093434	8.08696400221472	5.50315842646542	8.4902721058374	0.780409103565435	1.9542141604838	323.151049408546
0.0075	ETHYL ACETATE	dG (kJ/Mol)	8.95460732155614	11.3024158415191	7.45029045737664	9.70170226471376	7.74727873492562	16.2830948157449	323.150036606422
0.01	NONANE	dG (kJ/Mol)					142.410169831663	181.953051569012	323.148866227957
0.01	OCTANE	dG (kJ/Mol)					46.6660376836083	58.3806380501022	323.150260939965
0.01	HEPTANE	dG (kJ/Mol)					14.0598079135267	16.9524678954499	323.150050506592
0.01	HEXANE	dG (kJ/Mol)					3.3698156005539	3.32941403090077	323.149344458947
0.01	DICHLOROMETHANE	dG (kJ/Mol)	5.07481202327221	7.88804212758718	5.45363106966795	8.28915216124176	0.743393744989872	1.75545094639425	323.151049408546
