ID	Injection Name	Solvent	Injection Time [ms]	Duration [min]	Target Fractional Surface Coverage	Actual Fractional Surface Coverage	Column Temperature [Kelvin]	Column Pressure Drop [Torr]	Exit Flow Rate [sccm]	Peak Area [µV•min]	Peak Max (Signal) [µV]	Peak Max (Time) [min]	Peak Com [min]	Peak Com/Max	Ret Volume (Max) [ml/g]	Ret Volume (Com) [ml/g]	Net Ret Time (Max) [min]	Net Ret Volume (Max) [ml/g]	Net Ret Time (Com) [min]	Net Ret Volume (Com) [ml/g]	Partial Pressure [Torr]	Pres Ret Volume (Max) [mMol/(g•Torr)]	Pres Ret Volume (Com) [mMol/(g•Torr)]	Amount  [mMol/g]	Amount  [mMol]	Amount (Max) [mMol/g]	Amount (Com) [mMol/g]
1	colConditioning1	n/a	0	120	n/a	0	392.669050598145	139.016403198242	10.0050001144409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	methaneInjection1	Methane	3000	3	n/a	0	322.663410568237	113.135948181152	10.0025000572205	9771.88530961452	101144.005712263	0.461516666666667	0.476399393903419	1.03224743180835	50.6724071722211	52.3064621670724	0	0	0	0	0	0	0	0	0	0	0
3	methaneInjection2	Methane	3000	3	n/a	0	323.156645202637	114.63809967041	10	9805.38028995299	101283.406338456	0.4632	0.477420455733638	1.0307004657462	50.8734270173491	52.4352649208868	0	0	0	0	0	0	0	0	0	0	0
4	injection1	NONANE	1380	20	0.005	0.00587817414956327	323.137850189209	113.050098419189	9.99499988555908	349.746605742393	240.836757606688	1.89935	2.26703020015008	1.19358212027803	208.701369871771	249.102223556479	1.43825	158.035509631229	1.79168779066925	196.871401424277	0.0135978157360054	0.0078421092290431	0.0097692413410542	0.000115863732302891	1.15863732302891E-05	0.000106635556278155	0.000132840343636221
5	injection2	NONANE	2031	20	0.0075	0.0089603709406183	323.148134613037	113.77970123291	10.0099997520447	533.551452158365	387.320904931609	1.781067	2.15747332548763	1.21133754400459	195.913029490059	237.316807980987	1.319967	145.193153203616	1.6821309160068	185.030301360802	0.0218185953172501	0.00720461073567067	0.00918136472825922	0.00017661641073964	1.7661641073964E-05	0.000165863073104774	0.000208318319322255
6	injection3	NONANE	2659	10	0.01	0.012231107504208	323.148245239258	113.851249694824	10	728.900195590996	554.71743193272	1.702767	2.07112674963451	1.21633009662186	187.104628514986	227.58099088003	1.241667	136.437717417778	1.59578434015368	175.349085432409	0.0312542990868977	0.0067701560676727	0.00870097138217295	0.000241085365893885	2.41085365893885E-05	0.000229744260233615	0.00029041810779262
7	injection4	NONANE	3849	10	0.015	0.0191490339293272	323.149505996704	114.180297851563	10.0075001716614	1143.05187648453	942.319601652683	1.56115	1.94708005657751	1.24720882463409	171.636640897071	214.066733157378	1.10005	120.942181608957	1.47173764709668	161.806428613159	0.0529655858196012	0.0060012309326333	0.00802894185944052	0.000377443485782297	3.77443485782297E-05	0.000360038705761186	0.000464736766663139
8	injection5	NONANE	4965	10	0.02	0.0255737859149596	323.149450683594	114.123050689697	9.99749994277954	1528.78219482514	1346.62572440639	1.464517	1.85120004788637	1.2640345232499	160.8575286386	203.329469523849	1.003417	110.211884746956	1.37585763840554	151.119488181056	0.0756563070923926	0.00546878745116433	0.00749865010010876	0.000504080724699603	5.04080724699603E-05	0.000484129437515696	0.000634886546006896
9	injection6	NONANE	6019	8	0.025	0.0316514464202041	323.148134613037	113.994300842285	9.99249982833862	1894.57033021205	1763.66887861039	1.3862	1.77996002397384	1.28405715190726	152.191198521862	195.422196919334	0.9251	101.566929557477	1.30461761449301	143.234250730359	0.0990070145537606	0.00503983951676229	0.00710740828860234	0.000623876500035694	6.23876500035694E-05	0.000601813255723854	0.000800849557762551
10	injection7	NONANE	7025	8	0.03	0.0372001089614251	323.147863769531	114.080146789551	9.99749994277954	2229.21565278421	2177.86587733628	1.327883	1.72373062876625	1.29810429741645	145.853396983213	189.332921416696	0.866783	95.2066145867522	1.24838821928542	137.121766403066	0.122059639143162	0.00472423910719755	0.00680410719466452	0.000733245282749094	7.33245282749094E-05	0.000710719366332649	0.0009577020865872
11	injection8	NONANE	7995	8	0.035	0.0428317124196987	323.148510360718	113.937099456787	9.99749994277954	2569.47900266227	2628.11684645222	1.279583	1.67517330293989	1.30915564128305	140.561288729375	184.016604086077	0.818483	89.9097794227378	1.19983089345906	131.800576157954	0.147134276514382	0.00446139638527022	0.00654005179217382	0.00084424890035609	8.4424890035609E-05	0.000822587262862572	0.00112169151366496
12	injection9	NONANE	8940	8	0.04	0.0481121926400172	323.152285003662	113.965702056885	9.98750019073486	2889.0350215165	3068.3476055293	1.237917	1.63626044980259	1.32178526492696	135.847399199902	179.56109054108	0.776817	85.2468857801208	1.16091804032176	127.397633655534	0.171787015330077	0.00422997040047834	0.00632150036358933	0.000948331585065788	9.48331585065788E-05	0.000926867618343684	0.00127753381105184
13	injection10	NONANE	9873	8	0.045	0.0536517275775115	323.149580383301	114.080150604248	9.98250007629395	3224.73712189509	3561.86347360731	1.206267	1.59901396195734	1.32558874772943	132.297123726953	175.371578569418	0.745167	81.7260613083527	1.12367155247651	123.238482364554	0.199327662502161	0.00405530020793138	0.00611517348514437	0.00105752045507027	0.000105752045507027	0.0010385532105472	0.00144594964640229
14	injection11	NONANE	10804	8	0.05	0.0587182975867654	323.151874923706	114.137401580811	10.0025000572205	3532.14563296626	4042.70210618449	1.176283	1.56718932012702	1.33232336106789	129.26329633314	172.220509433283	0.715183	78.5924068114765	1.09184691064619	119.984502676041	0.225599569060026	0.00389977854725957	0.00595366662662514	0.00115738679048492	0.000115738679048492	0.00114100782813717	0.00160236381969366
15	injection12	NONANE	11743	8	0.055	0.0644605791899867	323.15178527832	113.794052124023	10.0050001144409	3880.91555819423	4609.15468606893	1.146267	1.53561670675128	1.33966755280513	126.023869765918	168.83008920434	0.685167	75.32921804074	1.06027429727045	116.56958627908	0.256923854620771	0.0037378591890643	0.00578421906627297	0.00127057196696236	0.000127057196696236	0.00125809359676128	0.0017835503494715
16	injection13	NONANE	12700	8	0.06	0.0696390833719433	323.143364334106	114.037200927734	10.0025000572205	4195.71812830267	5141.62643700111	1.12295	1.51035505979855	1.34498869922841	123.407106440099	165.981163566411	0.66185	72.7343099847539	1.03501265031772	113.743190974316	0.286469857915268	0.00360919309680344	0.00564411953256925	0.00137264461860577	0.000137264461860577	0.00136473082788991	0.00195031152377533
17	injection14	NONANE	13684	8	0.065	0.0755113189712287	323.143545532227	114.008647918701	9.99749994277954	4552.93990567798	5779.75510344807	1.0996	1.48207765946621	1.34783344804129	120.78291011046	162.795246198643	0.6385	70.1344926387127	1.00673524998538	110.582405605689	0.321942563913003	0.00348018403961059	0.00548727321709084	0.00148839129711233	0.000148839129711233	0.00148818237314502	0.00214495995333444
18	injection15	NONANE	14701	5	0.07	0.0837021313896392	323.150560760498	114.137348175049	10.0050001144409	5051.50470419675	6615.02109235164	1.082967	1.46424423151342	1.352067266605	119.037942915917	160.947306100606	0.621867	68.3545929352346	0.988901822032594	108.698454006966	0.367849461015099	0.00339178897818614	0.00539367147714599	0.00164983906528715	0.000164983906528715	0.00164388888075863	0.00239256667483829
19	injection16	NONANE	15761	5	0.075	0.0896159625376847	323.152725601196	113.908451080322	10.0100002288818	5411.58281325389	7365.73342731767	1.062983	1.4328143606366	1.34791841509846	116.917594991996	157.595379338735	0.601883	66.2011648601791	0.957471951155777	105.312425317646	0.40915061496019	0.00328491279736491	0.0052256200382293	0.00176640562687372	0.000176640562687372	0.0017795595698988	0.00260839081249575
20	injection17	NONANE	16867	5	0.08	0.0958976782044549	323.148544692993	114.180297851563	10.0025000572205	5794.06238749522	8125.42925020311	1.041333	1.4142760486063	1.35814004608161	114.429149175583	155.410809934405	0.580233	63.760169430524	0.938933639125476	103.176771942752	0.45144298557359	0.00316383113189793	0.00511971480121158	0.00189022350023013	0.000189022350023013	0.00191336548868725	0.0028249156883035
21	injection18	NONANE	18025	5	0.085	0.100812397661688	323.150949859619	113.994297027588	9.99249982833862	6093.25001676013	8795.49894092748	1.034667	1.39151014092225	1.34488694519323	113.597304161833	152.775531376394	0.573567	62.9725940386522	0.916167731441419	100.587130402156	0.488980466041095	0.00312472774743362	0.00499117754636916	0.00198709673417114	0.000198709673417114	0.00203065989547281	0.00301227191796018
22	injection19	NONANE	19240	5	0.09	0.10559040600376	323.150024795532	114.223251342773	10.0050001144409	6384.01886391365	9408.05807822268	1.026317	1.37949031953023	1.34411718750661	112.804695020699	151.622729408763	0.565217	62.1242085101526	0.9041479100494	99.3768292318307	0.522219907371856	0.0030826393097327	0.00493113598729504	0.00208127527761017	0.000208127527761017	0.00213312510395256	0.00317618012330388
23	injection20	NONANE	20515	5	0.095	0.109695992990579	323.152090454102	114.051551818848	10.0125002861023	6633.75926315305	9963.34556854546	1.011317	1.36706838819394	1.3517704025483	111.252245398319	150.387492546488	0.550217	60.5278826582829	0.891725978713115	98.0963608955919	0.552502111783677	0.00300340949520212	0.00486756728996991	0.00216219983334528	0.000216219983334528	0.00222407496421868	0.00332358079096704
24	injection21	NONANE	21850	5	0.1	0.113253949163016	323.148424530029	114.137401580811	10.0175004005432	6850.08559970571	10513.3945192149	1.006333	1.34906781269994	1.34057793265245	110.751926498101	148.4715886621	0.545233	60.0055897405123	0.873725403219112	96.1578042624525	0.582614357726025	0.00297752696078918	0.00477142972712822	0.00223233012738213	0.000223233012738213	0.00231373498836193	0.00346725925640696
25	injection22	NONANE	27815	5	0.12	0.131075700103703	323.148779296875	114.223247528076	9.99499988555908	7931.62906197269	12991.6449117707	0.981333	1.31005546233118	1.33497544903837	107.752183423529	143.846519450691	0.520233	57.1225482471013	0.834713052850349	91.6530412986668	0.721242603710877	0.00283446494709357	0.00454789467255206	0.00258361175457141	0.000258361175457141	0.00270667189228306	0.0040977259177867
26	injection23	NONANE	34673	5	0.14	0.150853354752877	323.147976303101	114.337650299072	9.98250007629395	9126.03546923454	16003.2292470034	0.958	1.27087422505293	1.32659104911579	105.050691839835	139.359307498147	0.4969	54.4881928760065	0.795531815572102	87.2350392551667	0.8897773743761	0.00270375291821869	0.00432868075646786	0.00297344588087425	0.000297344588087425	0.00316234827029048	0.00482725913636098
27	injection24	NONANE	42103	5	0.16	0.172261625879762	323.151289367676	114.165950775146	9.99499988555908	10408.9618490525	19479.3868807162	0.939683	1.22967215902531	1.30860317684295	103.183511790529	135.026271326898	0.478583	52.5516313727573	0.754329749544487	82.8304785827457	1.08296357200725	0.00260763226779771	0.0041100803736697	0.00339542082271863	0.000339542082271863	0.00366610683292661	0.00562126993570865
28	injection25	NONANE	49596	5	0.18	0.194729531245336	323.149004364014	114.108749389648	9.99249982833862	11740.8763250002	23173.7778030164	0.92635	1.20099245843391	1.29647806815341	101.697010159729	131.847943268863	0.46525	51.0763037478424	0.725650048953084	79.6636696721427	1.29149945590094	0.00253444386167376	0.00395297004254144	0.00383828204228237	0.000383828204228237	0.00419462932379968	0.0064456060375353
