"ID","sea_time","fid_signal"
1,0,27.763
2,0.001667,27.763
3,0.003333,27.766
4,0.005,27.776
5,0.006667,27.773
6,0.008333,27.773
7,0.01,27.737
8,0.011717,27.672
9,0.013333,27.601
10,0.015,27.601
11,0.016667,27.564
12,0.018333,27.578
13,0.02,27.578
14,0.021683,27.627
15,0.023333,27.685
16,0.025,27.727
17,0.026667,27.727
18,0.0284,27.76
19,0.030033,27.784
20,0.031667,27.8
21,0.033333,27.8
22,0.035,27.815
23,0.03665,27.824
24,0.038317,27.821
25,0.039983,27.821
26,0.04165,27.82
27,0.043317,27.817
28,0.045117,27.812
29,0.04665,27.812
30,0.048317,27.812
31,0.049983,27.811
32,0.05165,27.811
33,0.053317,27.807
34,0.054983,27.81
35,0.05665,27.815
36,0.058317,27.815
37,0.059983,27.819
38,0.06165,27.83
39,0.063317,27.828
40,0.064983,27.828
41,0.06665,27.822
42,0.068317,27.825
43,0.069983,27.82
44,0.07165000000000001,27.82
45,0.07331699999999999,27.819
46,0.07498299999999999,27.827
47,0.07665,27.827
48,0.078317,27.821
49,0.079983,27.824
50,0.08165,27.822
51,0.083317,27.822
52,0.084983,27.81
53,0.08665,27.811
54,0.08831700000000001,27.812
55,0.08998299999999999,27.812
56,0.09165,27.807
57,0.093317,27.805
58,0.095,27.804
59,0.09668300000000001,27.804
60,0.0983,27.798
61,0.099967,27.798
62,0.101633,27.799
63,0.1033,27.799
64,0.104967,27.798
65,0.106633,27.801
66,0.108317,27.801
67,0.109967,27.8
68,0.111633,27.804
69,0.1133,27.803
70,0.114967,27.803
71,0.11665,27.799
72,0.1183,27.8
73,0.119967,27.796
74,0.121633,27.796
75,0.1233,27.799
76,0.124967,27.802
77,0.126633,27.804
78,0.1283,27.804
79,0.130017,27.808
80,0.131633,27.81
81,0.1333,27.81
82,0.134967,27.809
83,0.136633,27.809
84,0.1383,27.809
85,0.139967,27.809
86,0.141633,27.804
87,0.1433,27.804
88,0.144967,27.804
89,0.146633,27.804
90,0.1483,27.81
91,0.149967,27.816
92,0.151633,27.82
93,0.1533,27.82
94,0.154967,27.82
95,0.156617,27.812
96,0.158283,27.812
97,0.159933,27.797
98,0.1616,27.791
99,0.163383,27.788
100,0.164933,27.788
101,0.1666,27.785
102,0.168267,27.792
103,0.169933,27.792
104,0.171617,27.792
105,0.173267,27.791
106,0.174933,27.798
107,0.1766,27.8
108,0.178267,27.8
109,0.179933,27.799
110,0.1816,27.801
111,0.183267,27.808
112,0.184933,27.808
113,0.1866,27.815
114,0.188267,27.818
115,0.189933,27.818
116,0.1916,27.823
117,0.193267,27.816
118,0.194933,27.815
119,0.1966,27.815
120,0.198267,27.815
121,0.199933,27.811
122,0.2016,27.816
123,0.203267,27.816
124,0.20495,27.813
125,0.2066,27.817
126,0.208267,27.818
127,0.209933,27.818
128,0.2116,27.813
129,0.213267,27.82
130,0.214917,27.82
131,0.216583,27.827
132,0.21825,27.853
133,0.219917,27.909
134,0.221583,27.909
135,0.22325,28.013
136,0.224917,28.199
137,0.226583,28.514
138,0.22825,28.514
139,0.229917,29.013
140,0.231583,29.764
141,0.23325,30.858
142,0.234917,30.858
143,0.236583,32.371
144,0.23825,34.388
145,0.239917,36.994
146,0.241583,36.994
147,0.24325,40.243
148,0.244917,44.184
149,0.246583,44.184
150,0.248283,48.854
151,0.249917,54.242
152,0.251583,60.327
153,0.25325,60.327
154,0.254917,67.093
155,0.256583,74.462
156,0.25825,82.379
157,0.259917,82.379
158,0.261583,90.79600000000001
159,0.26325,99.63
160,0.264983,108.832
161,0.266583,108.832
162,0.26825,118.351
163,0.269917,128.121
164,0.271583,128.121
165,0.27325,138.105
166,0.2749,148.27
167,0.276567,158.588
168,0.278233,158.588
169,0.2799,169.058
170,0.281667,179.669
171,0.28325,190.418
172,0.2849,190.418
173,0.286567,201.319
174,0.288233,212.372
175,0.2899,223.603
176,0.291567,223.603
177,0.293233,235.038
178,0.2949,246.697
179,0.296567,258.612
180,0.298233,258.612
181,0.299933,270.81
182,0.301567,283.322
183,0.303233,283.322
184,0.3049,296.179
185,0.306567,309.419
186,0.308233,323.079
187,0.3099,323.079
188,0.311567,337.199
189,0.313233,351.821
190,0.3149,366.98
191,0.3166,366.98
192,0.318233,382.716
193,0.3199,399.077
194,0.321567,416.123
195,0.323233,416.123
196,0.3249,433.931
197,0.326567,452.597
198,0.328233,452.597
199,0.3299,472.241
200,0.331567,493.026
201,0.333217,515.136
202,0.334883,515.136
203,0.33655,538.789
204,0.338217,564.1849999999999
205,0.339883,591.442
206,0.34155,591.442
207,0.343217,620.55
208,0.344883,651.27
209,0.34655,683.092
210,0.348217,683.092
211,0.349883,715.213
212,0.35155,746.578
213,0.353217,746.578
214,0.354883,775.9299999999999
215,0.35655,801.933
216,0.358217,823.3049999999999
217,0.359883,823.3049999999999
218,0.36155,838.886
219,0.363217,847.8
220,0.364883,849.477
221,0.366583,849.477
222,0.368217,843.7190000000001
223,0.369883,830.731
224,0.37155,811.042
225,0.373233,811.042
226,0.374883,785.4450000000001
227,0.37655,754.883
228,0.378217,720.346
229,0.379883,720.346
230,0.38155,682.829
231,0.3833,643.293
232,0.384883,643.293
233,0.38655,602.624
234,0.388217,561.627
235,0.389917,520.985
236,0.39155,520.985
237,0.393217,481.277
238,0.394867,442.974
239,0.396533,406.422
240,0.3982,406.422
241,0.399933,371.875
242,0.401533,339.491
243,0.4032,309.364
244,0.404867,309.364
245,0.406533,281.521
246,0.4082,255.934
247,0.409867,255.934
248,0.411533,232.563
249,0.4132,211.298
250,0.414867,192.034
251,0.41665,192.034
252,0.4182,174.659
253,0.419867,159.031
254,0.421533,145.016
255,0.4232,145.016
256,0.424867,132.487
257,0.426533,121.307
258,0.4282,111.344
259,0.429867,111.344
260,0.431533,102.482
261,0.4332,94.60599999999999
262,0.434867,87.61499999999999
263,0.436533,87.61499999999999
264,0.4382,81.416
265,0.439867,75.919
266,0.441533,75.919
267,0.4432,71.05200000000001
268,0.444867,66.742
269,0.446533,62.921
270,0.4482,62.921
271,0.449867,59.545
272,0.4515,56.552
273,0.453183,53.898
274,0.454833,53.898
275,0.4565,51.548
276,0.458183,49.455
277,0.45985,47.591
278,0.461517,47.591
279,0.463167,45.933
280,0.464833,44.454
281,0.4665,44.454
282,0.468167,43.139
283,0.469833,41.969
284,0.4715,40.92
285,0.473167,40.92
286,0.474833,39.978
287,0.4765,39.138
288,0.478167,38.382
289,0.479833,38.382
290,0.4815,37.7
291,0.483167,37.084
292,0.484833,36.519
293,0.4865,36.519
294,0.488167,36.011
295,0.489833,35.551
296,0.4915,35.138
297,0.493167,35.138
298,0.494833,34.762
299,0.4965,34.418
300,0.498167,34.418
301,0.499833,34.105
302,0.501533,33.817
303,0.503167,33.56
304,0.504833,33.56
305,0.5065,33.313
306,0.508167,33.087
307,0.509833,32.877
308,0.5115,32.877
309,0.513167,32.679
310,0.514817,32.502
311,0.516483,32.342
312,0.518217,32.342
313,0.519817,32.19
314,0.521483,32.037
315,0.52315,32.037
316,0.524817,31.901
317,0.526483,31.773
318,0.52815,31.657
319,0.529817,31.657
320,0.531483,31.547
321,0.53315,31.433
322,0.534983,31.318
323,0.536483,31.318
324,0.53815,31.212
325,0.539817,31.117
326,0.541483,31.037
327,0.54315,31.037
328,0.544817,30.962
329,0.5464830000000001,30.881
330,0.54815,30.881
331,0.549817,30.811
332,0.5514829999999999,30.743
333,0.55315,30.674
334,0.554817,30.674
335,0.5564829999999999,30.613
336,0.55815,30.549
337,0.559817,30.484
338,0.561483,30.484
339,0.56315,30.42
340,0.564817,30.362
341,0.566483,30.31
342,0.56815,30.31
343,0.569817,30.256
344,0.571483,30.21
345,0.57315,30.164
346,0.5748,30.164
347,0.576467,30.117
348,0.578133,30.08
349,0.5798,30.08
350,0.581467,30.034
351,0.583133,29.991
352,0.5848,29.947
353,0.586467,29.947
354,0.588133,29.906
355,0.5898,29.871
356,0.591467,29.834
357,0.593133,29.834
358,0.5948,29.801
359,0.596483,29.764
360,0.598133,29.732
361,0.5998,29.732
362,0.601467,29.7
363,0.603133,29.666
364,0.6048,29.666
365,0.606467,29.631
366,0.608167,29.594
367,0.6098,29.561
368,0.611467,29.561
369,0.613133,29.531
370,0.6148,29.503
371,0.616467,29.483
372,0.618133,29.483
373,0.6198,29.463
374,0.621467,29.439
375,0.623133,29.421
376,0.6248,29.421
377,0.626467,29.4
378,0.6281330000000001,29.379
379,0.6298,29.359
380,0.631467,29.359
381,0.6331329999999999,29.341
382,0.634783,29.317
383,0.636483,29.317
384,0.638117,29.293
385,0.639783,29.274
386,0.64145,29.254
387,0.643117,29.254
388,0.644783,29.236
389,0.64645,29.223
390,0.6481170000000001,29.207
391,0.649783,29.207
392,0.65145,29.184
393,0.653217,29.166
394,0.654783,29.15
395,0.65645,29.15
396,0.658117,29.131
397,0.659783,29.115
398,0.66145,29.115
399,0.663117,29.098
400,0.664783,29.084
401,0.66645,29.07
402,0.668117,29.07
403,0.669783,29.053
404,0.67145,29.037
405,0.673117,29.021
406,0.674783,29.021
407,0.6764829999999999,29.005
408,0.678117,28.988
409,0.679783,28.974
410,0.68145,28.974
411,0.683117,28.953
412,0.684783,28.936
413,0.68645,28.925
414,0.688117,28.925
415,0.689783,28.911
416,0.69145,28.896
417,0.693117,28.896
418,0.694767,28.884
419,0.696433,28.876
420,0.698117,28.867
421,0.699817,28.867
422,0.701433,28.854
423,0.7030999999999999,28.842
424,0.704767,28.827
425,0.706433,28.827
426,0.7081,28.811
427,0.709767,28.799
428,0.711433,28.788
429,0.7131,28.788
430,0.714767,28.777
431,0.716433,28.769
432,0.7181,28.769
433,0.719767,28.763
434,0.721433,28.756
435,0.7231,28.745
436,0.7247670000000001,28.745
437,0.726433,28.735
438,0.7281,28.731
439,0.7297670000000001,28.723
440,0.731433,28.723
441,0.7331,28.72
442,0.7347669999999999,28.714
443,0.736433,28.7
444,0.73815,28.7
445,0.739783,28.687
446,0.741433,28.679
447,0.743083,28.679
448,0.74475,28.673
449,0.746417,28.67
450,0.748117,28.665
451,0.74975,28.665
452,0.751417,28.657
453,0.753067,28.647
454,0.754767,28.64
455,0.7564,28.64
456,0.758067,28.631
457,0.759733,28.623
458,0.7614,28.615
459,0.7630670000000001,28.615
460,0.764733,28.604
461,0.7664,28.596
462,0.7680670000000001,28.59
463,0.769733,28.59
464,0.771417,28.583
465,0.7730669999999999,28.577
466,0.774733,28.577
467,0.7764,28.581
468,0.778067,28.576
469,0.779733,28.572
470,0.7814,28.572
471,0.783067,28.564
472,0.784733,28.556
473,0.7864,28.546
474,0.788067,28.546
475,0.789767,28.543
476,0.7914,28.542
477,0.793067,28.534
478,0.794733,28.534
479,0.7964,28.53
480,0.798067,28.525
481,0.799733,28.525
482,0.8014,28.523
483,0.803067,28.52
484,0.804733,28.521
485,0.8064,28.521
486,0.808067,28.517
487,0.809733,28.51
488,0.8114,28.502
489,0.813067,28.502
490,0.814717,28.493
491,0.816383,28.477
492,0.8180500000000001,28.464
493,0.819717,28.464
494,0.821433,28.456
495,0.8230499999999999,28.451
496,0.824717,28.443
497,0.826383,28.443
498,0.82805,28.436
499,0.829717,28.434
500,0.831383,28.434
501,0.83305,28.428
502,0.834717,28.432
503,0.836383,28.436
504,0.83805,28.436
505,0.839717,28.433
506,0.841383,28.431
507,0.84305,28.426
508,0.8447170000000001,28.426
509,0.846383,28.423
510,0.84805,28.417
511,0.8497169999999999,28.405
512,0.851383,28.405
513,0.85305,28.397
514,0.8547169999999999,28.386
515,0.85645,28.387
516,0.85805,28.387
517,0.859717,28.386
518,0.861383,28.384
519,0.863067,28.384
520,0.864717,28.377
521,0.866383,28.367
522,0.86805,28.361
523,0.869717,28.361
524,0.871383,28.349
525,0.8730329999999999,28.347
526,0.8747,28.344
527,0.876383,28.344
528,0.878033,28.347
529,0.8797,28.356
530,0.881367,28.359
531,0.883033,28.359
532,0.8847,28.359
533,0.886367,28.349
534,0.888033,28.349
535,0.889833,28.336
536,0.891367,28.325
537,0.893033,28.32
538,0.8947000000000001,28.32
539,0.8964,28.32
540,0.898033,28.323
541,0.8997000000000001,28.321
542,0.901367,28.321
543,0.903033,28.317
544,0.9046999999999999,28.319
545,0.906367,28.318
546,0.908033,28.318
547,0.9097,28.321
548,0.911367,28.322
549,0.913033,28.322
550,0.914717,28.316
551,0.916367,28.311
552,0.918033,28.306
553,0.9197,28.306
554,0.921367,28.307
555,0.923033,28.311
556,0.9247,28.308
557,0.9263670000000001,28.308
558,0.928033,28.311
559,0.9297,28.305
560,0.9313669999999999,28.293
561,0.933033,28.293
562,0.934683,28.292
563,0.93635,28.277
564,0.938017,28.277
565,0.939683,28.273
566,0.94135,28.27
567,0.943017,28.269
568,0.9446830000000001,28.269
569,0.94635,28.279
570,0.948017,28.271
571,0.949717,28.27
572,0.95135,28.27
573,0.953017,28.257
574,0.9546829999999999,28.241
575,0.95635,28.238
576,0.958017,28.238
577,0.959683,28.23
578,0.96135,28.232
579,0.963017,28.234
580,0.964683,28.234
581,0.96635,28.239
582,0.96805,28.241
583,0.969683,28.241
584,0.97135,28.242
585,0.973017,28.244
586,0.97475,28.242
587,0.9763500000000001,28.242
588,0.978017,28.243
589,0.979683,28.242
590,0.9813499999999999,28.236
591,0.983017,28.236
592,0.984683,28.234
593,0.9863499999999999,28.233
594,0.988017,28.233
595,0.989683,28.233
596,0.991333,28.234
597,0.993017,28.231
598,0.994667,28.231
599,0.996333,28.234
600,0.998,28.229
601,0.999667,28.226
602,1.001333,28.226
603,1.003,28.224
604,1.004667,28.214
605,1.006333,28.21
606,1.0081,28.21
607,1.009667,28.208
608,1.011333,28.204
609,1.013,28.21
610,1.014667,28.21
611,1.016333,28.204
612,1.018,28.202
613,1.019667,28.2
614,1.021333,28.2
615,1.023,28.188
616,1.024667,28.188
617,1.026333,28.188
618,1.028,28.179
619,1.029667,28.166
620,1.031333,28.158
621,1.032983,28.158
622,1.03465,28.153
623,1.03635,28.162
624,1.037983,28.163
625,1.03965,28.163
626,1.041317,28.168
627,1.042983,28.174
628,1.04465,28.171
629,1.04635,28.171
630,1.047983,28.175
631,1.04965,28.177
632,1.051317,28.177
633,1.052983,28.173
634,1.054633,28.166
635,1.0563,28.168
636,1.057967,28.168
637,1.059633,28.163
638,1.0613,28.165
639,1.062967,28.165
640,1.064633,28.165
641,1.0663,28.159
642,1.067967,28.155
643,1.069633,28.149
644,1.0713,28.149
645,1.072967,28.148
646,1.074633,28.145
647,1.0763,28.147
648,1.077967,28.147
649,1.079633,28.147
650,1.0813,28.149
651,1.082967,28.149
652,1.084633,28.152
653,1.0863,28.142
654,1.087967,28.133
655,1.08965,28.133
656,1.0913,28.126
657,1.093017,28.12
658,1.094633,28.123
659,1.0963,28.123
660,1.097967,28.122
661,1.099633,28.12
662,1.1013,28.117
663,1.102967,28.117
664,1.104633,28.111
665,1.1063,28.112
666,1.107967,28.112
667,1.109683,28.111
668,1.1113,28.109
669,1.113,28.108
670,1.11465,28.108
671,1.116317,28.106
672,1.11795,28.107
673,1.119617,28.109
674,1.121283,28.109
675,1.12295,28.112
676,1.124617,28.105
677,1.1264,28.103
678,1.12795,28.103
679,1.129617,28.098
680,1.131283,28.092
681,1.13295,28.092
682,1.134617,28.098
683,1.136283,28.098
684,1.13795,28.097
685,1.139617,28.097
686,1.141283,28.097
687,1.14295,28.09
688,1.144617,28.089
689,1.146283,28.089
690,1.14795,28.088
691,1.149617,28.087
692,1.151283,28.089
693,1.15295,28.089
694,1.154617,28.091
695,1.156283,28.092
696,1.15795,28.096
697,1.159617,28.096
698,1.161283,28.098
699,1.16295,28.093
700,1.164617,28.093
701,1.166283,28.092
702,1.16795,28.086
703,1.169617,28.079
704,1.171283,28.079
705,1.172933,28.079
706,1.1746,28.075
707,1.176267,28.079
708,1.177933,28.079
709,1.1796,28.086
710,1.181267,28.088
711,1.182933,28.095
712,1.184617,28.095
713,1.186267,28.089
714,1.187933,28.086
715,1.1896,28.086
716,1.191267,28.076
717,1.192933,28.072
718,1.1946,28.072
719,1.196267,28.072
720,1.197933,28.072
721,1.1996,28.077
722,1.201267,28.072
723,1.202933,28.072
724,1.2046,28.072
725,1.2063,28.069
726,1.207933,28.067
727,1.2096,28.067
728,1.211333,28.067
729,1.212933,28.06
730,1.2146,28.059
731,1.216267,28.059
732,1.217933,28.057
733,1.2196,28.058
734,1.221267,28.058
735,1.222933,28.062
736,1.2246,28.059
737,1.226267,28.059
738,1.228,28.059
739,1.2296,28.056
740,1.231267,28.055
741,1.232917,28.056
742,1.234583,28.056
743,1.23625,28.055
744,1.237917,28.056
745,1.239583,28.051
746,1.24125,28.051
747,1.242917,28.047
748,1.244667,28.044
749,1.24625,28.044
750,1.247917,28.038
751,1.249583,28.037
752,1.25125,28.039
753,1.252917,28.039
754,1.254583,28.036
755,1.25625,28.039
756,1.257917,28.041
757,1.2596,28.041
758,1.26135,28.036
759,1.262917,28.037
760,1.264583,28.033
761,1.26625,28.033
762,1.267917,28.039
763,1.269583,28.048
764,1.27125,28.053
765,1.272917,28.053
766,1.274583,28.055
767,1.27625,28.052
768,1.277917,28.052
769,1.279583,28.053
770,1.28125,28.052
771,1.282917,28.053
772,1.284583,28.053
773,1.28625,28.044
774,1.287917,28.034
775,1.289583,28.025
776,1.29125,28.025
777,1.292933,28.017
778,1.294567,28.017
779,1.296233,28.017
780,1.2979,28.017
781,1.299567,28.021
782,1.301233,28.025
783,1.3029,28.025
784,1.304567,28.036
785,1.306233,28.042
786,1.3079,28.042
787,1.309567,28.042
788,1.311233,28.043
789,1.3129,28.039
790,1.314567,28.035
791,1.316233,28.035
792,1.317917,28.029
793,1.319567,28.028
794,1.32125,28.025
795,1.322933,28.025
796,1.32455,28.027
797,1.326217,28.031
798,1.327883,28.031
799,1.32955,28.036
800,1.331217,28.037
801,1.332883,28.035
802,1.33455,28.035
803,1.336217,28.035
804,1.337883,28.026
805,1.33955,28.02
806,1.341217,28.02
807,1.342883,28.016
808,1.34455,28.008
809,1.346267,28.009
810,1.347883,28.009
811,1.34955,28.011
812,1.3512,28.01
813,1.352867,28.01
814,1.354533,28.01
815,1.3562,28.005
816,1.357867,27.999
817,1.359533,27.999
818,1.3612,27.997
819,1.362917,28.002
820,1.364533,28.003
821,1.3662,28.003
822,1.367867,28.006
823,1.369533,28.002
824,1.3712,27.995
825,1.372867,27.995
826,1.374533,27.986
827,1.3762,27.975
828,1.377867,27.973
829,1.37965,27.973
830,1.3812,27.971
831,1.382867,27.971
832,1.384533,27.971
833,1.386233,27.973
834,1.387867,27.978
835,1.389533,27.975
836,1.3912,27.975
837,1.392867,27.979
838,1.394533,27.984
839,1.3962,27.979
840,1.397867,27.979
841,1.399533,27.977
842,1.401217,27.977
843,1.402867,27.982
844,1.404533,27.982
845,1.4062,27.986
846,1.407867,27.988
847,1.409533,27.992
848,1.4112,27.992
849,1.41285,27.988
850,1.414517,27.989
851,1.416183,27.989
852,1.41785,27.995
853,1.419517,28
854,1.421183,28.001
855,1.42285,28.001
856,1.424517,27.997
857,1.426183,27.997
858,1.42785,27.991
859,1.429517,27.991
860,1.431183,27.986
861,1.43285,27.987
862,1.434517,27.985
863,1.436183,27.985
864,1.43785,27.976
865,1.439517,27.971
866,1.441183,27.971
867,1.44285,27.971
868,1.444517,27.972
869,1.446183,27.976
870,1.44785,27.976
871,1.449517,27.977
872,1.451183,27.976
873,1.45285,27.969
874,1.454517,27.969
875,1.456183,27.971
876,1.457883,27.971
877,1.459517,27.965
878,1.461183,27.965
879,1.46285,27.96
880,1.464533,27.954
881,1.466183,27.955
882,1.46785,27.955
883,1.469517,27.96
884,1.471183,27.963
885,1.472867,27.963
886,1.47455,27.966
887,1.476167,27.963
888,1.477833,27.958
889,1.4795,27.958
890,1.481167,27.956
891,1.482833,27.957
892,1.4845,27.961
893,1.486167,27.961
894,1.487833,27.96
895,1.4895,27.963
896,1.491167,27.968
897,1.49285,27.968
898,1.4945,27.97
899,1.496167,27.98
900,1.497867,27.98
901,1.4995,27.979
902,1.501167,27.972
903,1.502833,27.965
904,1.5045,27.965
905,1.506167,27.961
906,1.507833,27.962
907,1.5095,27.964
908,1.511167,27.964
909,1.512833,27.964
910,1.5145,27.956
911,1.516167,27.954
912,1.517833,27.954
913,1.5195,27.952
914,1.521167,27.954
915,1.522833,27.957
916,1.5245,27.957
917,1.526167,27.956
918,1.527833,27.955
919,1.5295,27.955
920,1.531167,27.952
921,1.532817,27.95
922,1.534483,27.952
923,1.53615,27.952
924,1.537817,27.961
925,1.539483,27.966
926,1.54115,27.969
927,1.542817,27.969
928,1.544483,27.969
929,1.546183,27.959
930,1.547817,27.964
931,1.549483,27.964
932,1.55115,27.965
933,1.552817,27.966
934,1.554483,27.966
935,1.55615,27.966
936,1.557817,27.957
937,1.559483,27.958
938,1.56115,27.958
939,1.562817,27.959
940,1.564483,27.964
941,1.56615,27.961
942,1.567817,27.961
943,1.569483,27.954
944,1.57115,27.949
945,1.572817,27.943
946,1.574483,27.943
947,1.57615,27.945
948,1.577817,27.95
949,1.579483,27.95
950,1.58115,27.955
951,1.582817,27.957
952,1.584483,27.959
953,1.58615,27.959
954,1.587817,27.954
955,1.589483,27.951
956,1.59115,27.952
957,1.5928,27.952
958,1.594467,27.954
959,1.596133,27.959
960,1.5978,27.96
961,1.599467,27.96
962,1.601133,27.965
963,1.6028,27.961
964,1.604467,27.96
965,1.606133,27.96
966,1.6078,27.954
967,1.609467,27.944
968,1.611133,27.944
969,1.6128,27.945
970,1.614467,27.944
971,1.616233,27.95
972,1.617783,27.95
973,1.61945,27.951
974,1.621133,27.948
975,1.622783,27.95
976,1.62445,27.95
977,1.626117,27.948
978,1.627783,27.957
979,1.62945,27.958
980,1.631117,27.958
981,1.632783,27.949
982,1.63445,27.945
983,1.636117,27.945
984,1.637783,27.931
985,1.63945,27.924
986,1.641117,27.932
987,1.642783,27.932
988,1.64445,27.938
989,1.646117,27.945
990,1.647783,27.945
991,1.64945,27.945
992,1.651117,27.945
993,1.652767,27.941
994,1.654433,27.942
995,1.6561,27.942
996,1.657767,27.947
997,1.659433,27.95
998,1.6611,27.953
999,1.662767,27.953
1000,1.664433,27.947
1001,1.6661,27.941
1002,1.667783,27.941
1003,1.669433,27.931
1004,1.6711,27.93
1005,1.672767,27.933
1006,1.674433,27.933
1007,1.6761,27.931
1008,1.677767,27.933
1009,1.679433,27.923
1010,1.6811,27.923
1011,1.682767,27.918
1012,1.684433,27.922
1013,1.6861,27.923
