"masterScheduleID","table_type","injection_name","solvent","status","surface_coverage"
1,2,"colConditioning1","",0,0
2,1,"methaneInjection1","METHANE",0,0
3,1,"methaneInjection2","METHANE",0,0
4,3,"injection1","UNDECANE",0,1596.45472591664
5,3,"injection2","UNDECANE",0,2371.52711847321
6,3,"injection3","UNDECANE",0,3129.57185826296
7,3,"injection4","UNDECANE",2,5982.51271821035
8,3,"injection5","UNDECANE",2,8561.834453666601
9,3,"injection6","UNDECANE",2,10928.8092827869
10,3,"injection7","UNDECANE",2,13179.3433380319
11,3,"injection8","UNDECANE",2,20384.5854151857
12,3,"injection9","UNDECANE",2,26653.7607983024
13,3,"injection10","DECANE",2,576.082987233351
14,3,"injection11","DECANE",2,858.192722397123
15,3,"injection12","DECANE",2,1136.43084785846
16,3,"injection13","DECANE",2,2212.00785553886
17,3,"injection14","DECANE",2,3231.25532128959
18,3,"injection15","DECANE",2,4199.1722010132
19,3,"injection16","DECANE",2,5121.12084189786
20,3,"injection17","DECANE",2,7668.29961091049
21,3,"injection18","DECANE",2,9243.396324524379
22,3,"injection19","NONANE",2,207.408499930578
23,3,"injection20","NONANE",2,310.213753888728
24,3,"injection21","NONANE",2,412.426619139374
25,3,"injection22","NONANE",2,815.45835311298
26,3,"injection23","NONANE",2,1209.42854567835
27,3,"injection24","NONANE",2,1594.67051577422
28,3,"injection25","NONANE",2,1971.51743610429
29,3,"injection26","NONANE",2,3055.01102476622
30,3,"injection27","NONANE",2,3741.44466462734
31,3,"injection28","OCTANE",2,80.1206777491936
32,3,"injection29","OCTANE",2,120.04164009858
33,3,"injection30","OCTANE",2,159.869890492408
34,3,"injection31","OCTANE",2,318.258899399154
35,3,"injection32","OCTANE",2,475.177146398748
36,3,"injection33","OCTANE",2,630.635008976281
37,3,"injection34","OCTANE",2,784.643147130796
38,3,"injection35","OCTANE",2,1238.07897195457
39,3,"injection36","OCTANE",2,1533.3268144596
40,3,"injection37","HEPTANE",2,51.425998578942
41,3,"injection38","HEPTANE",2,68.51953093053331
42,3,"injection39","HEPTANE",2,136.652223332241
43,3,"injection40","HEPTANE",2,204.400232801144
44,3,"injection41","HEPTANE",2,271.765711915072
45,3,"injection42","HEPTANE",2,338.750822652798
46,3,"injection43","HEPTANE",2,537.44526948278
47,3,"injection44","HEPTANE",2,668.045631746146
48,3,"injection45","HEXANE",2,52.6129095718415
49,3,"injection46","HEXANE",2,78.68210394148019
50,3,"injection47","HEXANE",2,104.594650222629
51,3,"injection48","HEXANE",2,130.351690056341
52,3,"injection49","HEXANE",2,206.701004680937
53,3,"injection50","HEXANE",2,256.843586207641
54,1,"methaneInjection3","METHANE",2,0
55,1,"methaneInjection4","METHANE",2,0
