id,injection-name,solvent-name,injection-time,duration,target-surface-coverage,actual-surface-coverage,col-temp,pressure-drop,exit-flow-rate,peak-area,peak-max-signal,peak-max-time,peak-com,peak-com-over-max,ret-vol-max,ret-vol-com,net-ret-time-max,net-ret-vol-max,net-ret-time-com,net-ret-vol-com,partial-pressure,pres-res-vol-max,pres-res-vol-com,amount-mmol-g,amount-mmol,amount-mmol-g-max,amount-mmol-g-com,saturationPressure,bet-value,bet-ordinate
4,injection1,OCTANE,80,5,0.005,0.00628745070277477,373.124040985107,133.46549987793,9.94250011444092,71.4553036531415,759.044291914407,0.353217,0.360043310276951,1.0193261090971,338.494904257147,345.036693705633,0.0203919999999997,19.5420607943889,0.0117136116915454,11.2253879853888,0.0440722237173467,8.39814105784085E-4,4.82407626924155E-4,1.86272781205633E-4,2.42154615567323E-6,3.70124751510997E-5,2.12607768567557E-5,351.514384514545,3.3878813164983015,1.2537815138977072E-4
5,injection2,OCTANE,160,5,0.01,0.0106754809438901,373.13331451416,134.695854187012,10,121.362877690324,1348.15228810356,0.353217,0.36077938334471,1.02141002087869,340.195273911992,347.478861829281,0.0203919999999997,19.6402269019137,0.0124496847593044,11.990713688213,0.0778025557057171,8.44011787479628E-4,5.1528445896717E-4,3.16273100200779E-4,4.11155030261012E-6,6.54812729448854E-5,3.86414927261661E-5,351.62060383848694,3.3798586714342864,2.2126847760450027E-4
6,injection3,OCTANE,318,3,0.02,0.0201337011614773,373.125784301758,134.881843566895,9.94750022888184,229.04483190178,3069.16812602497,0.3499,0.357730827069346,1.02238018596555,335.184997881283,342.686500466729,0.0170749999999997,16.3569129431918,0.00940112848394054,9.00576516425059,0.177935731817023,7.02930063540701E-4,3.87018204542941E-4,5.96483485692598E-4,7.75428531400377E-6,1.35867892791338E-4,7.73948547599457E-5,351.5343505603021,3.727335125036536,5.061688325292124E-4
7,injection4,OCTANE,631,3,0.04,0.0404792337927054,373.133242034912,134.824600219727,10.0475001335144,461.17998748105,7391.45267124853,0.348217,0.364310158396499,1.04621588950711,336.945075348959,352.517291721253,0.0153919999999997,14.8937547557158,0.0159804598110935,15.4631658855252,0.42363022267615,6.40038787646954E-4,6.64508453971761E-4,0.00119924271633854,1.5590155312401E-5,2.93121896852349E-4,2.40660921030123E-4,351.619773558899,4.115180941414613,0.0012047963582605195
8,injection5,OCTANE,937,2,0.06,0.0569157251202693,373.140859985352,134.924751281738,9.9850001335144,649.213841139013,11224.8316687866,0.3482,0.365011310396834,1.04828061572899,334.81834055845,350.98357619797,0.0153749999999998,14.7841240266688,0.0166816118114285,16.0405214949532,0.646590904022817,6.35314585972172E-4,6.8930545049277E-4,0.00168619221265768,2.19204987645498E-5,4.3477206981018E-4,3.94348933927963E-4,351.7070489133047,4.2362934762227065,0.0018384360109376166
10,injection7,OCTANE,1533,2,0.1,0.101151229442826,373.138632202148,135.010597229004,10.0125002861023,1157.48517166352,22498.3881043008,0.3482,0.367774506652098,1.05621627413009,335.720192284185,354.593130644641,0.0153749999999998,14.8239458827377,0.0194448080666932,18.7478882914398,1.2883027044912,6.37029644254122E-4,8.0565327904491E-4,0.00299671865774933,3.89573425507413E-5,8.43561509776225E-4,9.11346150177126E-4,351.68152442916943,4.35858446718736,0.00366326524142064
11,injection8,OCTANE,2248,2,0.15,0.150154608584529,373.141287231445,134.896095275879,10.0199999809265,1724.30865587155,35942.5155217147,0.346567,0.366684027248145,1.05804657468295,334.422675777177,353.834766602348,0.0137419999999998,13.2604558729766,0.0183543286627398,17.7111603340398,2.04935753176933,5.69837710468233E-4,7.61096537793429E-4,0.00444849874362273,5.78304836670955E-5,0.00127723925009319,0.00149058234428949,351.71194418956713,4.588770208537668,0.00582680675372446
12,injection9,OCTANE,2592,1,0.175,0.181053118004846,373.141733551025,134.982002258301,9.99000024795532,2083.74547045553,44830.3258827427,0.346533,0.36622752551947,1.05683304481671,333.370939949942,352.317425520707,0.0137079999999997,13.1873410175473,0.017897826934065,17.2180294173156,2.55812088009458,5.66695089235607E-4,7.39904481435923E-4,0.00536390175144128,6.97307227687366E-5,0.00156555294117218,0.00186701862570569,351.71705806329385,4.67983069108612,0.007273235179950325
13,injection10,OCTANE,2929,1,0.2,0.206673453643224,373.139204406738,133.866096496582,10.0199999809265,2382.97222215362,51930.9315269942,0.34665,0.366372105604253,1.05689342450383,334.719566685692,353.76290908288,0.0138249999999998,13.3491937384382,0.0180424070188482,17.4214529332634,2.94901808086687,5.73654218992562E-4,7.48651204856671E-4,0.00612293293918107,7.95981282093539E-5,0.00178979276958758,0.00215966428603896,351.6880802336948,4.724698400708749,0.008385322809084867
14,injection11,OCTANE,3258,1,0.225,0.237282518516888,373.136122131348,133.680099487305,10.0050001144409,2741.87525802095,62321.1319309171,0.349867,0.365133257918632,1.04363446086265,337.357156125421,352.07755375111,0.0170419999999997,16.4326462761259,0.016803559333227,16.2027312934407,3.53662987789245,7.06165100209353E-4,6.96284893816584E-4,0.00702976082756591,9.13868907583568E-5,0.00220474371311835,0.00256880950373629,351.6527674575482,4.607945590653386,0.010057164922836544
