"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,152.765,150,149.0125,32,32.01205,32,32.01665,180,180.0069,52.86317,56.81515,228.6736,28.95135,0,0,10,9.985,10,9.985,0,0,0,0,0,0,0,0
2,152.1355,150,150.0006,32,31.99974,32,31.99881,180,179.9904,54.07771,59.11442,228.2858,28.81527,0,0,10,10.03,10,10.035,0,0,0,0,0,0,0,0
3,133.537,100,99.8978,32,31.85287,32,31.94828,180,180.1113,53.97906,57.85941,225.916,28.61566,0,0,10,10.025,10,10.025,0,0,0,0,0,0,0,0
4,136.9992,100,99.88958,32,31.88695,32,31.93787,180,180.0915,53.97481,58.02129,226.767,28.56311,0,0,10,10.025,10,10.015,0,0,0,0,0,0,0,0
5,136.57,100,99.89317,32,31.88807,32,31.93775,180,180.0911,53.98011,58.04976,226.4819,28.5457,0,0,10,9.97,10,9.96,0,0,0,0,0,0,0,0
6,136.8847,100,99.86968,32,31.94328,32,31.96623,180,180.0297,53.99866,58.19118,227.1893,28.47437,0,0,10,9.965,10,10.03,0,0,0,0,0,0,0,0
7,132.7072,100,99.96612,32,31.9873,32,31.98972,180,179.9803,53.46681,58.02886,228.5694,28.06743,2,2.045,10,10.02,10,10,0,0,0,0,0,0,0,0
8,136.2266,100,99.97505,32,31.99027,32,32.00132,180,180.0149,53.29072,57.82558,228.5487,28.00747,2,2,10,9.985,10,9.96,0,0,0,0,0,0,0,0
9,134.6529,100,99.97641,32,31.98386,32,31.99993,180,180.0125,53.28825,57.81761,228.1996,28.00085,2,2.025,10,10.02,10,9.995,0,0,0,0,0,0,0,0
10,136.3983,100,99.98363,32,31.9997,32,31.99022,180,180.0029,53.16716,57.64211,228.6794,28.03299,2,2.03,10,10.025,10,10.015,0,0,0,0,0,0,0,0
11,135.0249,100,99.98591,32,31.99812,32,31.98786,180,179.9988,53.1725,57.65341,228.3436,27.99619,2,2.06,10,10.025,10,10.005,0,0,0,0,0,0,0,0
